,symbol
0,GDNF-AS1
1,CLPTM1L
2,MIR1291
3,COL4A2
4,NUP107
5,LOC101927989
6,LINC01687
7,OPN1LW
8,SKOR2
9,PHF6
10,SSX6P
11,LOC100507464
12,NFATC2
13,ZBED1
14,PPIEL
15,OTX2-AS1
16,TSPAN12
17,MIR510
18,DSG4
19,FAM85A
20,ID2-AS1
21,OMP
22,XG
23,PHLDA1
24,HAS2-AS1
25,LOC100506422
26,PTPRR
27,LOC100132057
28,RAB19
29,LINC00115
30,DDX53
31,MIR651
32,LOC102725023
33,FCGR1CP
34,UQCRFS1
35,DNAJB5
36,C5orf17
37,TES
38,GPM6B
39,CDK5
40,SNORD116-20
41,MIR3198-2
42,PPIE
43,TOP1P2
44,RASA3
45,MIR1292
46,DKC1
47,LOC101927915
48,ASPHD2
49,DCAF8L1
50,NLRP2B
51,OR9A4
52,LINC01003
53,MRPS26
54,UBL4A
55,RACGAP1P
56,LPIN2
57,MIR18A
58,POMZP3
59,LOC112268173
60,ZNF493
61,SMIM41
62,PPDPFL
63,CCDC73
64,LINC02343
65,RAET1K
66,CROCC
67,MIR6851
68,RNVU1-15
69,PSG6
70,EGFR
71,SYN1
72,MIR4470
73,POFUT1
74,ENOX2
75,PKD1L1
76,LINCR-0003
77,TBC1D26
78,NUP205
79,SDHA
80,DGCR5
81,ANKRD20A5P
82,ADGRG6
83,PVRIG
84,LOC388813
85,MIR2114
86,ULK4P3
87,ZNF682
88,PLXNA3
89,CELF3
90,LOC728673
91,PDAP1
92,DEFA5
93,SNORD15B
94,LOC100507250
95,MTRNR2L6
96,SIT1
97,ARMCX5-GPRASP2
98,ZNF66
99,TBC1D4
100,SFTA3
101,PROCR
102,MYH16
103,SRSF6
104,APOBEC3B-AS1
105,LOC102467081
106,MIR98
107,SOX1
108,C1orf56
109,CLECL1
110,LINC02294
111,LINC02444
112,GTSF1
113,FAM138D
114,MC4R
115,ADAM32
116,SOX21
117,KLHL1
118,HSD17B7P2
119,TMEM19
120,SNORD86
121,BRD9
122,UTP23
123,USP10
124,PRR20B
125,GRIN3B
126,TOM1L1
127,OR5F1
128,TYMS
129,RLN2
130,ZNF14
131,ZNF708
132,MIR4317
133,DECR1
134,CDS2
135,WWP1
136,MIR6891
137,KIF4A
138,SIRT7
139,CT47A1
140,USP14
141,MIR302F
142,OXT
143,LINC00842
144,P2RY10
145,ENKUR
146,MIR548S
147,IL13RA1
148,OSTN
149,LOC100996654
150,NOTCH2NLR
151,MAGEB5
152,LOC389906
153,FAM170B
154,LONRF3
155,TMEM35B
156,LRRC37A11P
157,LINC02582
158,LOC101927410
