,symbol
0,DUSP5
1,MIR6501
2,CAPZB
3,ECI1
4,NAT8
5,MT1IP
6,BLVRA
7,CCDC32
8,SAA2-SAA4
9,PKMYT1
10,LOC101929054
11,NEK6
12,TLE6
13,OST4
14,COX5B
15,SYNJ1
16,MXD3
17,LINC01173
18,FUNDC2P2
19,FAM120A
20,MIR4512
21,MRGPRX3
22,ACTL8
23,LOC101928303
24,NEPRO
25,TTC39A
26,NUP37
27,THOP1
28,F2R
29,MECR
30,SNORD25
31,BLOC1S4
32,WIPF1
33,STUM
34,CPNE9
35,PHGR1
36,GJA10
37,TMEM262
38,BCDIN3D-AS1
39,MIR302D
40,LOC100129034
41,IER3-AS1
42,SEMA3G
43,ZBTB40
44,SCARNA1
45,SLC6A7
46,MIR7159
47,CXCR4
48,LOC107985820
49,SCARF1
50,TGM7
51,LOC102546299
52,SNORD55
53,LOC101929595
54,SH2B1
55,LINC02453
56,BTBD11
57,CD86
58,SMYD5
59,CLDN3
60,NPIPA3
61,FES
62,CCR5
63,GLYCTK
64,C1orf35
65,LINC01843
66,SPINK7
67,PPM1J
68,BARHL1
69,SH3BP5-AS1
70,OTUD3
71,KCNG3
72,POGLUT1
73,D2HGDH
74,RERE
75,AK8
76,ING5
77,ST6GALNAC4
78,SGTA
79,S100P
80,SPINK13
81,ODF2
82,PPP1R14D
83,GTF3C3
84,C7orf25
85,PRMT5
86,CRTAP
87,MARCH3
88,ISCA2
89,TRIM69
90,TTF1
91,FAM53B
92,POLR3G
93,CHDH
94,MIR4680
95,GPR150
96,GDF9
97,CRYZL1
98,C9orf78
99,IL18
100,MMACHC
101,GCNT4
102,AGAP11
103,TPM1-AS
104,GANC
105,STX12
106,RHOC
107,MEX3D
108,RABGGTA
109,AGTPBP1
110,PGCP1
111,LINC01475
112,SF3B3
113,ST8SIA4
114,MDGA1
115,UQCRHL
116,ALOXE3
117,URM1
118,MZT2B
119,SNORD51
120,EPHA8
121,LOC100506747
122,AHCTF1P1
123,SLC11A1
124,MRPL44
125,EMC9
126,B3GNT7
127,RNF180
128,SNORA63
129,DAG1
130,IGFALS
131,MIR1275
132,LINC01913
133,TMEM9B-AS1
134,ECEL1
135,TMEM170A
136,ARIH2
137,PPP1R8
138,SLU7
139,SPR
140,RHCG
141,SCUBE2
142,ZSWIM5
143,PLCE1-AS2
144,LOC731157
145,MIR216B
146,VAX1
147,OMD
148,ERGIC1
149,LRRC2
150,PCDHB5
151,DARS-AS1
152,LIMS1-AS1
153,YKT6
154,UGT1A4
155,OGN
156,IPPK
157,SLC35G3
158,NBL1
159,EDRF1
160,TRUB2
161,ERLIN1
162,MYLK-AS2
163,CTRB2
164,TAF7
165,C2orf66
166,METAP1
167,KCNQ1
168,DLEC1
169,LINC02583
170,GLIS1
171,AP1M1
172,SLC22A16
173,TMEM167A
174,CEPT1
175,UBE2B
176,PLEKHH2
177,SH2D5
178,FBXL15
179,ZNF385D
180,LINC02200
181,SNW1
182,SNX14
183,MIR146A
184,BCKDHA
185,SNORA81
186,DUSP11
187,PHAX
188,CTDSP1
189,STX4
190,LOC101929439
191,LOC392364
192,ESRRA
193,ASS1
194,RASL12
195,INSL3
196,EMX1
197,MIR3141
198,ALDH4A1
199,OR1D5
200,DHX38
201,FZD9
202,IQCF5-AS1
203,VPS29
204,BRD8
205,IL17RB
206,LRRC3B
207,PINK1
208,SLC7A5
209,HACL1
210,LINC01169
211,LINC00641
212,EYA3
213,LINC01812
214,LRRC70
215,SNORD13J
216,LOC100129931
217,SNORD50B
218,MTERF2
219,ADIRF
220,ZKSCAN7
221,MOV10
222,EEF1G
223,KCTD10
224,RASSF1-AS1
225,LBHD1
226,ERRFI1
227,UBE2K
228,HMGN2P46
229,RPS10-NUDT3
230,REEP1
231,RNF151
232,RPL4
233,MELTF
234,PPP1R3C
235,FBXO22
236,OR1E1
237,PSMD7
238,LOC100507443
239,IFNAR1
240,C1orf127
241,TLNRD1
242,SNRPD2P2
243,KRTAP5-AS1
244,BNIP1
245,CFAP36
246,CRYBA2
