,symbol
0,RGS4
1,RGS8
2,RGS4
3,AKT1
4,CHEK1
5,GSK3B
6,LCK
7,MAP2K1
8,MAP2K2
9,MAP2K7
10,MAPK1
11,MAPK11
12,MAPK12
13,MAPK14
14,MAPK8
15,PRKCA
16,RAF1
17,ROCK1
18,RPS6KB1
19,SGK1
20,AKT1
21,GABBR1
22,SV2A
23,MET
24,OPRD1
25,OPRK1
26,OPRM1
27,OPRD1
28,BIRC2
29,XIAP
30,BIRC2
31,MDM2
32,MTOR
33,TOP1
34,CSNK1A1
35,CSNK1D
36,TGFB1
37,CSNK1A1
38,CSF1R
39,FLT3
40,KIT
41,PDGFRB
42,CSF1R
43,TYMS
44,AR
45,TUBB
46,TUBB4B
47,TUBB
48,NHP2L1
49,RPL10L
50,RPL11
51,RPL13A
52,RPL15
53,RPL19
54,RPL23
55,RPL23A
56,RPL26L1
57,RPL3
58,RPL37
59,RPL8
60,RSL24D1
61,NHP2L1
62,CHRNA7
63,MMP8
64,CHRM1
65,CHRM2
66,CHRM3
67,CHRM4
68,CHRM5
69,HTR1A
70,HTR1B
71,HTR1D
72,HTR1E
73,HTR1F
74,HTR2A
75,HTR2B
76,HTR2C
77,HTR6
78,HTR7
79,CHRM1
80,FLT3
81,PIM1
82,PIM2
83,PIM3
84,FLT3
85,TUBA1A
86,TUBA1B
87,TUBA1C
88,TUBA3C
89,TUBA3D
90,TUBA3E
91,TUBA4A
92,TUBB
93,TUBB1
94,TUBB2A
95,TUBB2B
96,TUBB3
97,TUBB4A
98,TUBB4B
99,TUBB6
100,TUBB8
101,TUBA1A
102,PDE4D
103,PDE4A
104,AKR1C3
105,EHMT1
106,EHMT2
107,EHMT1
108,ACY1
109,CHUK
110,GRIN1
111,GRIN2A
112,GRIN2B
113,GRIN2D
114,GRIN3A
115,GSS
116,IKBKB
117,RELA
118,SLC7A11
119,ACY1
120,PDGFRA
121,NOS2
122,NOS3
123,NOS2
124,TOP2A
125,TOP2B
126,TOP2A
127,SYK
128,HDAC1
129,HDAC3
130,HDAC1
131,MAPK11
132,MAPK14
133,MAPK11
134,HDAC1
135,HDAC2
136,HDAC3
137,HDAC4
138,HDAC5
139,HDAC6
140,HDAC7
141,HDAC8
142,HDAC9
143,HDAC1
144,SYK
145,MTOR
146,UBE2N
147,ABCC8
148,KCNJ11
149,PPARG
150,ABCC8
151,EGFR
152,ERBB2
153,EGFR
154,EGFR
155,FLT1
156,FLT4
157,KDR
158,EGFR
159,MTOR
160,ESR1
