,symbol
0,ADRB1
1,ADRB2
2,ADRB3
3,MAPK1
4,PIK3R1
5,PIK3R2
6,PIK3R3
7,ADRB1
8,CHRNA4
9,CHRNA7
10,GABRA1
11,GABRA2
12,GABRA3
13,GABRA4
14,GABRA5
15,GABRA6
16,GABRB1
17,GABRB2
18,GABRB3
19,GABRD
20,GABRE
21,GABRG1
22,GABRG2
23,GABRG3
24,GABRP
25,GABRQ
26,GRIA2
27,GRIK2
28,CHRNA4
29,ADH1C
30,SLC5A2
31,ADH1C
32,SLCO1B1
33,AMY2A
34,GAA
35,MGAM
36,SI
37,AMY2A
38,SLC8A1
39,TRPC3
40,TRPC5
41,TRPC6
42,SLC8A1
43,PGR
44,AHR
45,CACNA1C
46,CACNA1D
47,CACNA1F
48,CACNA1S
49,CACNB1
50,CACNB2
51,CACNB3
52,CACNB4
53,CFTR
54,NR3C2
55,AHR
56,HRH1
57,SLC6A2
58,SLC6A3
59,SLC6A4
60,SLC6A2
61,DRD2
62,EGFR
63,PRKCB
64,EGFR
65,HTR1A
66,HTR1B
67,HTR1D
68,HTR1A
69,CACNA1C
70,GRIA1
71,ADORA1
72,ADORA2A
73,PDE3A
74,PDE4A
75,PDE4B
76,PDE4C
77,PDE4D
78,PDE7A
79,PDE7B
80,ADORA1
81,ADRA2A
82,DDC
83,ACHE
84,CHRM1
85,CHRM2
86,CHRM3
87,CHRM4
88,CHRM5
89,CHRNA2
90,ACHE
91,GAST
92,ASIC3
93,PTGS1
94,PTGS2
95,ASIC3
96,CALM1
97,DRD1
98,DRD2
99,HRH1
100,HTR2A
101,HTR2C
102,HTR6
103,HTR7
104,CALM1
105,SCN5A
106,AKR1B1
107,TSPO
108,MAOA
109,MAOB
110,MAOA
111,ABCC1
112,ABCC2
113,FPR1
114,SLC22A12
115,ABCC1
116,CHRM1
117,CHRM2
118,CHRM3
119,CHRM4
120,CHRM5
121,CHRM1
122,KCNA5
123,PTGER1
124,SCN10A
125,SCN4A
126,KCNA5
127,ADORA2A
128,GNRH1
129,F2R
130,ADRA1A
131,ADRA1B
132,ADRA1D
133,DRD2
134,DRD3
135,DRD4
136,HRH1
137,HTR1A
138,HTR1B
139,HTR1D
140,HTR1E
141,HTR1F
142,HTR2A
143,HTR2C
144,HTR6
145,KCNH2
146,ADRA1A
147,ACHE
148,CHRNA2
149,ACHE
150,ABCC8
151,KCNJ1
152,KCNJ10
153,KCNJ11
154,ABCC8
155,ABCB1
156,CHRM1
157,CHRM2
158,CHRM3
159,CHRM4
160,CHRM5
161,HTR2A
162,SLC6A2
163,SLC6A4
164,CHRM1
165,HRH1
166,CHRNA7
167,ADRA1A
168,ADRA2B
169,GABRA1
170,GABRA2
171,GABRA3
172,GABRA4
173,GABRA5
174,GABRA6
175,GABRB1
176,GABRB2
177,GABRB3
178,GABRD
179,GABRE
180,GABRG1
181,GABRG2
182,GABRG3
183,GABRP
184,GABRQ
185,ADRA2B
186,HSPA1A
187,HSPB1
188,HSPA1A
189,CHRM1
190,CHRM2
191,CHRM3
192,CHRM4
193,CHRM1
194,CFTR
195,HRH1
196,GNRHR
197,CASR
198,ABCA1
199,ABCB11
200,ABCC8
201,ABCC9
202,CFTR
203,CPT1A
204,KCNJ1
205,KCNJ11
206,KCNJ5
207,KCNJ8
208,SLCO2B1
209,ABCA1
210,DRD2
211,HTR2A
212,DRD2
213,GSK3A
214,GSK3B
215,RPS6KB1
216,GSK3A
217,CCR2
218,CDK1
219,CDK2
220,CDK5
221,MAPK1
222,CDK1
223,TBXA2R
224,ESR1
225,ESR2
226,ESR1
227,AGTR1
228,PTGS1
229,PTGS2
230,PTGS1
231,HRH1
232,HTR1A
233,HTR1B
234,HTR1A
235,HTR1A
236,HTR1B
237,HTR1D
238,HTR1E
239,HTR1F
240,HTR2A
241,HTR5A
242,HTR6
243,HTR1A
244,BRD3
245,RXRA
246,MPL
247,CACNA1A
248,CACNA1B
249,CACNA1C
250,CACNA1D
251,CACNA1E
252,CACNA1F
253,CACNA1G
254,CACNA1H
255,CACNA1I
256,CACNA1S
257,CACNA2D1
258,CACNA2D2
259,CACNA2D3
260,CACNA2D4
261,CACNB1
262,CACNB2
263,CACNB3
264,CACNB4
265,CACNG1
266,CACNG2
267,CACNG3
268,CACNG4
269,CACNG5
270,CACNG6
271,CACNG7
272,CACNG8
273,CACNA1A
274,CYP17A1
275,PTGS1
276,PTGS2
277,PTGS1
278,ADRB1
279,ADRB2
280,ADRB1
281,GRM3
282,PTGER4
283,EPRS
284,L3HYPDH
285,P3H1
286,P3H2
287,P3H3
288,P4HA1
289,P4HA2
290,PARS2
291,PPIA
292,PPIB
293,PPIC
294,PPIF
295,PPIG
296,PPIH
297,PRODH
298,PROSC
299,PYCR1
300,PYCR2
301,PYCRL
302,SLC6A14
303,SLC6A7
304,EPRS
305,CA1
306,CA12
307,CA2
308,CA4
309,CA7
310,CA1
311,ACHE
312,HTR2A
313,ACHE
314,F2
315,EDNRA
316,SLC6A2
317,SLC6A3
318,SLC6A4
319,SLC6A2
320,PDE5A
321,TRHR
322,PDE4A
323,PDE4B
324,PDE4C
325,PDE4D
326,PDE4A
327,AKT1
328,GRIA2
329,IDO1
330,ADRA1A
331,ADRA2A
332,HRH1
333,HRH2
334,HTR2A
335,HTR7
336,ADRA1A
337,HCN1
338,HCN2
339,HCN3
340,HCN4
341,HCN1
342,HCRTR1
343,HCRTR2
344,HCRTR1
345,MAPK11
346,MAPK12
347,MAPK14
348,MAPK11
349,OPRD1
350,OPRK1
351,OPRM1
352,OPRD1
353,PTGDR
354,PTGER1
355,PTGER2
356,PTGER3
357,PTGDR
358,ADRA1A
359,ADRA1B
360,ADRA1D
361,ADRA2A
362,ADRB1
363,ADRB2
364,ADRB3
365,CHRM1
366,CHRM2
367,CHRM3
368,CHRM4
369,CHRM5
370,HRH1
371,HRH2
372,HRH4
373,HTR1A
374,HTR1B
375,HTR1D
376,HTR2A
377,HTR2C
378,HTR6
379,HTR7
380,KCNA1
381,KCND2
382,KCND3
383,KCNQ2
384,KCNQ3
385,NTRK1
386,NTRK2
387,OPRD1
388,OPRK1
389,OPRM1
390,SIGMAR1
391,SLC6A2
392,SLC6A4
393,ADRA1A
394,CACNA1D
395,SCN10A
396,SCN1A
397,SCN3A
398,SCN4A
399,SCN5A
400,SCN9A
401,CACNA1D
402,ACHE
403,F2
404,FSHR
405,P2RY1
406,P2RY11
407,P2RY13
408,P2RY2
409,PLA2G2A
410,RYR1
411,RYR2
412,SIRT5
413,F2
414,TYR
415,HSD11B1
416,ACHE
417,PARP1
418,DHFR
419,TLR7
420,LTB4R2
421,CHRM1
422,CHRM2
423,CHRM3
424,CHRM4
425,CHRM5
426,CHRM1
427,HTR1E
428,HTR1F
429,HTR1E
430,TRPA1
431,PPARA
432,PPARD
433,PPARA
434,ADRA1A
435,TH
436,HRH1
437,BACE1
438,FASN
439,BACE1
440,CHRNB4
441,OPRD1
442,OPRM1
443,SSTR1
444,SSTR2
445,SSTR3
446,SSTR4
447,SSTR5
448,OPRD1
449,AR
450,PTGIS
451,PTGS1
