,symbol
0,RSAD2
1,PCYOX1L
2,ZNF408
3,SERPINC1
4,KCTD19
5,PPIC
6,CALB1
7,AADACL3
8,DYNLL2
9,NARF
10,IGSF9B
11,B4GALNT4
12,CLTRN
13,SASH1
14,TMTC3
15,EPHA4
16,DPP4
17,SMCO1
18,SPA17
19,SEMA3D
20,MSANTD1
21,TPTE2
22,SIRPG
23,PFN2
24,ZNF785
25,CARD14
26,SLC25A36
27,NPPA
28,CDC42BPA
29,PLXDC2
30,G6PC2
31,SEMA6B
32,CHMP4C
33,IFITM10
34,ARHGAP19
35,BTK
36,KNCN
37,SPIC
38,REEP3
39,EDNRB
40,IMPG2
41,LYZ
42,IFIT1B
43,KIAA0753
44,TRPC5
45,CYB5D2
46,NIPAL3
47,CCDC33
48,MAPKAPK3
49,DNAH1
50,TSPAN16
51,RPTN
52,CAPN2
53,SCGB3A2
54,RAB3B
55,BAAT
56,C11orf53
57,KRT36
58,KLRG1
59,PAIP2
60,DNAI2
61,LRRIQ4
62,RPS6KA5
63,CARD9
64,KLKB1
65,POTEB2
66,OR8B2
67,ZDHHC9
68,SMPDL3A
69,ARL3
70,MEGF9
71,PPFIA2
72,PLN
73,TRPM8
74,YIPF7
75,GCK
76,ENPP1
77,MXRA5
78,LPIN1
79,A2M
80,TMPRSS11F
81,ZDHHC14
82,GPR156
83,JAM2
84,SMAD9
85,STC2
86,PLAGL1
87,HIST1H2AM
88,TBC1D10C
89,RASAL1
90,RTL8B
91,DEFB132
92,APOA4
93,ALAS2
94,UTP14C
95,MYBPC1
96,SLC13A1
97,OR1L4
98,ZNF571
99,C9orf153
100,ACSL5
101,HSPG2
102,RERGL
103,NLGN3
104,COL25A1
105,DEFB124
106,GTF2H2C
107,CLCNKA
108,HVCN1
109,ZNF540
110,PGAP1
111,LRRC42
112,PKD2L1
113,ATF5
114,CDR2
115,HPS6
116,RASGEF1B
117,SYNE1
118,PITPNM2
119,TSPAN5
120,LRRC7
121,APOBEC3H
122,CIB3
123,ZNF547
124,UBXN11
125,ZNF665
126,ZNF708
127,GEM
128,ZNF707
129,OR2AG1
130,SYCP3
131,OR11A1
132,SLC18A2
133,ROPN1B
134,OPN4
135,TEX36
136,DEFB116
137,OR51G2
138,CACFD1
139,SPTSSB
140,LAMA3
141,IFNB1
142,TMEM35A
143,SDCCAG8
144,ZFP30
145,GP1BA
146,PABPC5
147,SLC29A3
148,CYP4V2
149,LRRC40
150,SERPING1
151,MORC3
152,GPR108
153,MAGEB4
154,PLP1
155,VNN2
156,SH3D21
157,BFAR
158,NCF4
159,CD47
160,CBWD3
161,SPTA1
162,GJB7
163,SLC9A8
164,DSG1
165,ERMAP
166,GPRC6A
167,KITLG
168,IL37
169,HBG1
170,GRIA1
171,CD163
172,ARHGAP10
173,OR4X1
174,SLC6A11
175,CCL28
176,THAP2
177,MFAP3L
178,TCTN3
179,NR4A1
180,EMCN
181,NCAN
182,STK26
183,PHACTR2
184,PIH1D2
185,DEFB114
186,SNTN
187,CLEC5A
188,CRHR1
189,PCDHGB1
190,HIVEP3
191,PRTFDC1
192,MYOM1
193,ZNF438
194,SH3TC2
195,TMED6
196,SPRR2E
197,SH2D4B
198,RCBTB2
199,ZNF404
200,TIAF1
201,CLDN24
202,LIPJ
203,UBASH3A
204,REG3A
205,SLC51A
206,TMEM40
207,RNF186
208,GLI2
209,C1orf123
210,ANXA4
211,KIF24
212,DTX4
213,HTR2A
214,RALGDS
215,HIGD1C
216,ADH6
217,HDDC2
