,symbol
0,TTN
1,SMARCA2
2,TNK2
3,NBPF10
4,KIF7
5,RBL2
6,ZNF865
7,LMO7
8,KEAP1
9,TEX14
10,ADAMTS19
11,PCDHB11
12,ZNF644
13,PCDHGA12
14,FAT2
15,EFCAB5
16,DPP10
17,KNTC1
18,ANK2
19,GOLGA2
20,RGS22
21,SVEP1
22,ZC3H4
23,WIZ
24,SNRNP200
25,PHIP
26,CILP2
27,PCDHA1
28,GRID2
29,TTLL5
30,SPEG
31,USH2A
32,CEL
33,CENPF
34,LUZP1
35,CLSTN2
36,USP9X
37,FBN2
38,TDRD9
39,TICAM1
40,NINL
41,MYO5A
42,TCHH
43,ACVR2A
44,MAN2A1
45,PCDHB8
46,NLRP14
47,PASK
48,COL1A1
49,PDZRN4
50,SPTBN5
51,EP300
52,ATAD2
53,ANKRD11
54,DAPK1
55,PKD1L1
56,CSMD3
57,EPHB4
58,UMODL1
59,BAZ2A
60,UBR1
61,SMARCA4
62,PPIP5K2
63,TRPM8
64,MYBBP1A
65,KCNH5
66,APBA1
67,NRDE2
68,EHBP1L1
69,CLASP1
70,KIAA0430
71,COL22A1
72,NUP210L
73,DLEC1
74,AGAP2
75,PRDM15
76,LRRK2
77,CCDC88A
78,BRIP1
79,ARMC4
80,ARHGAP21
81,THBS2
82,MT-CYB
83,DAAM2
84,PCDHB12
85,ARHGEF26
86,ENAM
87,CACNA2D3
88,DSE
89,MAP3K19
90,CC2D2A
91,CMYA5
92,CTNNA3
93,TCERG1
94,AKR1B15
95,RB1CC1
96,ABCC11
97,ADAMTS1
98,MAST1
99,NCAPD3
100,BTAF1
101,CNTN4
102,DNAH1
103,AQR
104,KIF19
105,NLRP9
106,ITSN1
107,WDR33
108,DST
109,NRIP1
110,INSR
111,LRFN5
112,NEURL4
113,ITIH5
114,KALRN
115,TECPR1
116,MET
117,ARHGEF40
118,DPAGT1
119,KIAA2026
120,GPR124
121,NRG3
122,ZNF335
123,TTC6
124,CASKIN1
125,KIF13B
126,PLEKHG2
127,IFT122
128,CLCN1
129,MYRF
130,PLXNB3
131,FAM47A
132,MUC4
133,FSTL4
134,NLGN1
135,ZBTB7C
136,PROX1
137,NAALADL2
138,PRKDC
139,CORIN
140,RSF1
141,CNGB3
142,ZDBF2
143,ITGAE
144,MYBPC3
145,LRRC16A
146,TRPV4
147,ITGAL
148,PCDHB3
149,ABCB11
150,FLG
151,NOBOX
152,PCDHA5
153,UNC80
154,COL17A1
155,FBN1
156,RGAG1
157,HIF1A
158,KRT14
159,LHCGR
160,CUL7
161,ZNF814
162,BAZ1B
163,AXDND1
164,MAML3
165,PLXNA4
166,CSF2RB
167,VWA5B1
168,CELSR3
169,EPHA2
170,NIPBL
171,KMT2D
172,TTBK1
173,CYFIP2
174,LTBP4
175,RANBP2
176,ATP2B4
177,EMILIN3
178,TBC1D9
179,RAD50
180,EIF4G3
181,ZC3H18
182,SDK1
183,FOXK1
184,C2orf78
185,ARVCF
186,MKI67
187,REV1
188,DDX3X
189,PFAS
190,GPR123
191,TRHDE
192,ZNF217
193,ASXL3
194,CDH6
195,FLT3
196,NBEA
197,TRPC7
198,PXDNL
199,PAXIP1
200,MPRIP
201,AGAP1
202,PIEZO2
203,LAMC2
204,EPB41L1
205,SEC31B
206,KCND2
207,MLLT6
208,RP1
209,ZNF518B
210,OVCH1
211,ARHGEF2
212,HECTD4
213,L3MBTL4
214,CCDC73
215,CD93
216,NRXN1
217,SH3PXD2A
218,SLFN11
219,PTEN
220,ABCA13
221,CIC
222,GRIK1
223,PLEKHH1
224,MTR
225,ZNF729
226,NRG1
227,RPAP1
228,GNPTAB
229,SDHA
230,LRPPRC
231,TRIM67
232,DDX10
233,ARHGAP27
234,GPR98
235,COL7A1
236,CEP350
237,CACNA1B
238,SETD1B
239,MXRA5
240,GNAS
241,THSD7B
242,TNRC6B
243,CSMD1
244,DYSF
245,PRDM13
246,FAM135B
247,C1orf173
248,KMT2B
249,CHD7
250,FAT3
251,DSP
252,SZT2
253,MT-CO3
254,PLEC
255,LTN1
256,HUWE1
257,DMXL1
258,ITPR2
259,TENM1
260,CDKN2A
261,FSIP2
262,ASH1L
263,RYR1
264,MYO9B
265,MT-CO2
266,MYH8
267,NEB
268,MUC2
269,TPTE
270,JMJD1C
271,REV3L
272,MYH4
273,ARID1B
274,MUC5B
275,MUC16
276,THSD7A
277,PREX2
278,AKAP6
279,SPEF2
280,MUC17
281,PRR12
282,ANKRD30A
283,LPHN3
284,ACAN
285,APOB
286,TLN2
287,BDP1
288,NPAP1
289,PCDH15
290,ZNF423
291,ZNF831
292,FAT4
293,CELSR2
294,OTOG
295,PRDM2
296,SPATA31D1
297,TACC2
298,MYO10
299,KIF26B
300,PKHD1L1
301,TEP1
302,AKAP13
303,FASN
304,MED12L
305,SLIT2
306,SCN5A
307,MAP1B
308,SCRIB
309,RP11-1055B8.7
310,LRP2
311,SMG1
312,ZNF318
313,RERE
314,PPP1R3A
315,ABCA7
316,CIT
317,PKHD1
318,OBSCN
319,ANK1
320,MAST4
321,FER1L6
322,MYH7
323,SRCIN1
324,RELN
325,CNTN5
326,AHNAK
327,ADAMTSL3
328,SCAF1
329,DOCK3
330,PXDN
331,DNAH7
332,RTTN
333,HIVEP1
334,BRINP3
335,MT-ND2
336,ZNF208
337,PHRF1
338,SETX
339,KRAS
340,GTF3C1
341,TIAM1
342,LAMA1
343,MECOM
344,ADAMTS18
345,NIN
346,PLXNB2
347,CTNNA2
348,PTPRB
349,DNAH8
350,ZNF462
351,SORCS1
352,RIMS1
353,MDN1
354,DLG5
355,ITPR1
356,LAMA5
357,LRP1B
358,ADGB
359,EPG5
360,NWD1
361,DNAH17
362,DMBT1
363,COL4A4
364,TEX15
365,ANKRD12
366,COL14A1
367,NRK
368,CR1
369,MYLK
370,XIRP2
371,ZNF804B
372,PI4KA
373,AHNAK2
374,CHD5
375,EGFR
376,CHL1
377,ABCA5
378,CABIN1
379,GCN1L1
380,NBEAL1
381,PDE4DIP
382,COL19A1
383,COL24A1
384,DOCK10
385,BRWD1
386,MED12
387,NLRP3
388,CASZ1
389,SPTA1
390,COL20A1
391,SF3B1
392,ST18
393,LAMB4
394,EYS
395,ABCC9
396,BTBD7
397,ATM
398,RYR2
399,PIK3C2G
400,ZFYVE26
401,KIF21A
402,CKAP5
403,CUL9
404,DCHS2
405,SETD1A
406,ATG2B
407,PPFIA2
408,ARID1A
409,ZNF106
410,CDH8
411,WDR17
412,BIRC6
413,BCLAF1
414,TRPM1
415,EVC2
416,RNF17
417,DOCK1
418,APC
419,CECR2
420,GPR158
421,COL11A1
422,EPB41L3
423,KCNT2
424,ATN1
425,KIAA1462
426,ATF7IP
427,SALL3
428,ASPM
429,SLIT3
430,LAMB2
431,ZNF608
432,LCT
433,KIAA1549L
434,RIMS2
435,EPHA3
436,MYO18B
437,DOCK5
438,CUX2
439,CACNA1S
440,TNS1
441,ATP13A5
442,AHDC1
443,SLC12A7
444,GPATCH8
445,CACNA1I
446,PLCE1
447,NLRC5
448,CDH23
449,TNRC18
450,GREB1
451,ARID2
452,KIAA1107
453,COL4A2
454,ZNF407
455,RBP3
456,RAI1
457,ALMS1
458,FSTL5
459,DNAH12
460,TNXB
461,JARID2
462,PLCL1
463,UNC13C
464,CCDC178
465,LRP1
466,CGNL1
467,DROSHA
468,FAM83H
469,TDRD1
470,KAT6A
471,ADCY10
472,ZNF521
473,EIF5B
474,RICTOR
475,FMN2
476,ZNF800
477,AKAP12
478,ARAP3
479,SLITRK3
480,COL2A1
481,CUBN
482,WDR81
483,ADCY8
484,NUP214
485,ADAMTS7
486,RP1L1
487,MYOM1
488,ABCC12
489,CCDC88C
490,HCFC1
491,FLT4
492,DZIP3
493,KANSL1L
494,WHSC1L1
495,SGK223
496,KCNH8
497,CREBBP
