,symbol
0,SOGA1
1,EGFLAM
2,NRP2
3,ZNFX1
4,FAM189B
5,DEPDC5
6,DDX60L
7,ATP10B
8,PTPRK
9,ANKHD1
10,CDHR2
11,AK9
12,ZNF516
13,ROCK1
14,DPYD
15,NLRP12
16,GRIA1
17,NTRK3
18,AGL
19,ERCC6
20,PTPN23
21,CNTN1
22,TRIP11
23,FAM193A
24,CD109
25,MAGI3
26,PIK3CG
27,SLIT1
28,ARHGAP31
29,PTPRU
30,ROBO3
31,MIA3
32,PRG4
33,EPRS
34,NFATC1
35,CFH
36,PCDHA10
37,CHD2
38,UNC5C
39,KANK1
40,PLEKHA7
41,SBNO2
42,CCDC39
43,TENM2
44,SEC24B
45,GRM7
46,FRMPD3
47,TBC1D32
48,GRIK3
49,GAK
50,CTDP1
51,CDH18
52,ABCC3
53,GRIN3A
54,DENND3
55,DUOX1
56,RUSC2
57,FRMPD1
58,KCNU1
59,KDM4B
60,NLRP10
61,CCDC40
62,ADAM29
63,ADAMTS14
64,MCF2
65,DENND4B
66,KIF4B
67,NPAT
68,GRIK2
69,ANAPC1
70,MAN2B2
71,LAMB1
72,MSH3
73,ARHGAP23
74,UHRF1BP1L
75,AEBP1
76,WDR70
77,SPATA31E1
78,CILP
79,USP29
80,CHD1
81,MED13L
82,MYT1
83,RALGAPA1
84,LAMA4
85,PTPN14
86,CWC22
87,NFATC2
88,SEMA6D
89,HGF
90,ZNF616
91,KIF14
92,COL16A1
93,BMPR2
94,SLC12A1
95,SLC8A3
96,EPHA8
97,CDH7
98,HLA-G
99,XYLT2
100,KIDINS220
101,NID1
102,TENM4
103,WDR64
104,C8A
105,CTNND1
106,KDM3B
107,PLEKHA5
108,ARPP21
109,IL16
110,HEPHL1
111,EPHA10
112,ATP8A2
113,MMRN1
114,PCDHB16
115,ITPKB
116,CDH11
117,UGGT1
118,ELMO1
119,CEP135
120,PCM1
121,ATP10D
122,PCDHB6
123,FAM47C
124,ZNF189
125,STAG3
126,ESF1
127,ANKS1B
128,SHANK3
129,PER2
130,OGDHL
131,CPD
132,KRT3
133,PCDHA12
134,TEX2
135,ZBTB41
136,CYFIP1
137,KIF13A
138,PARD3B
139,MAP3K9
140,ANKRD31
141,SMC3
142,FCRL3
143,TONSL
144,RFC1
145,KIAA1755
146,MICALL2
147,CCDC171
148,ESRP1
149,ITIH6
150,NEK1
151,FAM83B
152,A2M
153,CAMSAP2
154,KANSL1
155,FGA
156,PCDHB4
157,BAI1
158,BTBD11
159,IQCA1
160,FOLH1
161,ACTN2
162,EHMT1
163,PTPN21
164,MAPKBP1
165,MIS18BP1
166,CCDC129
167,ZMIZ1
168,SENP5
169,LRRC4C
170,UGGT2
171,ATRN
172,FBLN2
173,SYNPO2
174,RAPGEF2
175,PARD3
176,NOS2
177,PTPRG
178,FILIP1L
179,SLC4A11
180,HYDIN
181,PXK
182,BCL9
183,BSN
184,GIGYF2
185,HFM1
186,DIP2B
187,CR2
188,NPHP4
189,EIF2AK4
190,ZCCHC11
191,ZNF541
192,KIF18B
193,TRPM4
194,KIF16B
195,NOL8
196,WBSCR17
197,XPO4
198,AMOTL2
199,MLK4
200,BICC1
201,KEL
202,AKAP1
203,RAPGEF6
204,RRP12
205,SLC9A4
206,SLC4A10
207,SEL1L3
208,SH3BP4
209,NYAP2
210,POM121L2
211,ZMYM3
212,FRMPD4
213,COL28A1
214,USP32
215,ATP1A4
216,ANKRD50
217,ZSCAN20
218,RFX6
219,SALL2
220,LATS1
221,GRM3
222,CDHR1
223,COPA
224,RNF43
225,EYA1
226,PARP4
227,TTC14
228,SYNJ1
229,PCDHB2
230,KIF27
231,GLG1
232,UBE3B
233,ABCC1
234,SIK3
235,CORO7
236,ZNF365
237,ROBO2
238,IL1RL2
239,SIN3B
240,CEP164
241,SLCO5A1
242,LEPR
243,RGS12
244,CLTC
245,SYNE3
246,SASH1
247,USP6
248,PCDHB10
249,EFCAB6
250,NPC1L1
251,POSTN
252,SFMBT2
253,PLCG1
254,KDM3A
255,ZNF618
256,PIK3C2A
257,NCOA1
258,BBX
259,MME
260,CARD10
261,ADAMTS15
262,WNK4
263,PCDHA9
264,SMC2
265,ELMSAN1
266,PHKB
267,NHS
268,FBF1
269,PTPRN
270,RASAL2
271,HPS3
272,CLCA1
273,DENND2A
274,KIT
275,UNC13D
276,NUTM1
277,SFSWAP
278,GPR116
279,LMBRD1
