,symbol
0,YWHAB
1,ERBB3
2,HSPA1A
3,IRS1
4,MDM4
5,ERRFI1
6,MRE11A
7,MTOR
8,NRAS
9,ACVRL1
10,CDKN1B
11,CDKN1B
12,RPS6KA1
13,RPS6KA1
14,PDK1
15,PDK1
16,PIK3CA
17,PRKCD
18,RPTOR
19,RICTOR
20,SRSF1
21,SMAD1
22,SMAD3
23,SMAD4
24,PRKAA1
25,STMN1
26,WWTR1
27,YWHAE
28,XBP1
29,XRCC1
30,YAP1
31,YBX1
32,ANXA7
33,BAD
34,BAK1
35,BECN1
36,CTNNB1
37,BID
38,BRCA2
39,MET
40,RAF1
41,MS4A1
42,PECAM1
43,CHEK1
44,CHEK2
45,BIRC2
46,DIRAS3
47,PARK7
48,EIF4EBP1
49,EGFR
50,EIF4E
51,ESR1
52,FOXO3
53,GSK3A
54,GSK3B
55,GSK3A
