,mno
TSPAN6,5.78894666658
TNMD,0.0285691521968
DPM1,6.68915935773
SCYL3,2.12763327973
C1orf112,3.59693514239
FGR,0.464668267003
CFH,5.11977116195
FUCA2,5.5496691707300005
GCLC,5.236875245369999
NFYA,3.51853513898
STPG1,3.01970191444
NIPAL3,3.53480866123
LAS1L,3.78868571061
ENPP4,0.0
SEMA3F,3.9541963103900004
CFTR,0.411426245726
ANKIB1,4.83794324189
CYP51A1,6.1749256825
KRIT1,5.7797850053
RAD52,2.9504684141500004
BAD,5.3607154253900005
LAP3,4.82171021503
CD99,5.39471991299
HS3ST1,0.0
AOC1,1.4114262457299998
WNT16,2.22650852981
HECW1,1.13093086983
MAD1L1,4.51790555353
LASP1,5.998195503150001
SNX11,3.59693514239
TMEM176A,0.0
M6PR,6.5499771427699995
KLHL13,5.42559357765
CYP26B1,0.8953026213330001
ICA1,0.948600847493
DBNDD1,3.35473423997
ALS2,2.66220549965
CASP10,1.05658352837
CFLAR,3.2218770810799997
TFPI,2.93357263826
NDUFAF7,3.17632277264
RBM5,4.45220004941
MTMR7,0.250961573533
SLC7A2,3.4222330006800004
ARF5,7.664838350339999
SARM1,1.58014548442
POLDIP2,5.3426969599800005
PLXND1,3.84398384405
AK2,7.37060023227
CD38,0.713695814843
FKBP4,4.69320814891
KDM1A,6.107269393589999
RBM6,3.88947354253
CAMKK1,4.33127526715
RECQL,5.6287735952
VPS50,3.8991756304800003
HSPB6,0.23878685958700002
ARHGAP33,1.6040713236700002
NDUFAB1,8.031218730610002
PDK4,0.0143552929771
SLC22A16,0.0
ZMYND10,0.150559676575
ABCB5,0.333423733725
ARX,0.0
SLC25A13,6.15603249889
ST7,4.1586601753500005
CDC27,4.75595576955
SLC4A1,0.18903382439
CALCR,0.111031312389
HCCS,4.405992359680001
DVL2,4.52669484554
PRSS22,5.23035674506
UPF1,5.15055967658
SKAP2,4.48284828307
SLC25A5,9.6398833132
MCUB,3.7279204545599995
HOXA11,3.12763327973
POLR2J,6.16249203694
DHX33,3.59693514239
MEOX1,0.0285691521968
THSD7A,0.641546029088
LIG3,2.5459683691099997
RPAP3,5.08448952494
ACSM3,1.8278190246200001
REXO5,3.04089243065
CIAPIN1,5.7257411565
SPPL2B,3.5046203924
FAM214B,2.79285535236
COPZ2,4.547819956580001
PRKAR2B,0.32192809488699997
MSL3,2.59215800213
CREBBP,3.26303440583
TSPOAP1,2.0391383939099996
MPO,0.0
PON1,0.20163386116999998
GCFC2,3.60762622085
WDR54,5.73525137579
CROT,5.142413437869999
ABCB4,2.21101219349
KMT2E,3.6904170955300004
RHBDD2,7.4712687641699995
SOX8,0.555816155062
IBTK,3.79285535236
ZNF195,3.41818994795
MYCBP2,5.464668267
FBXL3,4.377817853080001
ITGAL,0.20163386116999998
PDK2,3.44360665148
ITGA3,6.534653055880001
ZFX,2.39780296186
LAMP2,6.62395462859
ITGA2B,1.84799690655
ASB4,0.13750352375
GDE1,5.56193705962
REX1BD,5.67242534197
CRLF1,3.62760683813
OSBPL7,1.94110631095
TMEM98,4.91934008244
YBX2,2.0285691522
KRT33A,0.310340120612
MAP3K14,2.0285691522
ABCC8,0.0
CACNG3,0.0
TMEM132A,5.03913839391
AP2B1,5.93852104587
TAC1,0.0
ZNF263,4.70653055254
CX3CL1,1.76128527336
SPATA20,4.29204549249
CACNA1G,0.0703893278914
TNFRSF12A,8.170325694419999
DLX6,0.13750352375
MAP3K9,2.08406426479
RALA,5.24564777364
BAIAP2L1,6.03935776516
KDM7A,0.6322682155
ETV1,2.6915341649199997
AGK,4.29719141657
ALDH3B1,4.08746284125
TTC22,1.6735564239899998
PHTF2,5.22997238511
CCL26,4.88410945136
FARP2,2.6182386556
USH1C,0.0840642647885
GGCT,7.42701945584
DBF4,5.68144926531
TBXA2R,0.21412480535300002
IFRD1,5.07809742303
LGALS14,0.0
COX10,3.6287735951999998
GTF2IRD1,4.77452352959
PAF1,4.86690797814
VPS41,4.56437816857
ARHGAP44,0.992768430769
ELAC2,5.121015400959999
SCIN,4.1866590172
ARSD,2.70265754339
PNPLA4,3.3687683490900002
MYH13,0.0
ADIPOR2,5.40905143854
CDKL3,0.823749360308
UPP2,0.0
PRSS21,0.298658315565
MARK4,3.11935617704
PROM1,0.111031312389
CCDC124,6.635899465950001
CEACAM21,0.0
PAFAH1B1,6.194362890730001
NOS2,0.0
DNAH9,0.0
KIAA0100,4.3847405872900005
SLC13A2,0.0143552929771
GAS7,0.0
TRAPPC6A,4.48928602263
MATK,1.29865831556
CEACAM7,0.0
CD79B,0.0
SCN4A,0.0285691521968
ST7L,4.59395128395
TKTL1,0.0
PAX6,2.8135246893
RPUSD1,4.27127625918
RHBDF1,4.38197547856
LUC7L,4.04614178164
CACNA2D2,0.13750352375
BAIAP3,1.6415460290900001
TSR3,4.8262942455
PIGQ,3.92694824795
CRAMP1,1.9891390073700002
TEAD3,4.011674533380001
SELE,0.0
DNAJC11,4.45811948117
FMO3,0.0
MYLIP,3.9126498649
NOX1,0.0565835283664
E2F2,2.7092906357200004
PSMB1,8.45709354277
SYN1,1.09761079663
JARID2,4.3132458517900005
CDKL5,0.62293035092
CAMK1G,0.150559676575
CDK11A,3.90207357931
NADK,4.89965902638
TFAP2B,0.0
TFAP2D,0.0
DLEC1,0.0565835283664
CYTH3,4.51664555778
ADAM22,2.13750352375
SYPL1,6.76035403028
CYB561,5.1695241971499994
SPAG9,4.20711196121
CELSR3,2.0071955014
AASS,2.48542682717
PLEKHG6,4.16751850374
SS18L2,4.79389588255
MPND,2.464668267
MGST1,7.589763486980001
CRY1,3.29278174923
PGLYRP1,0.0
NFIX,4.2502036565
ST3GAL1,1.6735564239899998
MMP25,0.2750070475
IL32,2.56071495447
PKD1,3.5921580021300006
MAPK8IP2,0.8155754288629999
MED24,4.4646682669999995
RHOBTB2,2.99819550315
HEATR5B,2.32481060342
SEC62,6.32282949763
RPS20,11.3106695796
CSDE1,8.03771166711
UBE3C,4.4822029263
REV3L,3.79805051477
TENM1,0.0
PAX7,0.0
MASP2,0.286881147788
IYD,0.20163386116999998
FAM76A,2.06695024392
TRAF3IP3,1.72246602447
POMT2,3.0461417816400003
VTA1,5.74631276643
MLXIPL,2.7655347463599997
BAZ1B,5.205157883919999
RANBP9,4.61588707392
ETV7,0.411426245726
SPRTN,3.0755326311699998
METTL13,4.01435529298
DYRK4,4.44559429134
ZNF207,6.965668864439999
UQCRC1,7.99960545913
STARD3NL,5.1984941536400004
CD9,9.50517639017
HHATL,0.0
NCAPD2,6.17072627613
IFFO1,0.713695814843
GIPR,1.58014548442
PHF7,2.5459683691099997
SEMA3G,0.8797057662819999
NISCH,3.6252704893699996
STAB1,0.6870606883399999
FUZ,2.4249220882099998
SLC6A13,0.111031312389
IDS,4.6673244702800005
PRSS3,2.9221978483999997
ZNF200,3.0285691522000002
CD4,1.8114710305300001
LRRC23,2.81147103053
BTK,0.422233000683
HFE,3.33199177823
SCMH1,3.32481060342
FYN,0.464668267003
HIVEP2,1.6599245584
FMO1,0.0
ELOA,4.22650852981
LYPLA2,6.20808800822
CLCN6,2.37295209791
MRC2,4.07553263117
SLC6A7,0.0143552929771
TSPAN9,5.10894256866
BTBD7,3.2883585621900004
APBA3,1.9030382701099997
MKS1,3.44890095115
ABHD5,3.60644222813
ANOS1,4.033863451869999
AKAP8L,5.69153416492
MBTD1,3.39780296186
UTP18,4.96670731415
RNF216,3.0321008431700003
TTC19,4.71918344048
PTBP1,6.92160294713
DPF1,1.28095631383
SYT7,3.7591558338
LARS2,2.76341157447
PIK3C2A,3.3812833725
PLAUR,4.3812833725
ANLN,6.59514556799
WIZ,4.10685079645
RABGAP1,4.94673086014
DCN,0.0565835283664
QPCTL,2.4032677223400003
PPP5C,5.18903382439
CEP68,2.05658352837
MAP4K3,4.07038932789
ZBTB32,0.0
TYROBP,2.2295879227400004
TMEM159,4.98458935036
GABRA3,2.24184018356
BRCA1,3.9909548604
ERCC1,5.21373609592
CD22,4.04875931192
SEMA3B,3.2094533656299995
MBTPS2,2.52857131887
PRICKLE3,2.87774424995
LTF,0.0
EXTL3,4.0062980238999994
NR1H4,0.0
ELOVL5,6.39951292418
ALOX5,1.94110631095
KDM5D,0.0
CALCOCO1,5.001351893
UBR7,4.29719141657
MAP4K5,5.8836208162900006
EHD3,3.2824398050099997
PSMC4,6.29186136959
MAN2B2,3.3334237337299997
SLC7A14,0.0143552929771
CLDN11,0.250961573533
SLC25A39,6.150965783559999
MVP,5.02103547951
NUB1,5.02591469875
PGM3,4.12598165385
RWDD2A,1.37295209791
CLK1,4.563158130400001
POLR3B,2.56803210477
ANGEL1,2.58255600301
RNF14,4.3930042569
DNASE1L1,4.02680005934
DDX11,4.71259578045
HEBP1,4.53231695933
GPRC5A,4.72900887034
MAMLD1,0.34482849699699997
CD6,1.42223300068
TACC3,5.83339613416
UFL1,4.13504228623
POLA2,3.79908730607
ZC3H3,2.5993177937
CAPN1,7.128664586539999
ACPP,2.03210084317
MDH1,7.279192684480001
SLC30A9,5.99796978227
MTMR11,2.86393845042
COX15,4.53915881111
CCDC88C,1.8114710305300001
YAF2,3.30888505741
ZMYND11,4.405992359680001
WAS,0.21412480535300002
DPEP1,0.650764559117
BID,5.15340002774
MATR3,7.101923160619999
NPC1L1,0.0143552929771
XYLT2,2.464668267
RGPD5,1.8318772411900002
STMN4,0.0285691521968
NUDCD3,4.35895882583
ISL1,0.464668267003
CHDH,1.57531233069
IL20RA,3.83390207667
CLCA1,0.0
CLCA4,1.19534759832
GLT8D1,5.06781078379
ATP2C1,6.13524754981
IGF1,0.0
SLC38A5,5.6530600171000005
RALBP1,5.97292236423
RUFY3,3.0391383939099996
CNTN1,5.2505826647900005
SLC11A1,0.584962500721
WWTR1,4.931210274800001
AGPS,5.10139795218
CXorf56,4.864433796369999
ATP1A2,0.042644337408499995
TTC27,3.41548827105
ZNF582,0.0143552929771
VSIG2,3.68369645431
PHLDB1,4.72519581723
MARCO,0.0
CYP24A1,2.8757800630699997
PRDM11,2.0071955014
SYT13,0.17632277264000001
SNAI2,4.72027846523
CD74,2.77610398807
HGF,4.772941337830001
ZRANB1,2.78240856493
NCDN,3.41953889151
ADGRA2,0.333423733725
ZFP64,3.6450098843900003
MNAT1,6.460251098940001
SAMD4A,1.54101915313
RUNX3,0.0
MRE11,4.21723071622
PLEKHB1,3.0548484769999997
SERPINB1,5.06177619759
CYP3A43,0.0
SLC7A9,0.454175893186
SPAST,3.45549162063
NRXN3,0.13750352375
OSBPL5,1.9891390073700002
AQR,4.64673869831
CPS1,2.06695024392
C8B,0.0
FHL1,1.4594316186399998
RTF2,6.2000648615100005
GABRA1,0.0
NLRP2,0.0
SLC45A4,2.31324585179
RNF10,5.89893387178
ZNF839,2.31614574229
ZDHHC6,4.37016428054
GRAMD1B,0.0
RNH1,6.0
NDUFS1,5.53853816363
RB1CC1,4.55826763406
ERP44,5.14036967065
ALAS1,4.45877569908
BIRC3,0.356143810225
AKAP11,2.88166461932
GLRX2,3.46858331701
SNAPC1,3.0548484769999997
DERA,6.8076125231699995
STRAP,6.9717734471899995
