,feature_name
0,cn_A1BG
1,cn_NAT2
2,cn_ADA
3,cn_CDH2
4,cn_AKT3
5,cn_GAGE12F
6,cn_RNA5-8SN5
7,cn_RNA18SN5
8,cn_RNA28SN5
9,cn_LINC02584
10,cn_POU5F1P5
11,cn_ZBTB11-AS1
12,cn_MED6
13,cn_NR2E3
14,cn_NAALAD2
15,cn_DUXB
16,cn_SNORD116-1
17,cn_SNORD116-2
18,cn_SNORD116-3
19,cn_SNORD116-4
20,cn_SNORD116-5
21,cn_SNORD116-6
22,cn_SNORD116-7
23,cn_SNORD116-8
24,cn_SNORD116-9
25,cn_SNORD116-10
26,cn_SNORD116-11
27,cn_SNORD116-12
28,cn_SNORD116-13
29,cn_SNORD116-14
30,cn_SNORD116-15
31,cn_SNORD116-16
32,cn_SNORD116-17
33,cn_SNORD116-18
34,cn_SNORD116-20
35,cn_SNORD116-21
36,cn_SNORD116-22
37,cn_SNORD116-23
38,cn_SNORD116-24
39,cn_SNORD116-25
40,cn_SNORD115-2
41,cn_SNORD116-26
42,cn_SNORD116-27
43,cn_SNORD115-3
44,cn_SNORD115-4
45,cn_SNORD115-5
46,cn_SNORD115-6
47,cn_SNORD115-7
48,cn_SNORD115-8
49,cn_SNORD115-9
50,cn_SNORD115-10
51,cn_SNORD115-11
52,cn_SNORD115-12
53,cn_SNORD115-13
54,cn_SNORD115-14
55,cn_SNORD115-15
56,cn_SNORD115-16
57,cn_SNORD115-17
58,cn_SNORD115-18
59,cn_SNORD115-19
60,cn_SNORD115-20
61,cn_SNORD115-21
62,cn_SNORD115-22
63,cn_SNORD115-23
64,cn_SNORD115-25
65,cn_SNORD115-26
66,cn_SNORD115-29
67,cn_SNORD115-30
68,cn_SNORD115-31
69,cn_SNORD115-32
70,cn_SNORD115-33
71,cn_SNORD115-34
72,cn_SNORD115-35
73,cn_SNORD115-36
74,cn_SNORD115-37
75,cn_SNORD115-38
76,cn_SNORD115-39
77,cn_SNORD115-40
78,cn_SNORD115-41
79,cn_SNORD115-42
80,cn_SNORD115-43
81,cn_SNORD115-44
82,cn_MIR675
83,cn_SNORD116-28
84,cn_SNORD116-29
85,cn_SNORD115-48
86,cn_PDZK1P1
87,cn_SNORD115-24
88,cn_SNORD115-27
89,cn_SNORD115-28
90,cn_SNORD115-45
91,cn_SNORD115-47
92,cn_DDTL
93,cn_TLX1NB
94,cn_NAALADL1
95,cn_CDKN2B-AS1
96,cn_GUSBP9
97,cn_SIGLEC14
98,cn_LOC100049716
99,cn_ACOT8
100,cn_ABI1
101,cn_GNPDA1
102,cn_MIMT1
103,cn_KCNE3
104,cn_ZBTB33
105,cn_SNHG8
106,cn_GTF2IP4
107,cn_GS1-600G8.3
108,cn_CDH3
109,cn_TANK
110,cn_HAVCR1P1
111,cn_POM121C
112,cn_ZSCAN30
113,cn_GAGE8
114,cn_ANKRD26P3
115,cn_SRA1
116,cn_SNORD119
117,cn_SNORD121A
118,cn_SNORD125
119,cn_SNORD19B
120,cn_SNORD105B
121,cn_SNORD123
122,cn_UCKL1-AS1
123,cn_SNORD127
124,cn_SNORD126
125,cn_SNORD11B
126,cn_SNORD12B
127,cn_SNORD111B
128,cn_LIN28B-AS1
129,cn_LINC00583
130,cn_TMEM170B
131,cn_FAM138E
132,cn_SNORD58C
133,cn_SCARNA27
134,cn_SNORA84
135,cn_SNORA36C
136,cn_SNORA38B
137,cn_SNORA70B
138,cn_SNORA70C
139,cn_SNORA11B
140,cn_SNORA11C
141,cn_HOTAIR
142,cn_ZGLP1
143,cn_FAM86JP
144,cn_FMR1-AS1
145,cn_MIR298
146,cn_MIR300
147,cn_VTRNA2-1
148,cn_MIR509-2
149,cn_MIR450B
150,cn_MIR890
151,cn_MIR891B
152,cn_MIR888
153,cn_MIR892B
154,cn_MIR541
155,cn_MIR875
156,cn_MIR876
157,cn_MIR147B
158,cn_MIR744
159,cn_MIR877
160,cn_MIR665
161,cn_MIR873
162,cn_MIR374B
163,cn_MIR301B
164,cn_MIR216B
165,cn_MIR920
166,cn_MIR922
167,cn_MIR924
168,cn_MIR934
169,cn_MIR935
170,cn_MIR936
171,cn_MIR938
172,cn_MIR940
173,cn_MIR941-1
174,cn_MIR941-4
175,cn_MIR942
176,cn_MIR943
177,cn_MIR708
178,cn_MIR885
179,cn_MIR543
180,cn_MIR208B
181,cn_MIR509-3
182,cn_MIR937
183,cn_MIR941-2
184,cn_MIR944
185,cn_MIR891A
186,cn_MIR892A
187,cn_MIR874
188,cn_MIR889
189,cn_MIR190B
190,cn_MIR887
191,cn_MIR760
192,cn_MIR921
193,cn_MIR933
194,cn_MIR939
195,cn_MIR941-3
196,cn_MIR297
197,cn_MIR365A
198,cn_MIR365B
199,cn_LOC100126447
200,cn_GJE1
201,cn_LOC100126584
202,cn_LINC00322
203,cn_SNAR-G1
204,cn_SNAR-F
205,cn_LOC100126784
206,cn_EGOT
207,cn_GHRLOS
208,cn_SNAR-A1
209,cn_SNAR-A2
210,cn_SNAR-A12
211,cn_MINAR2
212,cn_SLCO4A1-AS1
213,cn_HECW1-IT1
214,cn_KRT73-AS1
215,cn_C8orf88
216,cn_LOC100128006
217,cn_DPPA2P3
218,cn_WWTR1-AS1
219,cn_PLCE1-AS1
220,cn_SMARCA5-AS1
221,cn_LOC100128059
222,cn_FAM229A
223,cn_LOC100128076
224,cn_LOC100128079
225,cn_JAZF1-AS1
226,cn_ST8SIA6-AS1
227,cn_LOC100128108
228,cn_HGC6.3
229,cn_STAU2-AS1
230,cn_ADGRA1-AS1
231,cn_LINC01233
232,cn_LOC100128164
233,cn_UST-AS1
234,cn_TMPO-AS1
235,cn_LINC02324
236,cn_LOC100128239
237,cn_ZNF667-AS1
238,cn_LOC100128253
239,cn_TNK2-AS1
240,cn_HTR5A-AS1
241,cn_LOC100128276
242,cn_DNM1P35
243,cn_LOC100128288
244,cn_DLG5-AS1
245,cn_LOC100128310
246,cn_LOC100128317
247,cn_LOC100128325
248,cn_TRAPPC3L
249,cn_FAM83H-AS1
250,cn_LOC100128361
