,ghi
TSPAN6,0.526068811668
TNMD,0.0
DPM1,6.34890516117
SCYL3,2.66448284036
C1orf112,4.20476675065
FGR,0.0
CFH,1.9448584458099998
FUCA2,5.969933274700001
GCLC,5.23610988989
NFYA,5.69655030108
STPG1,1.19534759832
NIPAL3,2.40599235968
LAS1L,4.58676474336
ENPP4,0.0143552929771
SEMA3F,1.10433665981
CFTR,0.0
ANKIB1,4.14812063112
CYP51A1,6.22322945684
KRIT1,5.449231200669999
RAD52,3.5957423394699997
BAD,4.431622959709999
LAP3,5.687620632080001
CD99,6.84473714406
HS3ST1,0.0
AOC1,0.0
WNT16,0.18903382439
HECW1,0.0285691521968
MAD1L1,4.49185309633
LASP1,5.6755336862300005
SNX11,3.8757800630699997
TMEM176A,0.0
M6PR,6.68116812042
KLHL13,1.9927684307700002
CYP26B1,3.60762622085
ICA1,1.42223300068
DBNDD1,1.4114262457299998
ALS2,4.15542543175
CASP10,0.0143552929771
CFLAR,4.135863165369999
TFPI,0.20163386116999998
NDUFAF7,4.42223300068
RBM5,6.14465824283
MTMR7,0.310340120612
SLC7A2,1.76977173925
ARF5,7.0596148563
SARM1,0.2750070475
POLDIP2,6.20633064787
PLXND1,5.38991092507
AK2,7.44037088472
CD38,0.367371065649
FKBP4,5.87725345388
KDM1A,5.77294133783
RBM6,5.438958147899999
CAMKK1,1.7311832415700001
RECQL,5.418189947949999
VPS50,4.037382222
HSPB6,0.0285691521968
ARHGAP33,1.31034012061
NDUFAB1,7.7448338375
PDK4,6.060479781410001
SLC22A16,0.0
ZMYND10,0.17632277264000001
ABCB5,6.60673831742
ARX,0.0143552929771
SLC25A13,6.714520290549999
ST7,3.76659516173
CDC27,5.950701690090001
SLC4A1,0.0285691521968
CALCR,0.8479969065549999
HCCS,4.1093605594
DVL2,5.50937914891
PRSS22,0.0
UPF1,4.4215599449
SKAP2,3.66789212523
SLC25A5,8.823144289810001
MCUB,0.978195629682
HOXA11,2.8757800630699997
POLR2J,6.38353150428
DHX33,4.06695024392
MEOX1,0.0
THSD7A,0.0976107966264
LIG3,4.92172194701
RPAP3,4.51032901949
ACSM3,0.12432813500199999
REXO5,2.67355642399
CIAPIN1,4.33485426933
SPPL2B,2.35614381023
FAM214B,3.87872534148
COPZ2,2.67355642399
PRKAR2B,1.9145645234900002
MSL3,3.266036894
CREBBP,3.8489984304
TSPOAP1,0.0
MPO,0.0143552929771
PON1,0.0
GCFC2,4.09929520434
WDR54,3.22804904788
CROT,2.53356334821
ABCB4,2.5459683691099997
KMT2E,4.96670731415
RHBDD2,6.01122725542
SOX8,3.7548875021599994
IBTK,4.45943161864
ZNF195,2.58255600301
MYCBP2,4.641546029090001
FBXL3,3.5728896684199993
ITGAL,0.0143552929771
PDK2,3.2839217723100003
ITGA3,2.21101219349
ZFX,3.1160319934500005
LAMP2,6.83364912759
ITGA2B,1.5704629310299998
ASB4,0.13750352375
GDE1,4.03913839391
REX1BD,4.61706334389
CRLF1,2.54101915313
OSBPL7,0.310340120612
TMEM98,6.93934413283
YBX2,2.8479969065499997
KRT33A,0.0
MAP3K14,1.42760617278
ABCC8,0.0
CACNG3,0.0
TMEM132A,3.12763327973
AP2B1,6.4640147245
TAC1,0.0703893278914
ZNF263,4.839455765219999
CX3CL1,1.124328135
SPATA20,5.98732086593
CACNA1G,0.44360665147600004
TNFRSF12A,1.94860084749
DLX6,3.23266075679
MAP3K9,0.659924558402
RALA,4.70763521955
BAIAP2L1,5.06220807756
KDM7A,2.44360665148
ETV1,3.29719141657
AGK,4.89917563048
ALDH3B1,1.46988597627
TTC22,0.0
PHTF2,6.2247734784399995
CCL26,0.0
FARP2,5.8747969659
USH1C,0.378511623254
GGCT,6.58886451819
DBF4,5.12267271882
TBXA2R,0.748461233004
IFRD1,6.463033855319999
LGALS14,0.0
COX10,3.45943161864
GTF2IRD1,3.80219321694
PAF1,5.28243980501
VPS41,6.3428747084
ARHGAP44,0.0840642647885
ELAC2,4.95791459863
SCIN,6.37382218722
ARSD,3.8083850506599997
PNPLA4,3.50842865253
MYH13,0.0
ADIPOR2,6.73795710621
CDKL3,0.956056652412
UPP2,0.0
PRSS21,0.0
MARK4,3.71149490665
PROM1,0.34482849699699997
CCDC124,6.016362598759999
CEACAM21,0.0
PAFAH1B1,6.22322945684
NOS2,1.33342373373
DNAH9,0.0
KIAA0100,6.02724253597
SLC13A2,0.0
GAS7,3.2779847473
TRAPPC6A,4.9126498649
MATK,0.0703893278914
CEACAM7,0.0
CD79B,3.08746284125
SCN4A,1.0071955014
ST7L,4.75595576955
TKTL1,3.2509615735299997
PAX6,0.545968369105
RPUSD1,3.44493204894
RHBDF1,3.8943327422800005
LUC7L,5.049630767719999
CACNA2D2,2.5873649909400003
BAIAP3,1.03562390973
TSR3,4.4215599449
PIGQ,3.4422800352499996
CRAMP1,2.74631276643
TEAD3,3.36737106565
SELE,0.0
DNAJC11,4.6129421963
FMO3,0.0703893278914
MYLIP,3.7570232465099997
NOX1,0.0
E2F2,2.60169651648
PSMB1,8.35323506103
SYN1,0.0
JARID2,5.25927248704
CDKL5,0.411426245726
CAMK1G,0.367371065649
CDK11A,4.6987741088999995
NADK,5.0904300423199995
TFAP2B,0.0
TFAP2D,0.0
DLEC1,0.0976107966264
CYTH3,3.97911075502
ADAM22,0.963474123975
SYPL1,7.11727946005
CYB561,2.07382023329
SPAG9,6.37521323956
CELSR3,0.464668267003
AASS,2.76341157447
PLEKHG6,0.62293035092
