,feature_name
0,sensitivity_BRD-A00077618-236-07-6::2.5::HTS
1,sensitivity_BRD-A00100033-001-08-9::2.5::HTS
2,sensitivity_BRD-A00147595-001-01-5::2.5::HTS
3,sensitivity_BRD-A00218260-001-03-4::2.5::HTS
4,sensitivity_BRD-A00376169-001-01-6::2.5::HTS
5,sensitivity_BRD-A00520476-001-07-4::2.5::HTS
6,sensitivity_BRD-A00546892-001-02-6::2.5::HTS
7,sensitivity_BRD-A00578795-001-04-3::2.5::HTS
8,sensitivity_BRD-A00758722-001-04-9::2.5::HTS
9,sensitivity_BRD-A00827783-001-24-6::2.5::HTS
10,sensitivity_BRD-A00993607-003-24-6::2.5::HTS
11,sensitivity_BRD-A01098288-001-02-9::2.5::HTS
12,sensitivity_BRD-A01412266-001-01-0::2.5::HTS
13,sensitivity_BRD-A01493904-003-12-1::2.5::HTS
14,sensitivity_BRD-A01563671-001-02-7::2.5::HTS
15,sensitivity_BRD-A01593789-001-03-1::2.5::HTS
16,sensitivity_BRD-A01636364-003-15-1::2.5::HTS
17,sensitivity_BRD-A01643550-001-04-9::2.5::HTS
18,sensitivity_BRD-A01787639-003-16-9::2.5::HTS
19,sensitivity_BRD-A01907367-001-01-7::2.5::HTS
20,sensitivity_BRD-A02006392-001-16-4::2.5::HTS
21,sensitivity_BRD-A02180903-001-04-5::2.5::HTS
22,sensitivity_BRD-A02710418-003-11-8::2.5::HTS
23,sensitivity_BRD-A02743701-001-03-6::2.5::HTS
24,sensitivity_BRD-A02759312-003-24-5::2.5::HTS
25,sensitivity_BRD-A02990301-003-06-6::2.5::HTS
26,sensitivity_BRD-A03061970-003-07-3::2.5::HTS
27,sensitivity_BRD-A03216249-003-24-3::2.5::HTS
28,sensitivity_BRD-A03359064-001-02-3::2.5::HTS
29,sensitivity_BRD-A03506276-001-01-5::2.5::HTS
30,sensitivity_BRD-A03623303-045-09-5::2.5::HTS
31,sensitivity_BRD-A03880619-001-01-0::2.5::HTS
32,sensitivity_BRD-A03932035-004-04-3::2.5::HTS
33,sensitivity_BRD-A04203391-001-08-3::2.5::HTS
34,sensitivity_BRD-A04252265-003-01-4::2.5::HTS
35,sensitivity_BRD-A04322457-003-17-9::2.5::HTS
36,sensitivity_BRD-A04327189-001-15-1::2.5::HTS
37,sensitivity_BRD-A04327189-003-03-3::2.5::HTS
38,sensitivity_BRD-A04352665-001-05-3::2.5::HTS
39,sensitivity_BRD-A04497688-001-04-2::2.5::HTS
40,sensitivity_BRD-A04506385-001-01-2::2.5::HTS
41,sensitivity_BRD-A04553218-050-16-2::2.5::HTS
42,sensitivity_BRD-A04661934-001-02-9::2.5::HTS
43,sensitivity_BRD-A05186015-003-19-8::2.5::HTS
44,sensitivity_BRD-A05334458-001-02-8::2.5::HTS
45,sensitivity_BRD-A05457250-001-08-4::2.5::HTS
46,sensitivity_BRD-A05515753-001-03-2::2.5::HTS
47,sensitivity_BRD-A05523972-001-01-5::2.5::HTS
48,sensitivity_BRD-A05674712-001-06-0::2.5::HTS
49,sensitivity_BRD-A05729358-001-02-0::2.5::HTS
50,sensitivity_BRD-A05906449-004-01-1::2.5::HTS
51,sensitivity_BRD-A06352418-001-25-9::2.5::HTS
52,sensitivity_BRD-A06352508-001-03-7::2.5::HTS
53,sensitivity_BRD-A06390036-001-04-6::2.5::HTS
54,sensitivity_BRD-A06426627-001-03-5::2.5::HTS
55,sensitivity_BRD-A06627858-236-03-0::2.5::HTS
56,sensitivity_BRD-A06771424-004-01-7::2.5::HTS
57,sensitivity_BRD-A06916187-001-02-9::2.5::HTS
58,sensitivity_BRD-A06935312-001-04-3::2.5::HTS
59,sensitivity_BRD-A07000685-001-04-4::2.5::HTS
60,sensitivity_BRD-A07164067-001-01-2::2.5::HTS
61,sensitivity_BRD-A07207424-001-13-2::2.5::HTS
62,sensitivity_BRD-A07232941-001-02-7::2.5::HTS
63,sensitivity_BRD-A07395371-003-10-0::2.5::HTS
64,sensitivity_BRD-A07440155-003-25-4::2.5::HTS
65,sensitivity_BRD-A07563059-035-01-3::2.5::HTS
66,sensitivity_BRD-A07600638-060-05-2::2.5::HTS
67,sensitivity_BRD-A07704283-001-01-3::2.5::HTS
68,sensitivity_BRD-A07780951-001-08-9::2.5::HTS
69,sensitivity_BRD-A07780951-065-10-0::2.58::HTS
70,sensitivity_BRD-A07815743-001-01-1::2.5::HTS
71,sensitivity_BRD-A07870296-001-07-4::2.5::HTS
72,sensitivity_BRD-A07893380-213-01-7::2.5::HTS
73,sensitivity_BRD-A07932845-050-15-8::2.5::HTS
74,sensitivity_BRD-A07947329-001-01-4::2.5::HTS
75,sensitivity_BRD-A07986123-001-02-8::2.5::HTS
76,sensitivity_BRD-A08079565-001-01-8::2.5::HTS
77,sensitivity_BRD-A08187463-001-12-9::2.5::HTS
78,sensitivity_BRD-A08255417-001-14-7::2.5::HTS
