,def
TSPAN6,5.18626283567
TNMD,0.0
DPM1,6.30432850306
SCYL3,2.28688114779
C1orf112,2.6322682155000003
FGR,0.0143552929771
CFH,3.8982083525099998
FUCA2,5.78999001867
GCLC,3.7180875839599996
NFYA,3.13750352375
STPG1,2.53356334821
NIPAL3,3.55336050334
LAS1L,4.19692173382
ENPP4,1.65535182861
SEMA3F,0.871843648509
CFTR,0.62293035092
ANKIB1,3.6633446193699997
CYP51A1,5.25550073315
KRIT1,3.9643986322000004
RAD52,2.44890095115
BAD,4.0574502721800005
LAP3,4.96393645214
CD99,6.318316841330001
HS3ST1,2.32768736418
AOC1,0.0
WNT16,0.111031312389
HECW1,0.0
MAD1L1,3.2357270598400003
LASP1,5.70154905694
SNX11,3.4828482830699996
TMEM176A,0.0143552929771
M6PR,5.864433796369999
KLHL13,0.0703893278914
CYP26B1,0.32192809488699997
ICA1,4.68594014845
DBNDD1,3.2372577709
ALS2,3.11436702495
CASP10,1.5109619192800001
CFLAR,5.6296480441900005
TFPI,5.858478390419999
NDUFAF7,3.56559717585
RBM5,5.22650852981
MTMR7,0.604071323669
SLC7A2,3.2265085298100002
ARF5,6.928607199310001
SARM1,0.0840642647885
POLDIP2,4.93262815702
PLXND1,2.85798099513
AK2,7.951168128839999
CD38,0.18903382439
FKBP4,4.95884267524
KDM1A,5.0861893131
RBM6,4.8801957289399995
CAMKK1,1.66448284036
RECQL,3.9772799235000003
VPS50,2.67807190511
HSPB6,0.0143552929771
ARHGAP33,0.863938450424
NDUFAB1,6.72710360352
PDK4,0.7398481026989999
SLC22A16,0.0
ZMYND10,0.150559676575
ABCB5,0.0285691521968
ARX,0.0
SLC25A13,3.49952702422
ST7,3.2094533656299995
CDC27,4.344118334519999
SLC4A1,0.0
CALCR,0.0143552929771
HCCS,4.30524096595
DVL2,3.16349873228
PRSS22,6.99627574899
UPF1,3.6993295256699996
SKAP2,4.1811025507499995
SLC25A5,7.189132689910001
MCUB,1.68706068834
HOXA11,1.22032995488
POLR2J,5.82400405093
DHX33,3.36597242759
MEOX1,0.0285691521968
THSD7A,1.21412480535
LIG3,2.93922657773
RPAP3,4.0285691522
ACSM3,1.84799690655
REXO5,1.5260688116699999
CIAPIN1,5.53262865752
SPPL2B,3.45680614923
FAM214B,2.35895882583
COPZ2,1.76977173925
PRKAR2B,0.887525270742
MSL3,3.8073549220599996
CREBBP,3.09929520434
TSPOAP1,0.790772037862
MPO,0.0
PON1,0.263034405834
GCFC2,3.25701061821
WDR54,3.7322691994999997
CROT,1.5160151469999998
ABCB4,0.0
KMT2E,3.5033487351699995
RHBDD2,5.23112515788
SOX8,0.0
IBTK,4.7612852733599995
ZNF195,4.450881315269999
MYCBP2,3.57410150809
FBXL3,3.5122268865099997
ITGAL,0.0143552929771
PDK2,2.2779847473
ITGA3,7.936932336519999
ZFX,2.68929916054
LAMP2,5.893362210759999
ITGA2B,0.0840642647885
ASB4,0.464668267003
GDE1,6.016808287690001
REX1BD,3.3729520979100003
CRLF1,1.0703893278899999
OSBPL7,2.7506065048400004
TMEM98,4.4389581479
YBX2,0.042644337408499995
KRT33A,0.0
MAP3K14,1.4750848829499998
ABCC8,0.0
CACNG3,0.0
TMEM132A,5.59693514239
AP2B1,6.060695931690001
TAC1,0.0
ZNF263,4.4640147245
CX3CL1,4.33556900556
SPATA20,4.43562859405
CACNA1G,0.0
TNFRSF12A,8.65531604704
DLX6,0.0
MAP3K9,2.67355642399
RALA,5.65449282588
BAIAP2L1,4.78972925138
KDM7A,2.11103131239
ETV1,3.28540221886
AGK,4.43429461796
ALDH3B1,3.04089243065
TTC22,1.42760617278
PHTF2,2.24792751344
CCL26,0.18903382439
FARP2,2.464668267
USH1C,0.0
GGCT,5.744161095569999
DBF4,4.0574502721800005
TBXA2R,0.0143552929771
IFRD1,5.688460140419999
LGALS14,0.367371065649
COX10,2.8359240742500003
GTF2IRD1,3.60880924268
PAF1,5.06608919046
VPS41,3.48026512205
ARHGAP44,0.0285691521968
ELAC2,4.51538446064
SCIN,2.8318772411900004
ARSD,3.79908730607
PNPLA4,4.26528685757
MYH13,0.0
ADIPOR2,4.10768786931
CDKL3,1.5260688116699999
UPP2,0.042644337408499995
PRSS21,0.0
MARK4,2.28095631383
PROM1,2.72027846523
CCDC124,5.12267271882
CEACAM21,0.0
PAFAH1B1,4.76977173925
NOS2,0.0
DNAH9,0.0
KIAA0100,3.91647664444
SLC13A2,0.0
GAS7,0.18903382439
TRAPPC6A,5.817367437840001
MATK,0.0703893278914
CEACAM7,0.0
CD79B,0.042644337408499995
SCN4A,0.20163386116999998
ST7L,3.15380533608
TKTL1,0.0143552929771
PAX6,0.0143552929771
RPUSD1,3.12598165385
RHBDF1,5.2498245486199995
LUC7L,5.27426166126
CACNA2D2,0.150559676575
BAIAP3,1.5607149544699999
TSR3,4.38059093427
PIGQ,3.90881290774
CRAMP1,2.5655971758500002
TEAD3,3.6241008946300006
SELE,0.042644337408499995
DNAJC11,4.45614903465
FMO3,0.0143552929771
MYLIP,2.6553518286099997
NOX1,0.475084882949
E2F2,0.367371065649
PSMB1,8.14282184412
SYN1,0.48542682717
JARID2,3.55336050334
CDKL5,0.565597175854
CAMK1G,0.0143552929771
CDK11A,4.22650852981
NADK,4.7484612330000004
TFAP2B,0.0
TFAP2D,0.0
DLEC1,0.0840642647885
CYTH3,2.9354597478099995
ADAM22,0.12432813500199999
SYPL1,6.73660487531
CYB561,5.04045412135
SPAG9,4.190614860209999
CELSR3,1.28688114779
AASS,1.59454854955
PLEKHG6,2.91647664444
