,feature_name
0,mutation_VPS13D
1,mutation_AADACL4
2,mutation_TMEM57
3,mutation_ZSCAN20
4,mutation_POU3F1
5,mutation_VAV3
6,mutation_NBPF20
7,mutation_FLG2
8,mutation_RHBG
9,mutation_FCRL5
10,mutation_SPTA1
11,mutation_C1orf192
12,mutation_DUSP12
13,mutation_RGS7
14,mutation_ZBTB18
15,mutation_ECD
16,mutation_PDZD7
17,mutation_SORCS1
18,mutation_GFRA1
19,mutation_CPXM2
20,mutation_TCERG1L
21,mutation_SYT8
22,mutation_MMP26
23,mutation_BBOX1
24,mutation_KBTBD4
25,mutation_OR4C3
26,mutation_OR4C12
27,mutation_TNKS1BP1
28,mutation_MTA2
29,mutation_RELT
30,mutation_APOA4
31,mutation_OR8G5
32,mutation_CACNA2D4
33,mutation_TAS2R46
34,mutation_TAS2R43
35,mutation_PRB1
36,mutation_PTHLH
37,mutation_AAAS
38,mutation_BAZ2A
39,mutation_PIP4K2C
40,mutation_TBC1D30
41,mutation_USP44
42,mutation_CDK17
43,mutation_ABCC4
44,mutation_F10
45,mutation_FANCM
46,mutation_TRIM9
47,mutation_PCNX
48,mutation_RPS6KL1
49,mutation_NEK9
50,mutation_FOS
51,mutation_EML5
52,mutation_TECPR2
53,mutation_UBE3A
54,mutation_HERC2
55,mutation_GOLGA8T
56,mutation_RYR3
57,mutation_CASC5
58,mutation_UNC13C
59,mutation_ADAM10
60,mutation_UACA
61,mutation_MYO9A
62,mutation_NEIL1
63,mutation_TSC2
64,mutation_BRICD5
65,mutation_SLC5A2
66,mutation_NDRG4
67,mutation_OR1A2
68,mutation_TP53
69,mutation_EVPLL
70,mutation_SLC47A2
71,mutation_SLFN11
72,mutation_KRTAP1-1
73,mutation_LRRC46
74,mutation_MMD
75,mutation_AC007431.1
76,mutation_KCNH6
77,mutation_SLC25A10
78,mutation_EMILIN2
79,mutation_ANKRD12
80,mutation_SKOR2
81,mutation_DCC
82,mutation_REXO1
83,mutation_MUC16
84,mutation_DNMT1
85,mutation_NOTCH3
86,mutation_COMP
87,mutation_SUGP1
88,mutation_SLC7A9
89,mutation_DYRK1B
90,mutation_RAB4B
91,mutation_CEACAM4
92,mutation_PRR19
93,mutation_PNMAL2
94,mutation_PRR12
95,mutation_KLK7
96,mutation_PPP2R1A
97,mutation_ZNF578
98,mutation_ZNF600
99,mutation_PEG3
100,mutation_ZNF304
101,mutation_ZNF837
102,mutation_APOB
103,mutation_KLHL29
104,mutation_NLRC4
105,mutation_EML6
106,mutation_ARID5A
107,mutation_GPR39
108,mutation_TNFAIP6
109,mutation_CCDC148
110,mutation_ITGA6
111,mutation_SP9
112,mutation_FSIP2
113,mutation_SGOL2
114,mutation_UNC80
115,mutation_TRIP12
116,mutation_CENPB
117,mutation_PAX1
118,mutation_XKR7
119,mutation_FAM217B
120,mutation_LAMA5
121,mutation_PPDPF
122,mutation_URB1
123,mutation_ZDHHC8
124,mutation_MYO18B
125,mutation_TBC1D10A
126,mutation_PLXNB2
127,mutation_CPT1B
128,mutation_RABL2B
129,mutation_PRRT3
130,mutation_IRAK2
131,mutation_CACNA1D
132,mutation_C3orf67
133,mutation_STX19
134,mutation_SLC9C1
135,mutation_ITGB5
136,mutation_COL6A5
137,mutation_DBR1
138,mutation_ESYT3
139,mutation_TFDP2
140,mutation_CCDC39
141,mutation_ZNF721
142,mutation_CRIPAK
143,mutation_TLR1
144,mutation_MOB1B
145,mutation_PTPN13
146,mutation_RAPGEF2
147,mutation_MROH2B
148,mutation_CWC27
149,mutation_PIK3R1
150,mutation_MAP1B
151,mutation_POLK
152,mutation_YTHDC2
153,mutation_FBN2
154,mutation_PHF15
155,mutation_PCDH1
156,mutation_PDE6A
157,mutation_TENM2
158,mutation_SIMC1
159,mutation_ATXN1
160,mutation_C6orf223
161,mutation_TFAP2D
162,mutation_EYS
163,mutation_LCA5
164,mutation_LAMA4
165,mutation_SOGA3
166,mutation_PDGFA
167,mutation_USP42
168,mutation_NOD1
169,mutation_PDE1C
170,mutation_VPS41
171,mutation_ADCY1
172,mutation_PCLO
173,mutation_DMTF1
174,mutation_FZD1
175,mutation_MCM7
176,mutation_MOSPD3
177,mutation_COPG2
178,mutation_WDR91
179,mutation_OR2A14
180,mutation_ACTR3B
181,mutation_MTMR9
182,mutation_NEFM
183,mutation_WHSC1L1
184,mutation_FNTA
185,mutation_SNTG1
186,mutation_TCF24
187,mutation_CA1
188,mutation_RUNX1T1
189,mutation_FER1L6
190,mutation_PRSS3
191,mutation_VCP
192,mutation_CNTNAP3
193,mutation_FOXB2
194,mutation_AUH
195,mutation_ROR2
196,mutation_FBP2
197,mutation_ZNF618
198,mutation_TRIM32
199,mutation_OR1B1
200,mutation_CLIC3
201,mutation_MAN1B1
202,mutation_MT-ND1
203,mutation_MT-ND5
204,mutation_MT-CYB
205,mutation_TBL1X
206,mutation_CXorf21
207,mutation_XK
208,mutation_RBM3
209,mutation_ACRC
210,mutation_HMGN5
211,mutation_THOC2
212,mutation_SAGE1
213,mutation_HMGB3
214,mutation_HCFC1
215,mutation_TMLHE
216,mutation_CDK11A
217,mutation_PRDM16
218,mutation_FUCA1
219,mutation_AHDC1
220,mutation_CPT2
221,mutation_CYP2J2
222,mutation_CELSR2
223,mutation_GSTM2
224,mutation_NRAS
225,mutation_OR6K2
226,mutation_CREG1
227,mutation_IER5
228,mutation_LAMC1
229,mutation_FMOD
230,mutation_CDC42BPA
231,mutation_TRIM11
232,mutation_OR2C3
233,mutation_TUBAL3
234,mutation_ZWINT
235,mutation_GRID1
236,mutation_TLL2
237,mutation_HSPA12A
238,mutation_CAT
239,mutation_PRPF19
240,mutation_METTL12
241,mutation_RELA
242,mutation_DHCR7
243,mutation_DCPS
244,mutation_GXYLT1
245,mutation_GPR84
246,mutation_CCER1
247,mutation_NOS1
248,mutation_CLIP1
249,mutation_REM2
250,mutation_GOLGA5
251,mutation_KNSTRN
252,mutation_MNS1
253,mutation_ZNF609
254,mutation_NOX5
255,mutation_CYP1A1
256,mutation_CHRNA3
257,mutation_IL16
258,mutation_KLHL25
259,mutation_CHD2
260,mutation_SEPT12
261,mutation_EARS2
262,mutation_MLKL
263,mutation_GALNS
264,mutation_VTN
265,mutation_FNDC8
266,mutation_TEN1
267,mutation_RPTOR
268,mutation_ZCCHC2
269,mutation_RANBP3
270,mutation_TIMM44
271,mutation_FBXW9
272,mutation_CEBPA
273,mutation_PSMD8
274,mutation_CYP2A6
275,mutation_ACPT
276,mutation_KLK6
277,mutation_USP29
278,mutation_ZIM3
279,mutation_ETAA1
280,mutation_EIF5B
281,mutation_CSRNP3
282,mutation_CCDC150
283,mutation_ARMC9
284,mutation_RASSF2
285,mutation_CCM2L
286,mutation_SEMG2
287,mutation_ZNF335
288,mutation_SLC19A1
289,mutation_SEC14L3
290,mutation_SLC5A4
291,mutation_CARD10
292,mutation_SH3BP1
293,mutation_CYP2D6
294,mutation_TCF20
295,mutation_TTC38
296,mutation_XIRP1
297,mutation_DOCK3
298,mutation_FOXP1
299,mutation_PPP2R3A
300,mutation_ZIC4
301,mutation_SLC7A14
302,mutation_FXR1
303,mutation_UVSSA
304,mutation_CLNK
305,mutation_NFXL1
306,mutation_HERC5
307,mutation_AIMP1
308,mutation_PLEKHG4B
309,mutation_ERBB2IP
310,mutation_MTX3
311,mutation_ANKRD32
312,mutation_NRM
313,mutation_ABHD16A
314,mutation_ARMC12
315,mutation_ABCC10
316,mutation_PTCHD4
317,mutation_KIAA1009
318,mutation_NCOA7
319,mutation_PPP1R14C
320,mutation_TBP
321,mutation_INTS1
322,mutation_SLC29A4
323,mutation_ELMO1
324,mutation_LMTK2
325,mutation_TMEM130
