,jkl
TSPAN6,1.014355293
TNMD,0
DPM1,6.137298581
SCYL3,3.412781525
C1orf112,4.125981654
FGR,0.028569152
CFH,4.329841177
FUCA2,5.18070484
GCLC,5.587665021
NFYA,5.315421316
STPG1,1.941106311
NIPAL3,4.092545742
LAS1L,2.957914599
ENPP4,4.98230913
SEMA3F,5.981624361
CFTR,2.435628594
ANKIB1,4.789729251
CYP51A1,7.443109313
KRIT1,5.069530325
RAD52,4.414135533
BAD,7.040892431
LAP3,5.593652558
CD99,7.175225173
HS3ST1,2.776103988
AOC1,6.739578112
WNT16,0.176322773
HECW1,2.392317423
MAD1L1,3.311793718
LASP1,5.489286023
SNX11,3.482848283
TMEM176A,7.987207156
M6PR,7.552745937
KLHL13,4.650764559
CYP26B1,0.028569152
ICA1,6.431790083
DBNDD1,4.9795681
ALS2,4.108524457
CASP10,0.111031312
CFLAR,4.650190124
TFPI,2.531069493
NDUFAF7,3.657640005
RBM5,6.530757457
MTMR7,3.655351829
SLC7A2,5.105594276
ARF5,7.705148528
SARM1,4.577730931
POLDIP2,5.752481004
PLXND1,7.085870755
AK2,7.35614381
CD38,0.604071324
FKBP4,6.705010253
KDM1A,5.074248523
RBM6,6.002477504
CAMKK1,2.060047384
RECQL,5.010779839
VPS50,4.195347598
HSPB6,2.545968369
ARHGAP33,4.994579724
NDUFAB1,7.640100298
PDK4,4.735522177
SLC22A16,2.62058641
ZMYND10,0.815575429
ABCB5,0.028569152
ARX,0
SLC25A13,5.211401637
ST7,5.051807107
CDC27,5.20867332
SLC4A1,0.014355293
CALCR,0.575312331
HCCS,4.292045492
DVL2,5.309248961
PRSS22,2.3950628
UPF1,5.346602375
SKAP2,2.160274831
SLC25A5,8.285910772
MCUB,0.495695163
HOXA11,0.070389328
POLR2J,6.204571144
DHX33,4.032982417
MEOX1,0
THSD7A,4.477677328
LIG3,4.792855352
RPAP3,4.458119481
ACSM3,0.464668267
REXO5,4.305240966
CIAPIN1,5.799864411
SPPL2B,7.257670696
FAM214B,2.49057013
COPZ2,2.935459748
PRKAR2B,5.033863452
MSL3,3.277984747
CREBBP,4.936873462
TSPOAP1,4.496973581
MPO,0.565597176
PON1,1.744161096
GCFC2,4
WDR54,5.185470146
CROT,2.807354922
ABCB4,5.058749412
KMT2E,4.960697039
RHBDD2,7.048759312
SOX8,0.070389328
IBTK,4.786596362
ZNF195,4.836429131
MYCBP2,5.482202926
FBXL3,4
ITGAL,0.847996907
PDK2,3.440952198
ITGA3,5.608513578
ZFX,3.508428653
LAMP2,6.487840034
ITGA2B,0.815575429
ASB4,1.40599236
GDE1,5.899900664
REX1BD,5.860466259
CRLF1,2.731183242
OSBPL7,3.814550423
TMEM98,7.522149933
YBX2,1.13093087
KRT33A,0
MAP3K14,2.871843649
ABCC8,8.954807
CACNG3,0.042644337
TMEM132A,8.359573879
AP2B1,6.663771557
TAC1,0.042644337
ZNF263,4.952799478
CX3CL1,3.432959407
SPATA20,6.918147674
CACNA1G,2.220329955
TNFRSF12A,4.192194165
DLX6,2.927896454
MAP3K9,4.10433666
RALA,4.161081482
BAIAP2L1,4.469234794
KDM7A,3.464668267
ETV1,5.098032083
AGK,5.181500152
ALDH3B1,0.933572638
TTC22,1.97819563
PHTF2,5.761285273
CCL26,0
FARP2,4.669026766
USH1C,4.308156975
GGCT,5.50779464
DBF4,4.260025656
TBXA2R,1.627606838
IFRD1,5.048323387
LGALS14,0
COX10,3.882643049
GTF2IRD1,5.169524197
PAF1,5.854743739
VPS41,5.812241495
ARHGAP44,0.389566812
ELAC2,5.76897825
SCIN,6.291677223
ARSD,1.028569152
PNPLA4,4.129283017
MYH13,0.056583528
ADIPOR2,5.440620048
CDKL3,1.86393845
UPP2,0
PRSS21,4.615887074
MARK4,4.416839742
PROM1,0.739848103
CCDC124,6.997179481
CEACAM21,1.416839742
PAFAH1B1,6.216454865
NOS2,0.659924558
DNAH9,1.049630768
KIAA0100,6.500324049
SLC13A2,0.189033824
GAS7,0.111031312
TRAPPC6A,4.231125158
MATK,0.070389328
CEACAM7,3.517275693
CD79B,0.910732662
SCN4A,0.545968369
ST7L,4.679761574
TKTL1,1.627606838
PAX6,0
RPUSD1,4.308156975
RHBDF1,3.465974465
LUC7L,6.516803117
CACNA2D2,7.372081484
BAIAP3,5.279471296
TSR3,5.597829098
PIGQ,5.991635216
CRAMP1,4.519793486
TEAD3,1.722466024
SELE,0
DNAJC11,4.958378712
FMO3,0.40053793
MYLIP,4.258518925
NOX1,0.056583528
E2F2,2.372952098
PSMB1,7.969069885
SYN1,4.465974464
JARID2,4.500802053
CDKL5,2.080657663
CAMK1G,0.925999419
CDK11A,4.736604875
NADK,5.568336182
TFAP2B,3.781359714
TFAP2D,0.97819563
DLEC1,0.163498732
CYTH3,0.40053793
ADAM22,4.140778656
SYPL1,5.499208091
CYB561,6.198101209
SPAG9,6.587364991
CELSR3,4.934516502
AASS,3.476381688
PLEKHG6,3.046141782
SS18L2,3.71918344
MPND,3.737686761
MGST1,2.367371066
CRY1,4.27351589
PGLYRP1,0.214124805
NFIX,2.462052319
ST3GAL1,1.321928095
MMP25,0.687060688
IL32,1.263034406
PKD1,6.547511524
MAPK8IP2,5.043081982
MED24,6.227856573
RHOBTB2,3.224966365
HEATR5B,4.409390936
SEC62,7.541716163
RPS20,10.53760669
CSDE1,6.657068301
UBE3C,5.025471815
REV3L,4.901108243
TENM1,1.275007048
PAX7,6.408711861
MASP2,0.941106311
IYD,0
FAM76A,1.790772038
TRAF3IP3,0.485426827
POMT2,5.312156888
VTA1,5.608217853
MLXIPL,0.485426827
BAZ1B,5.593353771
RANBP9,4.370164281
ETV7,1.918386234
SPRTN,3.6622055
METTL13,5.011674533
DYRK4,5.198101209
ZNF207,6.895181422
UQCRC1,6.503984704
STARD3NL,5.659353759
CD9,9.134323634
HHATL,6.271276259
NCAPD2,6.219362158
IFFO1,4.819668184
GIPR,6.584210901
PHF7,1.244887059
SEMA3G,1.111031312
NISCH,5.251340383
STAB1,0.111031312
FUZ,5.704871964
SLC6A13,1.495695163
IDS,5.67468662
PRSS3,0.124328135
ZNF200,3.269033146
CD4,1.077242999
LRRC23,3.247927513
BTK,0.263034406
HFE,2.89917563
SCMH1,4.943921327
FYN,6.262470743
HIVEP2,3.397802962
FMO1,0.137503524
ELOA,4.388878339
LYPLA2,5.5055734
CLCN6,3.882643049
MRC2,3.314696526
SLC6A7,0
TSPAN9,3.71259578
BTBD7,3.498250868
APBA3,3.943921327
MKS1,4.285402219
ABHD5,2.948600847
ANOS1,0.014355293
AKAP8L,6.252286971
MBTD1,3.612352499
UTP18,5.132576843
RNF216,3.885574364
TTC19,5.388878339
PTBP1,7.663415784
DPF1,3.145677455
SYT7,8.183039821
LARS2,3.699329526
PIK3C2A,4.726831217
PLAUR,1.510961919
ANLN,4.868884273
WIZ,4.744699314
RABGAP1,4.403949364
DCN,1.613531653
QPCTL,2.983677695
PPP5C,6.555049213
CEP68,3.543495883
MAP4K3,4.444932049
ZBTB32,0.992768431
TYROBP,0
TMEM159,0.163498732
GABRA3,3.869871406
BRCA1,4.337711092
ERCC1,4.884109451
CD22,0.687060688
SEMA3B,3.100977648
MBTPS2,5.074248523
PRICKLE3,2.914564523
LTF,0
EXTL3,4.00270252
NR1H4,0.201633861
ELOVL5,7.346513733
ALOX5,2.316145742
KDM5D,0.137503524
CALCOCO1,5.807870078
UBR7,5.189824559
MAP4K5,4.537917249
EHD3,3.198494154
PSMC4,6.815831566
MAN2B2,4.863442934
SLC7A14,3.481557281
CLDN11,2.333423734
SLC25A39,6.874428132
MVP,5.409051439
NUB1,5.593652558
PGM3,4.715344295
RWDD2A,2.073820233
CLK1,6.84899843
POLR3B,3.261530815
ANGEL1,5.027684877
RNF14,6.175524601
DNASE1L1,4.517905554
DDX11,5.917431755
HEBP1,4.420886575
GPRC5A,1.056583528
MAMLD1,0.432959407
CD6,2.408711861
TACC3,5.498889087
UFL1,5.538538164
POLA2,5.050936965
ZC3H3,3.63343121
CAPN1,6.485426827
ACPP,0.298658316
MDH1,7.457709193
SLC30A9,6.195741293
MTMR11,4.368069877
COX15,5.191009849
CCDC88C,2.737686761
YAF2,4.143230135
ZMYND11,6.14974712
WAS,0.23878686
DPEP1,0.298658316
BID,4.844486088
MATR3,8.126704473
NPC1L1,1.769771739
XYLT2,3.941106311
RGPD5,3.961623328
STMN4,3.140778656
NUDCD3,6.209453366
ISL1,3.784503983
CHDH,3.092545742
IL20RA,0.831877241
CLCA1,0
CLCA4,0.014355293
GLT8D1,5.382667253
ATP2C1,7.230164578
IGF1,0.622930351
SLC38A5,0.070389328
RALBP1,4.780835002
RUFY3,7.048541366
CNTN1,8.355615383
SLC11A1,0.687060688
WWTR1,3.684818738
AGPS,4.827819025
CXorf56,4.484138131
ATP1A2,0.659924558
TTC27,2.869871406
ZNF582,1.839959587
VSIG2,1.883620816
PHLDB1,5.622051819
MARCO,0
CYP24A1,0.475084883
PRDM11,2.307428525
SYT13,5.958610712
SNAI2,2.392317423
CD74,6.357552005
HGF,0.137503524
ZRANB1,3.702657543
NCDN,5.334854269
ADGRA2,0.432959407
ZFP64,3.716990894
MNAT1,5.465648026
SAMD4A,1.384049807
RUNX3,0.042644337
MRE11,3.023255352
PLEKHB1,3.909773104
SERPINB1,5.307064162
CYP3A43,0
SLC7A9,0.765534746
SPAST,4.040015679
NRXN3,6.331812684
OSBPL5,2.746312766
AQR,4.164303583
CPS1,0.097610797
C8B,0
FHL1,0.310340121
RTF2,5.935223994
GABRA1,0.163498732
NLRP2,6.136683578
SLC45A4,5.465648026
RNF10,6.456149035
ZNF839,3.459431619
ZDHHC6,5.285402219
GRAMD1B,3.85698569
RNH1,6.449726433
NDUFS1,6.454340425
RB1CC1,4.792334806
ERP44,4.042644337
ALAS1,4.605849867
BIRC3,1.15704371
AKAP11,3.949534933
GLRX2,4.639232163
SNAPC1,3.152183419
DERA,5.824258697
STRAP,7.027795441
ABCC2,1.372952098
DEF6,0.855989697
PLEKHO1,5.002252452
GCLM,2.731183242
UBR2,3.911691582
EHD2,0.250961574
DEPDC1,3.393690764
CCDC28A,3.514753498
RRAGD,4.414135533
HSF2,4.240314329
PHF20,4.550900665
HSD17B6,1.82374936
NR1H3,3.59454855
TYMP,3.926948248
NCAPH2,5.557655155
TOMM34,4.541638734
SEC63,6.132988043
KPNA6,3.792855352
VIM,3.558267634
FAS,0.731183242
RNASET2,6.717128026
CD44,1.790772038
KCNG1,0.084064265
AGPAT4,4.775577361
SLAMF7,0.070389328
BTN3A1,3.873813198
MIPEP,2.411426246
PRKCH,3.625270489
INSRR,1.646162657
IFNGR1,5.338067798
B4GALT7,4.566815154
SH2D2A,4.476381688
VRK2,3.983677695
TNFRSF1B,0.124328135
VEZT,6.189429246
POU2F2,1.996388746
BRD9,5.382321407
SNX1,6.341807889
TBPL1,5.659353759
ARNTL2,0.321928095
BCLAF1,5.821199978
SLC39A9,6.783849492
ANK1,3.86393845
IBSP,0.084064265
TFB1M,4.125155131
RABEP1,5.443275112
HMGB3,6.784373108
NUP160,4.329123596
BAK1,3.231125158
MUSK,0.042644337
IKZF2,0.895302621
GRN,8.3850427
FAM13B,4.290571851
ARHGAP31,0.176322773
CENPQ,2.952333566
SARS,5.678353654
RANBP3,6.12722055
ARID4A,4.052241981
EIPR1,4.716990894
PNPLA6,6.548898953
IFT88,2.601696516
ALG1,5.365972428
ZCCHC8,4.916476644
ABCF2,4.704871964
CHPF2,5.614415387
LRRC7,3.09592442
FUT8,5.150153455
UBA6,5.196528361
GAB2,5.431288654
ATP6V0A1,7.065335347
PIAS1,4.98230913
SLC4A7,3.424922088
APBA2,4.054848477
MAP2K3,3.763411574
EFCAB1,0.731183242
TMSB10,10.37199439
ASTE1,2.684818738
RNF19A,5.081936082
PEX3,3.866907978
GABARAPL2,7.940225491
MYOC,0.056583528
SH3YL1,5.421559945
FAM136A,5.686500527
VCL,5.273142859
DEPDC1B,4.484138131
DAPK2,5.217618485
NSMAF,4.950934928
ADSS,5.568032105
STAP1,0.084064265
TIMP2,3.252476214
RFC1,4.789729251
TBC1D23,3.819668184
CUL3,6.17132694
MYOM2,3.736604875
OTC,0
CYP46A1,2.204766751
ZZZ3,3.966245873
SLC18A1,1.169925001
USP2,2.289834465
CASR,6.486392594
TUBG2,4.678635348
RPL26L1,5.781884235
FLT4,0.070389328
NSUN2,5.699884729
FBXO42,3.244887059
MFAP3,6.094024887
MRI1,4.607034346
METTL1,4.475084883
HOXC8,4.42693562
AGA,5.395405605
PI4K2B,3.176322773
BOD1L1,4.708739041
MAT2B,4.387500406
TLL1,0.321928095
EDC4,6.232085099
TRIO,6.522934561
VCAN,5.298291731
CLEC16A,4.526694846
MSR1,1.744161096
CDH1,6.653919873
MTREX,5.663629259
DNAH5,2.912649865
ZFYVE16,4.635173947
RIPOR1,5.279842694
C6,0.042644337
RAI14,3.279471296
SOX30,0.214124805
PNKP,6.796234335
BEST2,0.070389328
PHLPP2,3.173127433
SPDL1,5.472162804
STAU2,6.452035274
PQLC2,4.147306699
CTNS,4.366671916
RTN4R,3.784503983
PHF23,5.403267722
CDH10,5.544732656
INPP4A,4.356848079
RAB27B,4.583158004
PSMA4,7.97951094
MYO16,0.40053793
LSG1,4.839959587
PARP3,4.177917792
TNC,3.745237332
THAP3,3.3305584
RIPOR3,4.666756592
TDP1,3.997292408
AIFM2,3.329123596
C2orf83,0
SPATA7,2.40599236
MED17,3.800123353
RETSAT,4.689858236
CAPG,1.765534746
AP2S1,7.315783575
USH2A,1.669026766
ZPBP,0.310340121
TG,0.526068812
ADAM28,0.070389328
BARX2,5.266786541
DCUN1D1,4.448240225
JADE2,4.830863757
ZIC2,0.070389328
LCP2,0.321928095
TRIT1,4.297925053
ADRB1,0.526068812
GUCA2B,0
CUL7,4.82374936
CTNNA1,7.089794727
PHKA2,4.725741157
CNTLN,0.35614381
EPHA3,1.367371066
HSPA5,8.846963356
DSG2,2.3950628
GEMIN8,4.139142019
OFD1,4.936402378
GPM6B,1.480265122
MAGEC2,7.24060055
PREX2,0.070389328
WDR37,4.262282806
YTHDC2,3.89917563
CTPS2,3.851998837
ATP6V1H,5.973381675
POLR2B,6.246598103
FAM214A,5.309612772
ARAP2,2.548436625
TPR,5.993221467
CP,1.028569152
KIAA0556,3.809414444
DTNBP1,4.080657663
XK,3.032100843
ANO2,0.189033824
C12orf4,4.406672716
SCML1,3.618238656
WWC3,2.788685711
ARHGAP6,0.042644337
FAM184B,1.021479727
MAP4,4.227278994
GOPC,4.456806149
ROS1,0
USP28,3.7473874
HDAC9,3.752748591
TSPAN17,5.078097423
NOP16,5.249445341
CC2D2A,4.028569152
RRM2B,5.650764559
ZNF800,4.289834465
TNFRSF17,0
