,feature_name
0,protein_14-3-3_beta
1,protein_14-3-3_epsilon_Caution
2,protein_14-3-3_zeta
3,protein_4E-BP1
4,protein_4E-BP1_pS65
5,protein_4E-BP1_pT37_T46
6,protein_4E-BP1_pT70
7,protein_53BP1
8,protein_A-Raf_pS299_Caution
9,protein_ACC_pS79
10,protein_ACC1_Caution
11,protein_Acetyl-a-Tubulin (Lys40)_Caution
12,protein_ACVRL1_Caution
13,protein_ADAR1
14,protein_Akt
15,protein_Akt_pS473
16,protein_Akt_pT308
17,protein_alpha-Catenin
18,protein_AMPK_alpha_Caution
19,protein_AMPK_pT172
20,protein_Annexin 1
21,protein_Annexin_VII
22,protein_AR
23,protein_ASNS
24,protein_ATM
25,protein_B-Raf_Caution
26,protein_B-Raf_pS445
27,protein_Bad_pS112
28,protein_Bak_Caution
29,protein_Bap1 c-4
30,protein_Bax
31,protein_Bcl-2
32,protein_Bcl-xL
33,protein_Beclin_Caution
34,protein_beta-Catenin
35,protein_beta-Catenin_pT41_S45
36,protein_beta Actin_Caution
37,protein_Bid_Caution
38,protein_Bim(CST2933)
39,protein_Bim(EP1036)
40,protein_BRCA2_Caution
41,protein_c-Jun_pS73
42,protein_c-Kit
43,protein_c-Met_Caution
44,protein_c-Met_pY1235
45,protein_c-Myc_Caution
46,protein_C-Raf(BD610151)_Caution
47,protein_C-Raf(MP05-739)
48,protein_C-Raf_pS338
49,protein_Caspase-7_cleavedD198_Caution
50,protein_Caspase-8_Caution
51,protein_Caveolin-1
52,protein_CD20 _Caution
53,protein_CD31
54,protein_CD49b
55,protein_CDK1
56,protein_Chk1_Caution
57,protein_Chk1_pS345_Caution
58,protein_Chk2
59,protein_Chk2_pT68_Caution
60,protein_cIAP_Caution
61,protein_Claudin-7
62,protein_Collagen_VI
63,protein_Cyclin_B1
64,protein_Cyclin_D1
65,protein_Cyclin_E1
66,protein_Cyclin_E2_Caution
67,protein_Di-Ras3_Caution
68,protein_DJ-1
69,protein_Dvl3
70,protein_E-Cadherin
71,protein_eEF2_Caution
72,protein_eEF2K
73,protein_EGFR
74,protein_EGFR_pY1068_Caution
75,protein_EGFR_pY1173
76,protein_eIF4E
77,protein_eIF4G_Caution
78,protein_ER-alpha
79,protein_ER-alpha_pS118
80,protein_ERCC1_Caution
81,protein_ERK2_Caution
82,protein_ETS-1
83,protein_FASN
84,protein_Fibronectin
85,protein_FoxM1
86,protein_FOXO3a_Caution
87,protein_FOXO3a_pS318_S321_Caution
88,protein_FRA1_Caution
89,protein_G6PD
90,protein_Gab2
91,protein_GAPDH_Caution
92,protein_GATA3
93,protein_GSK-3-BETA_Caution
94,protein_GSK3-alpha-beta
95,protein_GSK3-alpha-beta_pS21_S9
96,protein_GSK3_pS9
97,protein_HER2
98,protein_HER2_pY1248_Caution
99,protein_HER3
100,protein_HER3_pY1289_Caution
101,protein_Heregulin
102,protein_HSP70_Caution
103,protein_IGFBP2
104,protein_INPP4B
105,protein_IRS1
106,protein_JAK2
107,protein_JNK_pT183_Y185
108,protein_JNK2_Caution
109,protein_Ku80_Caution
110,protein_Lck
111,protein_MAPK_pT202_Y204
112,protein_MDM2_pS166
113,protein_MDMX_MDM4(BetIHC-00108)_Caution
114,protein_MEK1
115,protein_MEK1_pS217_S221
116,protein_MIG-6
117,protein_Mre11_Caution
118,protein_MSH2
119,protein_MSH6_Caution
120,protein_mTOR
121,protein_mTOR_pS2448_Caution
122,protein_MYH11
123,protein_Myosin IIa pS1943
124,protein_N-Cadherin
125,protein_N-Ras
126,protein_NDRG1_pT346
127,protein_NF-kB-p65_pS536_Caution
128,protein_NF2_Caution
129,protein_Notch1
130,protein_P-Cadherin_Caution
131,protein_p14 Arf(BetA300-340A)_Caution
132,protein_p21
133,protein_p27
134,protein_p27_pT157_Caution
135,protein_p27_pT198
136,protein_p38 alpha MAPK
137,protein_p38_MAPK
138,protein_p38_pT180_Y182
139,protein_p53_Caution
140,protein_p62 Lck ligand_Caution
141,protein_p70S6K
142,protein_p70S6K_pT389
143,protein_p90RSK_Caution
144,protein_p90RSK_pT359_S363_Caution
145,protein_p90RSK_pT573_Caution
146,protein_PAI-1
147,protein_PARP_cleaved_Caution
148,protein_Paxillin_Caution
