,RMSE,MSE,Pearsonr,Pearsonr_pvalue,Spearmanr,Spearmanr_pvalue,R_square
cn_A1BG,0.05017223855834854,0.0025172535219558363,0.9537614364945547,1.8603051899935284e-188,0.9115801185789204,7.1282935985816855e-140,0.9048462760017344
cn_NAT2,0.05311353741996,0.002821047857261491,0.9690754381355944,4.829262455093642e-219,0.9590376226119522,1.2126804495011071e-197,0.9355018004895155
cn_ADA,0.05605053028767122,0.003141661945529149,0.9626151203579222,1.3773985388579814e-204,0.940382450734764,2.7797730758814657e-169,0.925001446951083
cn_CDH2,0.07187588998653965,0.005166143561357151,0.9400206537698779,7.920411876893396e-169,0.8813388628665392,2.730514585221198e-118,0.8825559710226709
cn_AKT3,0.09163453164128534,0.008396887389117725,0.9444206633593224,1.4658182203813142e-174,0.9053531691072346,7.564446139880399e-135,0.8770647937797802
cn_GAGE12F,0.13379400554324883,0.0179008359193069,0.8450741042644363,4.154575802630631e-99,0.8116506642183181,2.305098996840771e-85,0.7101808895247865
cn_RNA5-8SN5,0.14819316096057475,0.021961212955486815,0.8166965941186222,2.9545295252543904e-87,0.640174963560065,8.659361559435659e-43,0.6607031639033706
cn_RNA18SN5,0.13896143624831883,0.019310280764195577,0.8544726636434459,1.4325606996374416e-103,0.7142530721069803,2.788573848685873e-57,0.7260118000277931
cn_RNA28SN5,0.14445315968281383,0.02086671534234851,0.8399923261874181,8.115515928253108e-97,0.7454848197195811,7.141914055306814e-65,0.6976997885949205
cn_LINC02584,0.08946896363985092,0.008004695454788966,0.9726831419524519,1.6139262153430553e-228,0.8127166295783341,9.284184423709075e-86,0.9460768012845525
cn_POU5F1P5,0.03767396464631458,0.001419327612171761,0.9691638502839447,2.9199368233274e-219,0.9227935035765602,6.14009809785065e-150,0.9388444733617436
cn_ZBTB11-AS1,0.045196850674212904,0.0020427553108670997,0.9432044357366968,6.254906113602806e-173,0.9183838823962693,8.280316332641006e-146,0.887220875714794
cn_MED6,0.049412557431260065,0.002441600831897574,0.9616689743884432,1.0955268442451858e-202,0.9139594777547813,6.817463442249847e-142,0.9241918451296196
cn_NR2E3,0.05778290625720755,0.0033388642555292353,0.9152227747814039,5.464145429965635e-143,0.8856263259727258,5.724712240024722e-121,0.8369850886175831
cn_NAALAD2,0.07442705611808735,0.0055393866824049245,0.9402101543101768,4.5805856419664447e-169,0.891146969075787,1.4013158756482974e-124,0.8822741558397013
cn_DUXB,0.041144899717672066,0.001692902772777291,0.9665307417649669,5.186920992970978e-213,0.9269986803166456,4.1104542303105193e-154,0.9322599392306339
cn_SNORD116-1,0.053548298883678964,0.002867420313335814,0.9443997175657284,1.564818977650372e-174,0.905124414497129,1.1395055260880555e-134,0.891631357723379
cn_SNORD116-2,0.05740223625131995,0.0032950167266523503,0.9104716704897297,5.947432227095788e-139,0.8541048743924516,2.1706739478169876e-103,0.8229649590684075
cn_SNORD116-3,0.055417227000160475,0.0030710690483873155,0.9240500498093733,3.682801139581869e-151,0.8709180788762494,3.437118199498578e-112,0.8406014301073127
cn_SNORD116-4,0.05051486289969664,0.0025517513737751477,0.9426746686478313,3.126552432789006e-172,0.9044015810522712,4.1306800891770834e-134,0.8853021234454456
