,name
0,cn_GDNF-AS1
1,cn_FAM30A
2,cn_TRIM65
3,cn_KLHL5
4,cn_PPEF2
5,cn_MIR5094
6,cn_CXXC5-AS1
7,cn_MIR489
8,cn_GPRIN2
9,cn_PLPPR4
10,cn_MCOLN3
11,cn_LOC101927136
12,cn_ZADH2
13,cn_CRYZL1
14,cn_LONRF3
15,cn_RRAGA
16,cn_NEIL1
17,cn_EMID1
18,cn_CKAP2
19,cn_ZNF699
20,cn_PDLIM4
21,cn_OBP2B
22,cn_IL6R-AS1
23,cn_SHOX2
24,cn_LINC01775
25,cn_SLC9A3R2
26,cn_MYL1
27,cn_MIR6866
28,cn_DNAI2
29,cn_LOC100506858
30,cn_ACSM3
31,cn_MIR4699
32,cn_SRSF9
33,cn_OR7E5P
34,cn_KIAA1549L
35,cn_ACADVL
36,cn_LOC286359
37,cn_FAM181A
38,cn_PTPN23
39,cn_RTL9
40,cn_LINC01353
41,cn_XKR8
42,cn_ZNF664
43,cn_EPSTI1
44,cn_DKFZP434A062
45,cn_LINC02617
46,cn_STX5
47,cn_HAND2
48,cn_APBB1
49,cn_GAGE13
50,cn_CFHR3
51,cn_LINC01099
52,cn_CFAP44
53,cn_PPP2R1A
54,cn_SRPX
55,cn_CD276
56,cn_LINC00299
57,cn_UBE2DNL
58,cn_CTBS
59,cn_ZNF236-DT
60,cn_BBS7
61,cn_SMC5
62,cn_SMARCAL1
63,cn_MIR638
64,cn_VIT
65,cn_MIR217HG
66,cn_RTL8B
67,cn_ATP5MD
68,cn_CCT5
69,cn_A4GALT
70,cn_TNS1
71,cn_P4HTM
72,cn_LOC102724601
73,cn_MIR3651
74,cn_LINC01531
75,cn_GALK2
76,cn_ELFN1-AS1
77,cn_IFNA14
78,cn_POMGNT2
79,cn_FLCN
80,cn_EIF4E2
81,cn_LNCRNA-ATB
82,cn_DCAF5
83,cn_FXYD2
84,cn_DACH1
85,cn_SMIM23
86,cn_MIR367
87,cn_CD200R1L
88,cn_KRTAP4-2
89,cn_MIRLET7F2
90,cn_ZNF750
91,cn_CLP1
92,cn_PWAR4
93,cn_CKMT2-AS1
94,cn_TTC30A
95,cn_SNORD113-3
96,cn_NUB1
97,cn_PURPL
98,cn_GREB1
99,cn_CENPA
100,cn_KCCAT333
101,cn_PHF6
102,cn_CCDC32
103,cn_MARCH8
104,cn_MYCBPAP
105,cn_DSG4
106,cn_ID2-AS1
107,cn_ATP5MF-PTCD1
108,cn_SNORA105C
109,cn_TMEM235
110,cn_IZUMO1R
111,cn_C5orf17
112,cn_HORMAD2
113,cn_CCDC70
114,cn_TOP1P2
115,cn_LINC01215
116,cn_HCG9
117,cn_OR9A4
118,cn_MIR7159
119,cn_LOC102546299
120,cn_MED23
121,cn_VEPH1
122,cn_LOC286177
123,cn_MIR3689C
124,cn_CLNK
125,cn_ANKRD20A5P
126,cn_CCR5
127,cn_HLA-L
128,cn_LOC100287792
129,cn_SMARCA4
130,cn_ARMCX5-GPRASP2
131,cn_SFTA3
132,cn_METTL11B
133,cn_SPINK13
134,cn_C7orf25
135,cn_SNORA8
136,cn_RCN3
137,cn_OR2M5
138,cn_WFDC6
139,cn_EXOSC4
140,cn_LOC107985355
141,cn_GRIN3B
142,cn_AGTPBP1
143,cn_ALDH1A3
144,cn_DECR1
145,cn_MIR563
146,cn_CT47A1
147,cn_C17orf75
148,cn_OSTN
149,cn_MPEG1
150,cn_RNF180
151,cn_SLC38A7
152,cn_HOXC4
153,cn_LINC01913
154,cn_ECEL1
155,cn_TMEM170A
156,cn_MIR8059
157,cn_TEX26
158,cn_IFNA10
159,cn_MIR8052
160,cn_LAMA1
161,cn_DARS-AS1
162,cn_UBQLN3
163,cn_ARHGDIB
164,cn_IPPK
165,cn_TRUB2
166,cn_TAF7
167,cn_CALB1
168,cn_METRN
169,cn_MIR4529
170,cn_FBXL15
171,cn_ABHD10
172,cn_MIR548T
173,cn_WASHC2C
174,cn_SNORA70G
175,cn_CAMSAP3
176,cn_INSL3
177,cn_OR1D5
178,cn_AMIGO1
179,cn_C1orf189
180,cn_LOC100288846
181,cn_RUNDC3B
182,cn_SLC7A5
183,cn_RNA5S7
184,cn_DEFA1B
185,cn_SNORD13J
186,cn_ZSCAN12P1
187,cn_LINC02410
188,cn_KCTD10
189,cn_PDCD1LG2
190,cn_CBLL2
191,cn_RPL23A
192,cn_PDGFD
193,cn_MIR1181
194,cn_CHD4
195,cn_TLNRD1
196,cn_COG5
197,cn_KRTAP9-2
198,cn_CRYBA2
199,cn_TBC1D20
200,cn_CIB2
201,cn_OR4K15
202,cn_PDLIM2
203,cn_FLJ46284
204,cn_ATP11A
205,cn_IFNA5
206,cn_PROK1
207,cn_TMEM92-AS1
208,cn_SNORA40C
209,cn_EME1
210,cn_MIR7515HG
211,cn_THEG
212,cn_LINC01902
213,cn_LOC101929762
214,cn_FABP7
215,cn_LINC01521
216,cn_MIR7976
217,cn_SERPINH1
218,cn_CTTNBP2
219,cn_RNASET2
220,cn_ESPN
221,cn_ITGAM
222,cn_BDH1
223,cn_LIPK
224,cn_PRPF19
225,cn_LOC101929294
226,cn_LINC01414
227,cn_LINC01994
228,cn_ZNF205-AS1
229,cn_DOC2GP
230,cn_TMEM220-AS1
231,cn_LGALS13
232,cn_RAB9A
233,cn_PER1
234,cn_CHP1
235,cn_MTUS2
236,cn_SNORD84
237,cn_C19orf33
238,cn_SNX31
239,cn_SPTY2D1OS
240,cn_SLC25A51P1
241,cn_PARP2
242,cn_TESC-AS1
243,cn_TAS2R31
244,cn_PELI3
245,cn_AIMP2
246,cn_LOC100506937
247,cn_F10-AS1
248,cn_RAPGEF2
249,cn_CXXC1
250,cn_TSSK1B
251,cn_URB2
252,cn_SNORA79B
253,cn_NCOA7-AS1
254,cn_KDM4C
255,cn_MINCR
256,cn_SOX30
257,cn_RTP5
258,cn_GM2A
259,cn_MYL4
260,cn_CEMIP
261,cn_SNORD114-4
262,cn_ZNF284
263,cn_THYN1
264,cn_ZNF454
265,cn_SCAT1
266,cn_PTGER1
267,cn_CFLAR-AS1
268,cn_LY96
269,cn_MIR4505
270,cn_VPS33B
271,cn_LOC101928323
272,cn_PPP1R3G
273,cn_PLEKHA7
274,cn_LINC01350
275,cn_NUDT10
276,cn_VAMP1
277,cn_SEC31B
278,cn_DHX34
279,cn_LCE2A
280,cn_ZNF652
281,cn_TAC1
282,cn_MIR3157
283,cn_CRYBB1
284,cn_ZNF789
285,cn_BOD1L2
286,cn_INTU
287,cn_LOC101927168
288,cn_LOC101927798
289,cn_SASH3
290,cn_DPEP3
291,cn_SNORA73A
292,cn_CCT3
293,cn_STXBP5L
294,cn_CYREN
295,cn_NOD1
296,cn_TCOF1
297,cn_LOC730268
298,cn_SUCLG2
299,cn_TSC22D1
300,cn_CCDC62
301,cn_SCRN1
302,cn_PLD6
303,cn_LINC01281
304,cn_VMAC
305,cn_ERCC6
306,cn_SNIP1
307,cn_RBBP4
308,cn_BRCC3
309,cn_RBFADN
310,cn_MIR34A
311,cn_LARS2
312,cn_MIR4676
313,cn_KRTAP20-1
314,cn_LOC107984341
315,cn_MIR605
316,cn_PRICKLE2
317,cn_IFI16
318,cn_OTOF
319,cn_LHX5-AS1
320,cn_FABP5
321,cn_NANOS2
322,cn_SIAH3
323,cn_DGKH
324,cn_TBCCD1
325,cn_DOC2A
326,cn_KRT39
327,cn_CDKN2AIPNL
328,cn_HAUS7
329,cn_LOC100270746
330,cn_LINC02396
331,cn_PDE1B
332,cn_MIR5590
333,cn_C12orf56
334,cn_TMEM173
335,cn_CDK6
336,cn_MIR4303
337,cn_IQCN
338,cn_CDKN2B
339,cn_ALG14
340,cn_TUBB
341,cn_KRTAP12-1
342,cn_FAM126B
343,cn_NAPB
344,cn_MICU1
345,cn_LINC01019
346,cn_RDH16
347,cn_MAPK8IP1
348,cn_PSMA8
349,cn_DDX1
350,cn_CYB5R1
351,cn_SCRN3
352,cn_SEL1L3
353,cn_USP17L15
354,cn_MAN1C1
355,cn_POR
356,cn_OR4Q3
357,cn_MINDY1
358,cn_LOC100131315
359,cn_RADX
360,cn_AATK
361,cn_OBSCN-AS1
362,cn_MAZ
363,cn_LGI3
364,cn_PPP2R5A
365,cn_DFFB
366,cn_LOC107985946
367,cn_LINC01835
368,cn_MAPK8
369,cn_SNORD38C
370,cn_GRK2
371,cn_WBP4
372,cn_GGTLC3
373,cn_MIR1179
374,cn_LINC01778
375,cn_MIR1229
376,cn_GMNN
377,cn_GAGE12I
378,cn_ARSA
379,cn_TNXB
380,cn_SLC10A1
381,cn_NID1
382,cn_INTS6L-AS1
383,cn_CALML4
384,cn_SFXN5
385,cn_CRHBP
386,cn_LINC01602
387,cn_MGA
388,cn_LINC02493
389,cn_SDHAF2
390,cn_RNASEH1-AS1
391,cn_LOC101928386
392,cn_LOC102723831
393,cn_SORBS1
394,cn_OR5AC2
395,cn_FTSJ1
396,cn_FUT10
397,cn_CAMTA1-DT
398,cn_KHK
399,cn_KLHL41
400,cn_NAV1
401,cn_SAP25
402,cn_RPL28
403,cn_NGB
404,cn_COX7C
405,cn_FLJ44635
406,cn_KCNA7
407,cn_STYK1
408,cn_AZIN2
409,cn_LINC02265
410,cn_HNRNPA3
411,cn_NRL
412,cn_LOC100506016
413,cn_SPEN
414,cn_RPL10A
415,cn_MIR6815
416,cn_IGDCC3
417,cn_LOC100128398
418,cn_MED8
419,cn_LINC00379
420,cn_ROR1-AS1
421,cn_CAV3
422,cn_RPL27A
423,cn_ELMO1
424,cn_LINC01816
425,cn_TRPS1
426,cn_SLC25A5
427,cn_PNLIPRP3
428,cn_PDCD5
429,cn_EIF1AX-AS1
430,cn_PTPN11
431,cn_SLC51B
432,cn_ARL6IP1
433,cn_SLC10A2
434,cn_PAX4
435,cn_HIST1H2BF
436,cn_VSIG4
437,cn_RTN2
438,cn_MIR519B
439,cn_RBM44
440,cn_ENHO
441,cn_MFSD6L
442,cn_ATXN8OS
443,cn_SLC35G1
444,cn_H2AFX
445,cn_PFKFB4
446,cn_CTXND2
447,cn_ARHGAP39
448,cn_MIR499A
449,cn_KBTBD7
450,cn_SNORD44
451,cn_MUC7
452,cn_LRP5
453,cn_CRYAB
454,cn_WDR26
455,cn_ACTBL2
456,cn_URB1-AS1
457,cn_LINC02607
458,cn_CYB561D1
459,cn_LINC02322
460,cn_AJUBA
461,cn_MRPL18
462,cn_IFITM4P
463,cn_GXYLT1
464,cn_RNFT2
465,cn_NBPF10
466,cn_PLA2G4F
467,cn_CHKB-DT
468,cn_MLEC
469,cn_TMOD3
470,cn_ARHGAP20
471,cn_TTC21B
472,cn_ZNF274
473,cn_ZFP91
474,cn_ATG4C
475,cn_UGT8
476,cn_CCDC172
477,cn_ST8SIA6-AS1
478,cn_BTNL10
479,cn_ALLC
480,cn_MIR544B
481,cn_PEG10
482,cn_OR1S1
483,cn_IL27
484,cn_HNRNPH1
485,cn_HRC
486,cn_RPL30
487,cn_ZNF518B
488,cn_NR0B2
489,cn_LOC100130172
490,cn_OPALIN
491,cn_ZNF337
492,cn_GGTLC2
493,cn_LINC01467
494,cn_EPGN
495,cn_RGPD4-AS1
496,cn_SLC7A6OS
497,cn_TRABD
498,cn_BOLA3
499,cn_SLC4A7
500,cn_GLRX3
501,cn_MLXIPL
502,cn_NLRP3
503,cn_MIR4791
504,cn_BOD1
505,cn_SSTR5
506,cn_DOK1
507,cn_SNORA28
508,cn_ENTPD3-AS1
509,cn_KCNK16
510,cn_TRAFD1
511,cn_MIR1912
512,cn_BEX5
513,cn_PLTP
514,cn_CSNK2A1
515,cn_RNF225
516,cn_MYO3B
517,cn_LINC02586
518,cn_DPPA3
519,cn_TERB1
520,cn_PEX6
521,cn_LINC00622
522,cn_TMEM128
523,cn_OR10AG1
524,cn_LOC100268168
525,cn_ATF3
526,cn_LRRC8E
527,cn_HAR1B
528,cn_HCG11
529,cn_GAS7
530,cn_EPHA2
531,cn_TUBB1
532,cn_EEFSEC
