,sensi_name
0,sensitivity_BRD-K08893438-001-04-9::2.52::HTS
1,sensitivity_BRD-K60443845-001-08-6::2.5::HTS
2,sensitivity_BRD-A68083442-001-01-6::2.5::HTS
3,sensitivity_BRD-A53576514-048-14-3::2.5::HTS
4,sensitivity_BRD-K73391359-003-10-2::2.5::HTS
5,sensitivity_BRD-K03164761-001-02-1::2.5::HTS
6,sensitivity_BRD-A06935312-001-04-3::2.5::HTS
7,sensitivity_BRD-K05858796-001-01-7::2.500017956::MTS004
8,sensitivity_BRD-A67862938-034-14-9::2.5::HTS
9,sensitivity_BRD-K44030614-001-01-6::2.500000065::MTS004
10,sensitivity_BRD-K09778810-001-10-6::2.5::HTS
11,sensitivity_BRD-K77867004-001-02-7::2.5::HTS
12,sensitivity_BRD-K00674894-001-01-4::2.5::HTS
13,sensitivity_BRD-K78496197-001-03-9::2.5::HTS
14,sensitivity_BRD-K54142781-003-11-8::2.5::HTS
15,sensitivity_BRD-K61097567-001-08-5::2.5::HTS
16,sensitivity_BRD-K93176058-001-03-6::2.5::HTS
17,sensitivity_BRD-K65890018-236-01-1::2.5::HTS
18,sensitivity_BRD-K72106461-001-02-1::2.5::HTS
19,sensitivity_BRD-K41141507-001-16-2::2.5::HTS
20,sensitivity_BRD-K34441861-003-07-0::2.47::HTS
21,sensitivity_BRD-A42628519-001-12-4::2.5::HTS
22,sensitivity_BRD-K18895904-001-16-1::2.5::HTS
23,sensitivity_BRD-K69070623-003-01-7::2.5::HTS
24,sensitivity_BRD-A96466199-001-01-4::2.442131966::MTS004
25,sensitivity_BRD-K25340465-001-11-1::2.58::HTS
26,sensitivity_BRD-A20348246-001-15-8::2.5::HTS
27,sensitivity_BRD-K11663430-001-02-3::2.5::HTS
28,sensitivity_BRD-K83834509-001-01-1::2.5::HTS
29,sensitivity_BRD-K32164935-001-30-8::2.5::HTS
30,sensitivity_BRD-A71157293-003-10-0::2.5::HTS
31,sensitivity_BRD-K73368362-001-07-5::2.5::HTS
32,sensitivity_BRD-K89056082-001-07-7::2.5::HTS
33,sensitivity_BRD-K66035042-001-10-1::2.5::HTS
34,sensitivity_BRD-K24696047-001-02-3::2.5::HTS
35,sensitivity_BRD-A95696066-003-13-8::2.5::HTS
36,sensitivity_BRD-K09619322-001-03-8::2.5::HTS
37,sensitivity_BRD-A51820102-008-28-9::2.5::HTS
38,sensitivity_BRD-K29668683-300-02-2::2.5::HTS
39,sensitivity_BRD-A68942014-003-01-7::2.5::HTS
40,sensitivity_BRD-A03061970-003-07-3::2.5::HTS
41,sensitivity_BRD-A86354194-002-01-7::2.5::HTS
42,sensitivity_BRD-K16551357-001-03-2::2.5::HTS
43,sensitivity_BRD-A41774846-001-01-4::2.5::HTS
44,sensitivity_BRD-K72005722-001-01-2::2.5::HTS
45,sensitivity_BRD-K26712974-001-01-5::2.5::HTS
46,sensitivity_BRD-A09472452-015-23-4::2.5::HTS
47,sensitivity_BRD-K21450440-001-14-6::2.5::HTS
48,sensitivity_BRD-K68095457-001-10-1::2.5::HTS
49,sensitivity_BRD-K78781788-003-01-9::2.5::HTS
50,sensitivity_BRD-K49811169-004-06-6::2.5::HTS
51,sensitivity_BRD-K28494619-001-28-2::2.5::HTS
52,sensitivity_BRD-K40621224-001-06-7::2.5::HTS
53,sensitivity_BRD-K57764956-001-02-8::2.5::HTS
54,sensitivity_BRD-A08302182-001-01-7::2.5::HTS
55,sensitivity_BRD-A35588707-001-05-5::2.5::HTS
56,sensitivity_BRD-K98769987-001-23-7::2.5::HTS
57,sensitivity_BRD-K97810537-001-12-8::2.54::HTS
58,sensitivity_BRD-A01907367-001-01-7::2.5::HTS
59,sensitivity_BRD-K04833372-001-06-2::2.5::HTS
60,sensitivity_BRD-K81645907-001-01-1::2.5::HTS
61,sensitivity_BRD-K08998509-001-02-4::2.5::HTS
62,sensitivity_BRD-K53734668-003-04-6::2.5::HTS
63,sensitivity_BRD-K38197229-001-29-9::2.5::HTS
64,sensitivity_BRD-A43598550-001-09-4::2.5::HTS
65,sensitivity_BRD-K33226500-001-01-0::2.5::HTS
66,sensitivity_BRD-A42167015-003-10-2::2.5::HTS
67,sensitivity_BRD-K14965640-001-12-4::2.5::HTS
68,sensitivity_BRD-K17498618-344-02-6::2.5::HTS
69,sensitivity_BRD-K74603273-003-01-1::2.5::HTS
70,sensitivity_BRD-K79131256-001-17-9::2.5::HTS
71,sensitivity_BRD-K96809896-300-02-3::2.5::HTS
72,sensitivity_BRD-K69600043-328-05-5::2.5::HTS
73,sensitivity_BRD-K11071038-001-01-7::2.5::HTS
74,sensitivity_BRD-K80431395-001-07-3::2.49::HTS
75,sensitivity_BRD-A44696962-001-01-4::2.5::HTS
76,sensitivity_BRD-A13323580-001-04-8::2.5::HTS
77,sensitivity_BRD-A76533773-001-01-9::2.5::MTS004
78,sensitivity_BRD-K80778372-001-02-5::2.5::HTS
79,sensitivity_BRD-K55748775-001-02-2::2.5::HTS
80,sensitivity_BRD-K62056274-332-01-8::2.5::HTS
81,sensitivity_BRD-K31627533-001-09-5::2.5::HTS
82,sensitivity_BRD-K60690191-001-03-3::2.5::HTS
83,sensitivity_BRD-K45158365-001-11-4::2.5::HTS
84,sensitivity_BRD-K88358234-003-04-8::2.5::HTS
85,sensitivity_BRD-K14796088-003-26-8::2.5::HTS
86,sensitivity_BRD-K85046107-003-01-2::2.5::HTS
87,sensitivity_BRD-A15739803-001-01-0::2.726366321::MTS004
88,sensitivity_BRD-K84794093-001-07-5::2.5::HTS
89,sensitivity_BRD-K46493214-001-06-7::2.5::HTS
90,sensitivity_BRD-K12539581-001-23-7::2.5::HTS
91,sensitivity_BRD-A11070335-236-02-1::2.5::HTS
92,sensitivity_BRD-K15766189-001-09-8::2.5::HTS
93,sensitivity_BRD-K82562631-236-04-6::2.5::HTS
94,sensitivity_BRD-K18163608-001-05-6::2.48::HTS
95,sensitivity_BRD-K08252256-236-33-8::2.5::HTS
96,sensitivity_BRD-K86816506-001-01-8::2.5::HTS
97,sensitivity_BRD-K76600340-045-04-9::2.5::HTS
98,sensitivity_BRD-K66404838-310-01-1::2.5::HTS
99,sensitivity_BRD-K21164796-001-02-8::2.5::HTS
100,sensitivity_BRD-A95602221-003-02-1::2.5::HTS
101,sensitivity_BRD-A21607826-003-05-1::2.5::HTS
102,sensitivity_BRD-K53205568-001-02-6::2.5::HTS
103,sensitivity_BRD-K79633074-001-01-8::2.5::HTS
104,sensitivity_BRD-K93754473-048-20-2::2.5::HTS
105,sensitivity_BRD-K39252998-003-01-5::2.5::HTS
106,sensitivity_BRD-K82381502-003-23-1::2.5::HTS
107,sensitivity_BRD-K58501140-002-01-0::2.5::HTS
108,sensitivity_BRD-K90647725-001-06-5::2.5::HTS
109,sensitivity_BRD-K64994968-001-32-5::2.5::HTS
110,sensitivity_BRD-A69651145-003-07-2::2.5::HTS
111,sensitivity_BRD-K37516142-001-10-5::2.5::HTS
112,sensitivity_BRD-K24715592-406-02-1::2.53::HTS
113,sensitivity_BRD-K02594908-001-16-4::2.5::HTS
114,sensitivity_BRD-K11927976-050-02-9::2.5::HTS
115,sensitivity_BRD-K17555800-003-01-5::2.5::HTS
116,sensitivity_BRD-K17850764-236-11-9::2.5::HTS
117,sensitivity_BRD-K16546375-001-01-4::2.393310671::MTS004
118,sensitivity_BRD-K03549949-001-01-0::2.5::HTS
119,sensitivity_BRD-K11742128-003-23-4::2.5::HTS
120,sensitivity_BRD-K97472745-001-01-8::2.5::HTS
121,sensitivity_BRD-K59390331-045-01-5::2.5::HTS
122,sensitivity_BRD-K67628093-001-01-9::2.500004949::MTS004
123,sensitivity_BRD-K85307935-236-10-3::2.5::HTS
124,sensitivity_BRD-K10878147-001-02-2::2.5::HTS
125,sensitivity_BRD-K49049886-001-08-7::2.5::HTS
126,sensitivity_BRD-K31092604-003-03-5::2.5::HTS
127,sensitivity_BRD-A35868371-005-01-6::2.5::HTS
128,sensitivity_BRD-A17407635-001-04-0::2.5::HTS
129,sensitivity_BRD-K39160765-003-02-9::2.5::HTS
130,sensitivity_BRD-K28143534-001-02-2::2.5::HTS
