,RMSE,MSE,Pearsonr,Pearsonr_pvalue,Spearmanr,Spearmanr_pvalue,R_square
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,0.43914007575767233,0.1928440061364542,0.6724116078946929,2.1189557816501985e-22,0.6652877065510371,8.36131718036104e-22,0.40981887776015946
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,0.3970179327400707,0.1576232389171993,0.4195841238063542,1.5024001775717663e-08,0.3674232262440462,9.619980888198808e-07,0.16988740078976683
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,0.42904811063188614,0.1840822812367912,0.6435657341851942,4.3967122439138423e-20,0.6250791046525255,1.0050134511694797e-18,0.3780747167709698
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,0.35928808656020994,0.12908792914409692,0.4624211301823135,2.7852942761911484e-10,0.44820333972798276,1.1130879478228494e-09,0.1955316701045473
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,0.5120962525277065,0.2622425718529206,0.6650704551642569,8.226353407969681e-23,0.6263432560070055,1.0873279597676124e-19,0.4261111949223305
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,0.40461312166476854,0.1637117782233088,0.37215959445192737,6.788176094731666e-07,0.35126872206558996,3.032358499163306e-06,0.0894722329472748
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,0.2937880059731838,0.08631139245369947,0.2710605158189717,0.00046562434865562004,0.2623655377658071,0.0007160761121265404,0.05824959421420162
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,0.32572899495557456,0.1060993781547687,0.31796453798727337,2.5231881398659742e-05,0.2748794192233106,0.00029822522128164443,0.058815186626326676
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,0.28435991740950994,0.08086056262914333,0.2434505666290102,0.001682334216969217,0.27034130017819974,0.0004635202353566556,0.03637379626701942
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,0.6982054007095113,0.48749078157992926,0.7449661459846487,8.130019191192814e-31,0.72847248703969,6.678086745610279e-29,0.463606339055205
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,0.3444129793055408,0.11862030031411891,0.453515259838187,7.520156777337016e-10,0.4011486493450277,7.768837326367265e-08,0.20475368922766168
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,0.4823973327771535,0.2327071866705118,0.4765953844326323,6.560082413877863e-11,0.47687296581815247,6.372682517795376e-11,0.20913472023243063
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,0.37476576378484894,0.14044937770524119,0.48488678366344284,1.8099749322227185e-11,0.48220174238606095,2.422961601087424e-11,0.23211158682446542
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,0.483495262760538,0.2337676691118817,0.6967567069895991,3.7578632614269457e-25,0.6646688340837674,2.894446047636281e-22,0.46987686335786616
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,0.917784372881641,0.8423281551057471,0.7861751674403844,5.998724121905368e-37,0.7946446345589,2.962697046564043e-38,0.588600724405866
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,0.3017494773320587,0.09105274707017062,0.4992086754617071,8.791970995273197e-12,0.4666176902732883,2.665010079841621e-10,0.24641343155205953
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,0.33367057670442263,0.111336053758262,0.39322619607322706,1.744286832844018e-07,0.34359789490556464,6.2315056153812225e-06,0.14754963906223229
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,0.3769228708584105,0.14207085057614596,0.40638782679326885,5.0578575892004394e-08,0.37727900481309323,5.011054301954637e-07,0.1627759795985546
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,0.3782658132436318,0.14308502546886612,0.4481095640887253,7.955603417683901e-10,0.3608851129190967,1.2409276210737685e-06,0.15840918313251529
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,0.4275037200369388,0.18275943064542138,0.3918537427217855,1.1575472846669277e-07,0.3480788153694771,3.0853168433412528e-06,0.10980790208193458
