,RMSE,MSE,Pearsonr,Pearsonr_pvalue,Spearmanr,Spearmanr_pvalue,R_square
metabolite_cotinine,0.354792164474077,0.1258774799722005,0.48596991232881537,1.0499964268465094e-17,0.4314024407835896,6.827879851651093e-14,0.23509035102396358
metabolite_5-adenosylhomocysteine,0.3445083365531815,0.11868599395464018,0.3914337089478274,1.6716053401811973e-11,0.34825481088254817,2.9260861052877353e-09,0.12125172462437273
metabolite_C58:6 TAG,0.36201827098089356,0.13105722852399568,0.731051799989536,3.142252976195688e-47,0.7053294344262262,1.0959398547389153e-42,0.5288106580553409
metabolite_ornithine,0.38884583565128494,0.1512010839033461,0.32552705548356825,3.2971604436472926e-08,0.2803659908058462,2.3212204506035594e-06,0.1040900205715104
metabolite_guanosine,0.3433415202243509,0.11788339950996836,0.48011736515193576,2.90731307872572e-17,0.4858532644759239,1.071732387216119e-17,0.19757185927801735
metabolite_glutathione reduced,0.2926701292479959,0.08565580455403862,0.5360478958517302,7.383442257530221e-22,0.5549471387073625,1.2974670075274952e-23,0.2816505954890631
metabolite_lactose,0.431972574303301,0.1866003049502209,0.5219640478920973,1.2772218496051452e-20,0.5264608637950434,5.214836094457642e-21,0.2542075202657935
metabolite_adipate,0.19849241058600167,0.039399237060241864,0.3312948107799512,1.8164796779057017e-08,0.2597166844580364,1.2865244434271861e-05,0.09584404731089602
metabolite_C50:1 TAG,0.3513055183058019,0.12341556719210814,0.597549113110363,5.237194319165744e-28,0.5631055076310552,2.090920329844559e-24,0.3564853632493541
metabolite_valine,0.3181138008763429,0.10119639030799352,0.5441562654404595,1.345235927729356e-22,0.5253079830356885,6.569462740058019e-21,0.29487277820033975
metabolite_C46:2 TAG,0.3173881069572036,0.10073521043787731,0.6320209684661552,4.490540924074845e-32,0.6180177248307337,2.3176944613584968e-30,0.37478189716780286
metabolite_fumarate/maleate/alpha-ketoisovalerate,0.19951845828098683,0.03980761519482188,0.3173637983859657,7.506954897008522e-08,0.32521282207853863,3.404800234770331e-08,0.09683091530509824
metabolite_threonine,0.33790412139090864,0.11417919525296193,0.4333530533626813,5.121637233301193e-14,0.4508098439167941,3.5930894952673145e-15,0.17991405537595573
metabolite_proline,0.24323117949431802,0.05916140667819716,0.2835118313974494,1.7660536006790057e-06,0.26901541936991635,6.054483898416013e-06,0.05717673932924139
metabolite_uracil,0.28380791469026034,0.08054693244083408,0.5606267566065941,3.66028123006348e-24,0.5656712533806968,1.165378652096647e-24,0.3106261168565093
metabolite_C18:0 LPE,0.284596345061139,0.08099507962215889,0.44087600402924676,1.6604248024046647e-14,0.3987239835440426,6.4685276255122845e-12,0.19251952763480173
metabolite_trimethylamine-N-oxide,0.23474787391611163,0.05510656430813464,0.5122330513674469,8.484094309581761e-20,0.48818556879489916,7.104266382250388e-18,0.2448015404333692
metabolite_putrescine,0.31907436126548594,0.10180844801697782,0.49849553513823125,1.1107788916464429e-18,0.5057972937884078,2.8719912565155505e-19,0.2440783631058392
metabolite_phenylalanine,0.325848386551996,0.10617717101853899,0.5882430754208584,5.427747755676667e-27,0.5668510093261951,8.891834475645809e-25,0.34026090488315386
metabolite_thyroxine,0.21987947198742325,0.04834698220146804,0.4979583013055004,1.2254525765800812e-18,0.45122151593908516,3.3686042085646684e-15,0.2384869791823807
