,F1-SCORE,AUC
mutation_TTN,0.6470685852407796,0.588854795090493
mutation_TP53,0.8272518939500406,0.7981857764876632
mutation_MUC16,0.5573466264424919,0.5568493150684932
mutation_OBSCN,0.633617292654587,0.5584935897435896
mutation_LRP1B,0.6518807628978694,0.5695102685624012
mutation_RYR2,0.6854343556815139,0.5979575163398693
mutation_SYNE1,0.652433197693668,0.5080967976710334
mutation_PCLO,0.699553381280956,0.5967938311688311
mutation_ZFHX4,0.6408513440769343,0.5481487409304311
mutation_MT-ND5,0.6460540943470187,0.5173623088421294
mutation_USH2A,0.7129543539693765,0.610701754385965
mutation_CSMD3,0.6503938378083385,0.5271345029239766
mutation_MT-CYB,0.652164162368244,0.5534883720930233
mutation_DST,0.7007094994087505,0.5824134759112338
mutation_MUC4,0.7009966777408638,0.5725511234536734
mutation_FLG,0.6824271117136707,0.5467916060164968
mutation_KMT2D,0.7557055090684348,0.6320295602018746
mutation_HMCN1,0.7176262132760081,0.527104636503712
mutation_ABCA13,0.6947334771837289,0.5170470262793915
mutation_GPR98,0.7289862513064865,0.570457650273224
