Unnamed: 0,avg_default_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_A1BG,avg_default_cn,0.129026,0.017014,0.694658,2.76E-31,0.659904,1.03E-25,0.425269
cn_POU5F1P5,avg_default_cn,0.113973,0.013009,0.692323,1.97E-25,0.662126,2.48E-20,0.425243
cn_ZBTB11-AS1,avg_default_cn,0.118598,0.014196,0.540705,1.49E-17,0.486013,1.90E-12,0.244566
cn_MED6,avg_default_cn,0.116614,0.013626,0.769726,8.87E-40,0.753172,8.84E-33,0.5503
cn_NR2E3,avg_default_cn,0.108611,0.012059,0.609394,9.81E-15,0.633544,2.39E-21,0.353495
cn_NAALAD2,avg_default_cn,0.171753,0.029536,0.512962,1.03E-14,0.539162,4.37E-14,0.181412
cn_DUXB,avg_default_cn,0.117683,0.014097,0.733252,2.61E-35,0.696371,2.30E-31,0.475786
cn_SNORD116-1,avg_default_cn,0.138836,0.019494,0.49923,7.94E-11,0.508634,9.76E-12,0.036297
cn_SNORD116-2,avg_default_cn,0.1364,0.019221,0.493689,7.70E-10,0.512183,4.12E-14,0.117091
cn_SNORD116-3,avg_default_cn,0.129405,0.01728,0.502271,1.63E-10,0.522288,8.93E-14,0.212168
cn_SNORD116-4,avg_default_cn,0.137276,0.019137,0.50628,1.64E-10,0.515726,4.40E-12,0.065596
cn_NAT2,avg_default_cn,0.154609,0.023963,0.743475,8.84E-42,0.749974,3.91E-39,0.448157
cn_ADA,avg_default_cn,0.156823,0.025218,0.75631,2.70E-39,0.778497,1.17E-44,0.404066
cn_CDH2,avg_default_cn,0.174095,0.030651,0.602961,1.68E-18,0.600019,3.25E-18,0.27079
cn_AKT3,avg_default_cn,0.171767,0.031963,0.619989,5.29E-16,0.669002,4.04E-28,0.269236
cn_GAGE12F,avg_default_cn,0.251429,0.063283,0.377524,1.26E-08,0.440187,4.93E-10,0.001578
cn_RNA5-8SN5,avg_default_cn,0.284944,0.083241,0.290507,2.98E-05,0.356504,1.20E-05,-0.193304
cn_RNA18SN5,avg_default_cn,0.279322,0.079484,0.287299,5.52E-05,0.354716,4.48E-06,-0.134985
cn_RNA28SN5,avg_default_cn,0.265344,0.071327,0.300051,3.20E-05,0.355363,2.17E-06,-0.027629
cn_LINC02584,avg_default_cn,0.349774,0.126182,0.545612,2.23E-11,0.471942,2.71E-08,0.114416
