Unnamed: 0,avg_elastic_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_A1BG,avg_elastic_cn,0.067464,0.004613,0.922337,5.54E-90,0.862442,1.71E-52,0.840539
cn_POU5F1P5,avg_elastic_cn,0.054945,0.003023,0.934093,4.30E-99,0.889093,8.90E-65,0.865309
cn_ZBTB11-AS1,avg_elastic_cn,0.058696,0.003461,0.908785,2.62E-85,0.856499,7.71E-57,0.812914
cn_MED6,avg_elastic_cn,0.063038,0.003982,0.934436,2.08E-100,0.900644,3.57E-67,0.870838
cn_NR2E3,avg_elastic_cn,0.068759,0.004857,0.863851,2.75E-59,0.836064,1.31E-44,0.736813
cn_NAALAD2,avg_elastic_cn,0.091327,0.008431,0.878129,2.45E-63,0.820802,2.55E-47,0.76867
cn_DUXB,avg_elastic_cn,0.055134,0.003103,0.944017,2.81E-109,0.906337,6.07E-74,0.885207
cn_SNORD116-1,avg_elastic_cn,0.072474,0.005431,0.871279,9.78E-66,0.827443,9.16E-47,0.749686
cn_SNORD116-2,avg_elastic_cn,0.072474,0.005431,0.871279,9.78E-66,0.827443,9.16E-47,0.749686
cn_SNORD116-3,avg_elastic_cn,0.072474,0.005431,0.871279,9.78E-66,0.827443,9.16E-47,0.749686
cn_SNORD116-4,avg_elastic_cn,0.072474,0.005431,0.871279,9.78E-66,0.827443,9.16E-47,0.749686
cn_NAT2,avg_elastic_cn,0.071204,0.005085,0.941438,8.03E-107,0.920221,3.14E-77,0.883164
cn_ADA,avg_elastic_cn,0.071898,0.005202,0.938193,1.94E-103,0.924806,5.57E-88,0.876416
cn_CDH2,avg_elastic_cn,0.09818,0.009715,0.878286,2.78E-71,0.8382,9.00E-54,0.767429
cn_AKT3,avg_elastic_cn,0.103321,0.012464,0.87295,2.02E-61,0.852085,1.80E-58,0.743823
cn_GAGE12F,avg_elastic_cn,0.146697,0.021587,0.817078,2.65E-56,0.833414,8.24E-60,0.66164
cn_RNA5-8SN5,avg_elastic_cn,0.166399,0.027759,0.779627,4.49E-43,0.70079,5.00E-27,0.586152
cn_RNA18SN5,avg_elastic_cn,0.166399,0.027759,0.779627,4.49E-43,0.70079,5.00E-27,0.586152
cn_RNA28SN5,avg_elastic_cn,0.166399,0.027759,0.779627,4.49E-43,0.70079,5.00E-27,0.586152
cn_LINC02584,avg_elastic_cn,0.124144,0.015663,0.943681,4.39E-99,0.756566,9.36E-41,0.884604
