Unnamed: 0,avg_lasso_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_GDNF-AS1,avg_lasso_cn,0.092519,0.009351,0.927408,4.75E-77,0.899592,6.87E-76,0.854119
cn_DUSP5,avg_lasso_cn,0.051663,0.002686,0.937301,1.72E-102,0.89186,2.59E-63,0.875151
cn_CLPTM1L,avg_lasso_cn,0.085319,0.007418,0.941989,8.88E-107,0.899211,3.66E-73,0.884278
cn_MIR1291,avg_lasso_cn,0.103007,0.011841,0.872647,3.00E-66,0.774859,3.06E-34,0.729389
cn_MIR6501,avg_lasso_cn,0.050793,0.002584,0.939396,3.38E-104,0.910406,4.05E-86,0.880112
cn_COL4A2,avg_lasso_cn,0.075606,0.005734,0.939111,2.39E-102,0.910577,2.02E-74,0.87772
cn_CAPZB,avg_lasso_cn,0.05262,0.002779,0.935173,4.26E-94,0.899495,4.05E-73,0.870609
cn_NUP107,avg_lasso_cn,0.114128,0.015381,0.912729,2.30E-70,0.7157,9.49E-30,0.786769
cn_LOC101927989,avg_lasso_cn,0.099511,0.012212,0.910939,3.86E-57,0.907253,3.36E-75,0.822537
cn_SNORD64,avg_lasso_cn,0.067433,0.004672,0.887287,4.12E-68,0.844995,2.57E-51,0.779002
cn_NAA25,avg_lasso_cn,0.055996,0.00326,0.894337,7.68E-79,0.827836,5.47E-47,0.789164
cn_KCCAT333,avg_lasso_cn,0.069527,0.004892,0.947445,1.84E-105,0.928947,6.82E-87,0.895803
cn_C20orf144,avg_lasso_cn,0.066788,0.00447,0.938041,2.05E-108,0.919728,5.84E-92,0.878137
cn_LINC01687,avg_lasso_cn,0.074425,0.005549,0.897749,7.30E-76,0.856044,7.49E-54,0.797291
cn_ECI1,avg_lasso_cn,0.04981,0.00249,0.92868,3.48E-85,0.888728,6.14E-57,0.85672
cn_GPR183,avg_lasso_cn,0.068027,0.004694,0.947595,8.82E-110,0.918402,3.34E-80,0.895334
cn_OPN1LW,avg_lasso_cn,0.10404,0.01083,0.885193,4.54E-80,0.86809,3.08E-71,0.78159
cn_LINC02538,avg_lasso_cn,0.070465,0.005039,0.924704,8.50E-91,0.882232,7.62E-60,0.850732
cn_SKOR2,avg_lasso_cn,0.073081,0.00559,0.941165,1.22E-80,0.923139,4.22E-79,0.884411
cn_NAT8,avg_lasso_cn,0.045334,0.002059,0.899579,1.25E-78,0.823328,1.78E-45,0.802751
cn_MT1IP,avg_lasso_cn,0.055548,0.003163,0.938666,8.53E-102,0.889541,1.29E-68,0.877186
cn_LINCMD1,avg_lasso_cn,0.069554,0.004853,0.899242,1.66E-72,0.827041,3.27E-48,0.798623
cn_PHF6,avg_lasso_cn,0.097747,0.009559,0.87259,2.05E-73,0.864602,1.47E-70,0.759911
