Unnamed: 0,avg_rf_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_A1BG,avg_rf_cn,0.112686,0.013021,0.81675,4.10E-44,0.777986,1.22E-30,0.560765
cn_POU5F1P5,avg_rf_cn,0.08874,0.00788,0.834214,6.06E-44,0.794846,7.12E-32,0.648516
cn_ZBTB11-AS1,avg_rf_cn,0.095199,0.009141,0.75052,6.80E-31,0.686444,4.41E-20,0.510192
cn_MED6,avg_rf_cn,0.096264,0.00929,0.859632,3.17E-55,0.826824,1.26E-36,0.69666
cn_NR2E3,avg_rf_cn,0.098491,0.009933,0.73331,1.42E-25,0.73247,5.88E-30,0.471779
cn_NAALAD2,avg_rf_cn,0.135,0.018389,0.725574,5.22E-27,0.712237,4.91E-27,0.4945
cn_DUXB,avg_rf_cn,0.091885,0.008842,0.853208,1.32E-57,0.825735,2.29E-47,0.681219
cn_SNORD116-1,avg_rf_cn,0.105543,0.011786,0.740566,2.74E-29,0.731391,3.08E-23,0.48558
cn_SNORD116-2,avg_rf_cn,0.105699,0.011821,0.740198,4.33E-30,0.727867,1.73E-23,0.484554
cn_SNORD116-3,avg_rf_cn,0.10522,0.011714,0.743583,2.65E-30,0.731724,1.66E-24,0.489337
cn_SNORD116-4,avg_rf_cn,0.105447,0.011775,0.741847,1.31E-30,0.729873,1.22E-23,0.487183
cn_NAT2,avg_rf_cn,0.115257,0.013327,0.856652,2.18E-65,0.837374,6.01E-57,0.695677
cn_ADA,avg_rf_cn,0.12312,0.015365,0.808922,4.47E-42,0.838177,3.68E-51,0.633662
cn_CDH2,avg_rf_cn,0.142136,0.020545,0.736929,3.30E-30,0.744488,8.83E-29,0.515948
cn_AKT3,avg_rf_cn,0.145538,0.024883,0.732992,4.29E-20,0.783765,3.46E-45,0.501057
cn_GAGE12F,avg_rf_cn,0.197911,0.03932,0.644545,1.72E-25,0.71423,9.58E-35,0.383424
cn_RNA5-8SN5,avg_rf_cn,0.232632,0.054873,0.486862,4.44E-12,0.613218,1.89E-20,0.212917
cn_RNA18SN5,avg_rf_cn,0.23261,0.054896,0.488499,1.19E-11,0.621091,4.42E-23,0.213471
cn_RNA28SN5,avg_rf_cn,0.232159,0.054644,0.49025,7.41E-13,0.614724,1.84E-22,0.216188
cn_LINC02584,avg_rf_cn,0.168847,0.029934,0.902827,1.34E-67,0.749352,6.51E-28,0.80046
