Unnamed: 0,avg_default_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_default_sensi,0.770513,0.599461,0.093558,4.60E-01,0.076963,4.93E-01,-0.684451
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_default_sensi,0.403172,0.163479,0.090856,1.94E-01,0.090415,2.70E-01,-0.208889
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_default_sensi,0.584219,0.342328,0.147575,2.38E-01,0.178212,1.30E-01,-0.244338
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_default_sensi,0.477786,0.228859,-0.004188,5.71E-01,-0.00659,6.15E-01,-0.260551
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_default_sensi,0.769488,0.603284,0.173987,2.14E-01,0.163734,1.71E-01,-0.285872
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_default_sensi,1.645996,2.711373,0.130645,3.02E-01,0.117395,3.02E-01,-0.241256
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_default_sensi,0.410086,0.170676,0.036698,4.48E-01,0.014673,4.55E-01,-0.38938
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_default_sensi,0.439054,0.195158,0.031025,7.36E-01,0.04275,6.70E-01,-0.415744
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_default_sensi,0.449054,0.204707,-0.016146,3.99E-01,-0.029126,5.78E-01,-0.320952
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_default_sensi,0.504893,0.261902,0.060547,5.50E-01,0.060403,5.21E-01,-0.375684
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_default_sensi,0.524037,0.277627,-0.080204,4.10E-01,-0.081885,3.26E-01,-0.362415
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_default_sensi,0.433873,0.190682,0.000317,4.56E-01,0.016722,5.52E-01,-0.286364
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_default_sensi,0.598556,0.359952,0.12227,3.24E-01,0.11653,3.92E-01,-0.186965
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_default_sensi,0.453659,0.207743,0.042926,5.32E-01,0.03514,5.11E-01,-0.203392
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_default_sensi,0.775706,0.612192,0.122626,3.50E-01,0.113384,3.02E-01,-0.409359
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_default_sensi,0.483028,0.237507,0.039743,5.91E-01,0.051708,5.15E-01,-0.281176
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_default_sensi,0.341625,0.117471,-0.005597,5.46E-01,0.009763,4.28E-01,-0.300966
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_default_sensi,0.394444,0.156966,0.001828,4.54E-01,0.023674,3.14E-01,-0.280994
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_default_sensi,0.38765,0.156199,-0.053387,4.80E-01,-0.040974,6.80E-01,-0.888332
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_default_sensi,1.081046,1.176964,0.294748,2.76E-02,0.307539,2.70E-02,-0.076718
