Unnamed: 0,avg_elastic_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_elastic_sensi,0.462685,0.214815,0.648506,1.49E-10,0.628966,4.21E-10,0.400286
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_elastic_sensi,0.335527,0.11334,0.420496,2.64E-02,0.397382,3.00E-02,0.153961
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_elastic_sensi,0.450072,0.204182,0.549948,4.19E-08,0.553468,2.53E-08,0.264696
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_elastic_sensi,0.389495,0.152505,0.438064,6.34E-05,0.409709,4.68E-05,0.160323
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_elastic_sensi,0.509497,0.26333,0.680215,5.76E-13,0.630382,1.64E-09,0.43555
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_elastic_sensi,0.907241,0.829278,0.798928,9.56E-23,0.765036,7.88E-19,0.622576
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_elastic_sensi,0.312146,0.098742,0.464996,1.22E-05,0.419783,3.03E-04,0.190257
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_elastic_sensi,0.341047,0.117684,0.408512,5.79E-05,0.372739,4.54E-04,0.151854
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_elastic_sensi,0.364616,0.133709,0.381644,7.46E-04,0.337538,1.11E-03,0.118222
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_elastic_sensi,0.379466,0.144109,0.487336,1.09E-06,0.430347,1.94E-05,0.215009
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_elastic_sensi,0.417227,0.175367,0.415178,1.65E-05,0.384468,4.37E-05,0.146719
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_elastic_sensi,0.354732,0.126408,0.401652,8.88E-05,0.381282,3.12E-04,0.135388
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_elastic_sensi,0.437839,0.193309,0.625269,2.27E-10,0.592353,1.68E-07,0.364515
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_elastic_sensi,0.375336,0.142215,0.447055,1.65E-05,0.412246,2.55E-04,0.174397
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_elastic_sensi,0.504819,0.256042,0.657916,8.89E-12,0.650606,2.46E-11,0.410609
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_elastic_sensi,0.394023,0.155634,0.401607,3.43E-04,0.383708,1.69E-04,0.136367
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_elastic_sensi,0.289348,0.08441,0.32241,1.96E-03,0.299057,5.86E-03,0.072519
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_elastic_sensi,0.323493,0.105306,0.404819,1.12E-04,0.385482,1.42E-04,0.141819
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_elastic_sensi,0.280189,0.078749,0.287318,1.58E-02,0.300408,1.48E-02,0.071082
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_elastic_sensi,0.654859,0.433134,0.788266,3.21E-22,0.749233,3.12E-19,0.602183
