Unnamed: 0,avg_lasso_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_lasso_sensi,0.465849,0.217883,0.640533,1.82E-10,0.621166,1.13E-09,0.392826
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_lasso_sensi,0.336229,0.113803,0.415789,3.07E-02,0.395158,3.48E-02,0.150901
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_lasso_sensi,0.450566,0.204608,0.545779,5.29E-08,0.549365,3.05E-08,0.263254
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_lasso_sensi,0.390217,0.153,0.431741,7.56E-05,0.403767,5.66E-05,0.157578
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_lasso_sensi,0.50651,0.259832,0.682055,2.43E-13,0.630079,7.23E-10,0.441356
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_lasso_sensi,0.931021,0.872798,0.788183,1.77E-21,0.754664,4.42E-18,0.602112
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_lasso_sensi,0.312755,0.099179,0.460741,1.66E-05,0.417513,3.43E-04,0.187619
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_lasso_sensi,0.341695,0.118155,0.402735,8.71E-05,0.367817,6.00E-04,0.14876
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_lasso_sensi,0.364958,0.133989,0.377082,9.05E-04,0.334829,1.15E-03,0.117085
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_lasso_sensi,0.383669,0.147346,0.470152,2.28E-06,0.419519,2.86E-05,0.198301
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_lasso_sensi,0.416926,0.175255,0.411009,2.65E-05,0.381291,6.78E-05,0.148909
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_lasso_sensi,0.355698,0.127104,0.394131,1.40E-04,0.375156,4.29E-04,0.130758
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_lasso_sensi,0.438379,0.194032,0.621137,7.11E-10,0.587894,2.05E-07,0.363058
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_lasso_sensi,0.376336,0.14301,0.440707,2.56E-05,0.408518,3.05E-04,0.17031
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_lasso_sensi,0.504757,0.256168,0.655521,7.15E-12,0.642806,3.20E-11,0.411251
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_lasso_sensi,0.395391,0.156755,0.392794,4.50E-04,0.376728,2.22E-04,0.131154
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_lasso_sensi,0.289665,0.08461,0.317113,2.32E-03,0.294921,6.23E-03,0.07076
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_lasso_sensi,0.324141,0.105734,0.398828,1.54E-04,0.381219,1.85E-04,0.138675
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_lasso_sensi,0.280307,0.078813,0.284892,1.62E-02,0.297504,1.45E-02,0.070459
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_lasso_sensi,0.667571,0.45026,0.778585,4.64E-21,0.742045,6.52E-19,0.586375
