Unnamed: 0,avg_pca_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_pca_sensi,0.698258,0.489349,0.133165,2.37E-01,0.121474,2.96E-01,-0.356676
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_pca_sensi,0.424698,0.181199,0.07653,4.84E-01,0.069755,4.70E-01,-0.346919
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_pca_sensi,0.601577,0.362742,0.192489,7.22E-02,0.221081,3.83E-02,-0.319241
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_pca_sensi,0.492209,0.24246,0.040804,5.31E-01,0.025486,6.60E-01,-0.343369
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_pca_sensi,0.768154,0.595657,0.215039,1.91E-01,0.195775,2.10E-01,-0.305361
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_pca_sensi,1.656305,2.747462,0.219985,2.94E-02,0.20995,4.32E-02,-0.250742
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_pca_sensi,0.415866,0.174669,0.019574,5.28E-01,-0.005606,4.92E-01,-0.432998
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_pca_sensi,0.432977,0.189464,0.034257,5.53E-01,0.044494,5.85E-01,-0.368305
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_pca_sensi,0.469008,0.221729,-0.057849,4.00E-01,-0.03268,3.86E-01,-0.467765
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_pca_sensi,0.491091,0.242012,0.098193,3.33E-01,0.094389,3.80E-01,-0.307911
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_pca_sensi,0.543746,0.297495,-0.045463,4.23E-01,-0.044322,5.00E-01,-0.4587
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_pca_sensi,0.449515,0.203877,-0.03607,4.18E-01,-0.004586,4.98E-01,-0.380584
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_pca_sensi,0.620948,0.385963,0.103388,3.36E-01,0.072265,4.92E-01,-0.285004
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_pca_sensi,0.476533,0.227677,0.092541,4.07E-01,0.105894,3.59E-01,-0.361475
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_pca_sensi,0.743897,0.555618,0.157439,2.08E-01,0.164967,1.69E-01,-0.282155
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_pca_sensi,0.491758,0.242376,0.029463,5.21E-01,0.0279,5.07E-01,-0.345913
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_pca_sensi,0.364763,0.133658,0.019456,6.08E-01,0.041998,5.18E-01,-0.49171
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_pca_sensi,0.408173,0.167475,-0.020308,2.62E-01,-0.026225,2.80E-01,-0.371609
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_pca_sensi,0.360455,0.130098,-0.101301,3.63E-01,-0.096018,3.90E-01,-0.541076
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_pca_sensi,1.104918,1.228988,0.30992,1.71E-01,0.293789,1.35E-01,-0.137472
