Unnamed: 0,avg_transfer_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_transfer_sensi,0.404352,0.193945,0.706139,1.53E-03,0.686158,4.24E-03,0.468399
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_transfer_sensi,0.286198,0.094159,0.65439,1.53E-02,0.616879,5.29E-02,0.32896
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_transfer_sensi,0.359426,0.170462,0.671045,1.96E-01,0.674835,1.88E-01,0.423355
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_transfer_sensi,0.311224,0.118751,0.664957,1.36E-01,0.652954,1.72E-01,0.362767
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_transfer_sensi,0.512431,0.300379,0.687023,1.82E-01,0.650343,7.95E-02,0.320946
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_transfer_sensi,1.004753,1.208027,0.672627,1.34E-01,0.670881,1.42E-01,0.43622
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_transfer_sensi,0.234188,0.077857,0.686762,1.00E-01,0.667988,8.82E-02,0.427862
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_transfer_sensi,0.253176,0.083732,0.697851,1.91E-01,0.698911,7.81E-02,0.4638
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_transfer_sensi,0.276708,0.098657,0.653333,8.02E-02,0.625052,1.11E-01,0.45319
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_transfer_sensi,0.336042,0.133786,0.652168,1.11E-01,0.629125,1.57E-01,0.279285
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_transfer_sensi,0.330605,0.122731,0.619103,1.78E-01,0.611305,1.86E-01,0.319311
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_transfer_sensi,0.305617,0.111556,0.621756,1.32E-01,0.648406,9.01E-02,0.179841
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_transfer_sensi,0.411795,0.189465,0.658466,8.96E-03,0.656939,1.55E-02,0.382859
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_transfer_sensi,0.290996,0.105057,0.660094,1.08E-01,0.658211,1.84E-01,0.439706
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_transfer_sensi,0.496184,0.29813,0.67945,1.21E-01,0.647655,1.72E-01,0.368472
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_transfer_sensi,0.336123,0.136672,0.630778,1.83E-01,0.633157,1.90E-01,0.260575
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_transfer_sensi,0.235186,0.062132,0.626125,1.68E-01,0.617044,1.90E-01,0.359834
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_transfer_sensi,0.231796,0.065384,0.680236,8.55E-02,0.672423,4.60E-02,0.467269
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_transfer_sensi,0.236983,0.067843,0.562466,5.06E-02,0.586317,8.47E-02,0.199013
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_transfer_sensi,0.645772,0.499519,0.772822,1.15E-05,0.757855,2.63E-06,0.534307
