Unnamed: 0,avg_transfer_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-K08893438-001-04-9::2.52::HTS,avg_transfer_sensi,0.371648,0.176024,0.697459,2.74E-02,0.677914,3.43E-02,0.477987
sensitivity_BRD-A04322457-003-17-9::2.5::HTS,avg_transfer_sensi,0.221138,0.061538,0.67147,3.95E-02,0.647518,4.90E-02,0.469966
sensitivity_BRD-K96734425-304-01-7::2.500007729::MTS004,avg_transfer_sensi,0.256584,0.07522,0.621552,9.42E-02,0.598952,9.29E-02,0.306059
sensitivity_BRD-K67100011-003-06-3::2.5::HTS,avg_transfer_sensi,0.255172,0.078103,0.651695,7.38E-02,0.641384,9.66E-02,0.408795
sensitivity_BRD-A27143604-001-02-0::2.5::HTS,avg_transfer_sensi,0.289196,0.095515,0.661114,1.36E-01,0.641456,1.18E-01,0.394231
sensitivity_BRD-K88143662-001-01-5::2.5::MTS004,avg_transfer_sensi,0.219235,0.060856,0.636308,9.30E-02,0.62468,3.68E-02,0.291575
sensitivity_BRD-K55567017-001-12-3::2.5::HTS,avg_transfer_sensi,0.248476,0.083978,0.690921,1.20E-01,0.676124,1.48E-01,0.519604
sensitivity_BRD-K80762071-236-02-5::2.5::MTS004,avg_transfer_sensi,0.234207,0.057973,0.649876,5.73E-02,0.625469,5.38E-02,0.349333
sensitivity_BRD-K41731458-001-15-1::2.5::HTS,avg_transfer_sensi,0.256109,0.077614,0.630336,1.86E-01,0.59634,1.01E-01,0.397816
sensitivity_BRD-K36222532-001-01-8::2.5::HTS,avg_transfer_sensi,0.660431,0.506377,0.667241,5.61E-03,0.652542,3.87E-03,0.381485
sensitivity_BRD-K44276885-001-07-4::2.5::HTS,avg_transfer_sensi,0.23995,0.070494,0.615908,1.09E-01,0.598244,7.95E-02,0.364723
sensitivity_BRD-A95602221-003-02-1::2.5::HTS,avg_transfer_sensi,0.293445,0.095849,0.692053,7.13E-02,0.663851,1.42E-01,0.366086
sensitivity_BRD-K46142322-003-02-4::2.5::HTS,avg_transfer_sensi,0.327066,0.121441,0.608151,1.80E-01,0.596991,1.94E-01,0.153422
sensitivity_BRD-A47364545-003-02-6::2.5::HTS,avg_transfer_sensi,0.292748,0.098243,0.656287,2.64E-02,0.662127,2.11E-02,0.362834
sensitivity_BRD-K91701654-001-03-1::2.38::HTS,avg_transfer_sensi,0.46699,0.254677,0.768373,3.99E-05,0.726431,1.47E-03,0.593181
sensitivity_BRD-K26341917-001-01-3::2.5::HTS,avg_transfer_sensi,0.238488,0.067282,0.663878,1.02E-01,0.632298,9.25E-02,0.386244
sensitivity_BRD-K33583600-001-16-1::2.5::HTS,avg_transfer_sensi,0.348957,0.144389,0.585899,8.11E-02,0.583523,1.80E-01,0.275895
sensitivity_BRD-K17743697-066-03-6::2.5::HTS,avg_transfer_sensi,0.247772,0.076789,0.674154,7.08E-02,0.654461,7.10E-02,0.37922
sensitivity_BRD-K93231391-300-05-6::2.5::HTS,avg_transfer_sensi,0.275931,0.09577,0.667126,1.63E-01,0.658196,1.01E-01,0.432724
sensitivity_BRD-K42504537-001-01-6::2.500037177::MTS004,avg_transfer_sensi,0.220244,0.053195,0.678092,6.47E-03,0.691767,3.19E-03,0.364235
sensitivity_BRD-K30213273-001-01-6::2.5::HTS,avg_transfer_sensi,0.257366,0.07492,0.688628,7.19E-02,0.654661,1.91E-01,0.313122
sensitivity_BRD-A58048407-001-18-8::2.5::HTS,avg_transfer_sensi,0.235675,0.074461,0.661493,6.14E-02,0.657788,7.99E-02,0.415528
sensitivity_BRD-A21607826-003-05-1::2.5::HTS,avg_transfer_sensi,0.308792,0.125342,0.713157,3.15E-03,0.714555,5.28E-03,0.459861
