Unnamed: 0,avg_pca_gscore,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
gene_effect_SMR3A,avg_pca_gscore,0.169332,0.028791,0.082027,4.08E-01,0.117315,3.23E-01,-0.19086
gene_effect_SLC25A10,avg_pca_gscore,0.175813,0.030976,0.022593,4.94E-01,0.009271,4.27E-01,-0.237745
gene_effect_SARNP,avg_pca_gscore,0.220188,0.048574,0.152177,1.26E-01,0.153304,1.25E-01,-0.179815
gene_effect_MORN5,avg_pca_gscore,0.13427,0.018377,0.109301,3.15E-01,0.097283,3.54E-01,-0.134585
gene_effect_FAS,avg_pca_gscore,0.122856,0.015223,0.050416,6.03E-01,0.051424,5.99E-01,-0.250484
gene_effect_SLC12A2,avg_pca_gscore,0.165086,0.027331,0.030842,7.26E-01,0.000116,5.98E-01,-0.184095
gene_effect_ZNF394,avg_pca_gscore,0.151915,0.023125,0.048269,3.30E-01,0.029399,3.13E-01,-0.140503
gene_effect_DLX4,avg_pca_gscore,0.151073,0.022863,0.08552,2.45E-01,0.082375,3.04E-01,-0.175128
gene_effect_BRAT1,avg_pca_gscore,0.350428,0.122969,0.306605,1.10E-02,0.29989,1.07E-02,-0.212561
gene_effect_ZNF547,avg_pca_gscore,0.110008,0.012201,0.0919,2.98E-01,0.06464,5.12E-01,-0.143792
gene_effect_ZNF85,avg_pca_gscore,0.15452,0.024096,0.137194,2.52E-01,0.127005,2.75E-01,-0.206487
gene_effect_IFRD1,avg_pca_gscore,0.127178,0.016267,0.23367,8.32E-02,0.205217,8.87E-02,-0.044438
gene_effect_KIF18B,avg_pca_gscore,0.339148,0.115499,0.253804,4.76E-02,0.245584,6.13E-02,-0.273771
gene_effect_PAGE2,avg_pca_gscore,0.130038,0.016956,0.1346,1.54E-01,0.125307,1.86E-01,-0.179193
gene_effect_UHRF2,avg_pca_gscore,0.141837,0.02024,-0.03267,5.87E-01,-0.044446,5.68E-01,-0.278458
gene_effect_IGF2BP3,avg_pca_gscore,0.16346,0.026926,0.028489,2.98E-01,0.017891,2.77E-01,-0.301919
gene_effect_FOXN4,avg_pca_gscore,0.161376,0.026207,0.033941,4.04E-01,0.07014,3.85E-01,-0.240013
gene_effect_LAMTOR4,avg_pca_gscore,0.206724,0.042849,0.315765,2.87E-03,0.295949,9.28E-03,0.013688
gene_effect_NEFH,avg_pca_gscore,0.13509,0.018362,0.146987,1.70E-01,0.16656,1.08E-01,-0.152313
gene_effect_SPATA33,avg_pca_gscore,0.131448,0.017303,0.111107,3.36E-01,0.113237,2.93E-01,-0.222677
