Unnamed: 0,avg_transfer_gscore,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
gene_effect_FAM69A,avg_transfer_gscore,0.088895,0.010005,0.65941,1.47E-01,0.6336,1.54E-01,0.369227
gene_effect_CIAO2B,avg_transfer_gscore,0.156808,0.031754,0.66029,6.70E-02,0.654907,1.17E-02,0.341644
gene_effect_RSAD2,avg_transfer_gscore,0.0772,0.007331,0.757567,3.44E-03,0.751829,1.27E-03,0.576141
gene_effect_PCYOX1L,avg_transfer_gscore,0.075553,0.00683,0.72986,4.76E-03,0.699579,1.29E-02,0.48249
gene_effect_ZNF408,avg_transfer_gscore,0.074016,0.006601,0.695281,5.29E-02,0.659805,6.44E-02,0.518899
gene_effect_CDC37L1,avg_transfer_gscore,0.093348,0.011564,0.69055,1.65E-01,0.688711,1.95E-01,0.494596
gene_effect_WDR17,avg_transfer_gscore,0.101439,0.01153,0.625272,9.58E-02,0.597031,9.20E-02,0.217776
gene_effect_SERPINC1,avg_transfer_gscore,0.067604,0.005792,0.718446,1.82E-02,0.701676,2.34E-02,0.553276
gene_effect_KCTD19,avg_transfer_gscore,0.073747,0.00734,0.70231,1.43E-01,0.670615,6.59E-02,0.477741
gene_effect_ZNF750,avg_transfer_gscore,0.102782,0.011549,0.681965,1.94E-02,0.661607,2.63E-02,0.306618
gene_effect_LIPE,avg_transfer_gscore,0.092344,0.010122,0.666213,4.53E-02,0.632847,2.44E-02,0.498596
gene_effect_PPIC,avg_transfer_gscore,0.062031,0.004935,0.707252,6.27E-02,0.674495,6.03E-02,0.451869
gene_effect_IL27RA,avg_transfer_gscore,0.090053,0.009081,0.714557,1.55E-03,0.680957,3.10E-03,0.412039
gene_effect_LOR,avg_transfer_gscore,0.096138,0.011224,0.658472,1.28E-01,0.644413,1.02E-01,0.297607
gene_effect_HEATR6,avg_transfer_gscore,0.102338,0.01391,0.752508,1.25E-02,0.727063,3.79E-02,0.538118
gene_effect_CALB1,avg_transfer_gscore,0.080791,0.00772,0.679363,4.41E-02,0.651357,5.55E-02,0.349851
gene_effect_AADACL3,avg_transfer_gscore,0.079601,0.007556,0.675555,1.86E-01,0.654724,1.69E-01,0.420974
gene_effect_RGL4,avg_transfer_gscore,0.088465,0.009556,0.73347,5.61E-03,0.715451,7.24E-03,0.39456
gene_effect_CHMP2B,avg_transfer_gscore,0.090898,0.009663,0.642081,1.60E-01,0.627873,6.03E-02,0.317687
gene_effect_DYNLL2,avg_transfer_gscore,0.071694,0.006493,0.740078,3.17E-03,0.716106,1.15E-02,0.502503
gene_effect_KCTD15,avg_transfer_gscore,0.091003,0.009364,0.730515,4.17E-02,0.702526,7.23E-02,0.427839
gene_effect_GAK,avg_transfer_gscore,0.137671,0.023859,0.769365,9.89E-05,0.762913,1.87E-04,0.575233
gene_effect_NARF,avg_transfer_gscore,0.073944,0.006589,0.747364,2.19E-03,0.728868,2.03E-03,0.503549
gene_effect_IGSF9B,avg_transfer_gscore,0.072093,0.005901,0.663669,8.36E-02,0.626101,8.75E-02,0.395018
gene_effect_COMMD10,avg_transfer_gscore,0.093557,0.009865,0.737064,2.04E-03,0.712145,4.26E-03,0.499806
gene_effect_PHTF2,avg_transfer_gscore,0.083384,0.008807,0.702077,5.16E-02,0.679634,6.56E-02,0.521101
gene_effect_SLC15A3,avg_transfer_gscore,0.111948,0.014898,0.623641,9.83E-02,0.603518,5.67E-02,0.340806
gene_effect_HIVEP1,avg_transfer_gscore,0.11371,0.015762,0.656804,1.14E-01,0.626155,7.39E-02,0.446535
gene_effect_S1PR2,avg_transfer_gscore,0.084741,0.008125,0.69573,9.02E-02,0.721171,2.83E-02,0.447335
gene_effect_TAPT1,avg_transfer_gscore,0.135437,0.021386,0.739184,2.31E-03,0.723505,1.39E-03,0.523722
gene_effect_SLC1A5,avg_transfer_gscore,0.099115,0.013773,0.778216,1.45E-04,0.739727,2.97E-04,0.629827
gene_effect_RIIAD1,avg_transfer_gscore,0.083867,0.0088,0.721635,1.15E-02,0.707218,4.45E-02,0.471149
gene_effect_ZNF724,avg_transfer_gscore,0.09169,0.010365,0.670106,1.32E-01,0.635803,1.34E-01,0.448058
gene_effect_SKP1,avg_transfer_gscore,0.119292,0.017188,0.699614,3.58E-02,0.684833,5.43E-02,0.469462
gene_effect_TAX1BP3,avg_transfer_gscore,0.105635,0.011959,0.71706,7.28E-04,0.678519,1.08E-03,0.397381
gene_effect_DSTYK,avg_transfer_gscore,0.086069,0.008852,0.735867,9.10E-03,0.711727,8.61E-03,0.469706
gene_effect_POLR3K,avg_transfer_gscore,0.143925,0.026126,0.705547,9.89E-02,0.672133,6.94E-02,0.414428
gene_effect_B4GALNT4,avg_transfer_gscore,0.072619,0.006569,0.727868,6.92E-02,0.718356,4.85E-02,0.511897
gene_effect_CLTRN,avg_transfer_gscore,0.05442,0.003749,0.722201,9.26E-02,0.692232,1.50E-01,0.543267
gene_effect_SASH1,avg_transfer_gscore,0.065568,0.005141,0.716976,3.55E-02,0.691824,1.96E-02,0.489957
gene_effect_KAT6A,avg_transfer_gscore,0.154077,0.029093,0.765208,4.95E-04,0.737566,4.01E-03,0.464074
gene_effect_GOLGA6L10,avg_transfer_gscore,0.083866,0.00908,0.721503,4.97E-02,0.71068,4.41E-02,0.535064
gene_effect_TMTC3,avg_transfer_gscore,0.067645,0.005495,0.745126,2.67E-03,0.719755,4.09E-03,0.568979
gene_effect_PDE4C,avg_transfer_gscore,0.089373,0.010872,0.724087,1.83E-03,0.720679,3.26E-03,0.442061
gene_effect_OLIG1,avg_transfer_gscore,0.085102,0.009219,0.667872,1.07E-01,0.638254,1.21E-01,0.395716
gene_effect_EPHA4,avg_transfer_gscore,0.078981,0.007755,0.687123,9.73E-02,0.675261,2.03E-02,0.489033
gene_effect_SLC18B1,avg_transfer_gscore,0.106025,0.013054,0.661916,5.77E-02,0.617674,6.36E-02,0.267672
gene_effect_DPP4,avg_transfer_gscore,0.067035,0.005594,0.652904,1.41E-01,0.643204,1.02E-01,0.333349
gene_effect_SMCO1,avg_transfer_gscore,0.068876,0.005412,0.711349,1.18E-02,0.683441,6.54E-02,0.393915
gene_effect_MEFV,avg_transfer_gscore,0.08492,0.008179,0.642224,5.88E-02,0.586408,1.41E-01,0.40553
gene_effect_COL1A1,avg_transfer_gscore,0.097361,0.011688,0.755748,1.11E-04,0.759365,7.03E-05,0.479751
gene_effect_PRDM13,avg_transfer_gscore,0.082893,0.008379,0.681927,1.41E-01,0.667319,1.35E-01,0.449175
gene_effect_SPA17,avg_transfer_gscore,0.07779,0.008137,0.693165,1.58E-01,0.672812,1.43E-01,0.388584
gene_effect_SLC6A7,avg_transfer_gscore,0.092875,0.010485,0.705946,2.77E-02,0.706616,2.77E-02,0.422927
gene_effect_KRT10,avg_transfer_gscore,0.109445,0.014382,0.719013,2.06E-02,0.707135,2.36E-02,0.283661
gene_effect_GOLPH3,avg_transfer_gscore,0.091453,0.010421,0.701843,1.11E-01,0.667594,1.54E-01,0.408103
gene_effect_DCAF11,avg_transfer_gscore,0.081887,0.008665,0.692363,5.00E-02,0.681075,4.69E-02,0.509271
gene_effect_SEMA3D,avg_transfer_gscore,0.079067,0.008261,0.703834,1.62E-01,0.677832,1.48E-01,0.504453
gene_effect_MUT,avg_transfer_gscore,0.08576,0.008882,0.637536,1.02E-01,0.606628,1.28E-01,0.292875
gene_effect_PDSS2,avg_transfer_gscore,0.130542,0.020249,0.680368,9.05E-02,0.63515,1.13E-01,0.399853
