Unnamed: 0,avg_transfer_meta,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
metabolite_2-aminoadipate,avg_transfer_meta,0.214733,0.050749,0.74047,2.47E-07,0.705705,1.13E-05,0.498526
metabolite_acetylcholine,avg_transfer_meta,0.707617,0.55273,0.666098,9.15E-03,0.636757,3.11E-02,0.350119
metabolite_creatine,avg_transfer_meta,0.215998,0.055629,0.804258,2.25E-10,0.801615,8.76E-13,0.583409
metabolite_creatinine,avg_transfer_meta,0.201041,0.04626,0.803284,1.50E-19,0.741579,2.69E-17,0.510762
metabolite_thyroxine,avg_transfer_meta,0.179747,0.034832,0.765454,1.89E-10,0.746495,9.91E-11,0.466128
metabolite_trimethylamine-N-oxide,avg_transfer_meta,0.176117,0.03506,0.782723,2.67E-08,0.746498,3.82E-10,0.530608
metabolite_adenosine,avg_transfer_meta,0.408251,0.1895,0.705418,1.27E-04,0.699053,3.23E-06,0.405355
metabolite_thymidine,avg_transfer_meta,0.392452,0.173569,0.754174,1.93E-07,0.77279,5.65E-09,0.430362
metabolite_xanthosine,avg_transfer_meta,0.15699,0.029078,0.7844,5.27E-08,0.768964,5.98E-10,0.598705
metabolite_2-deoxyadenosine,avg_transfer_meta,0.29661,0.106815,0.787683,2.31E-08,0.778559,9.41E-08,0.602019
metabolite_isocitrate,avg_transfer_meta,0.194814,0.04758,0.730942,5.78E-04,0.729695,2.60E-05,0.545997
metabolite_2-deoxycytidine,avg_transfer_meta,0.372429,0.176997,0.814364,2.00E-14,0.809558,5.87E-13,0.651994
metabolite_cAMP,avg_transfer_meta,0.192549,0.042867,0.738473,4.20E-06,0.711722,9.64E-07,0.539678
metabolite_cotinine,avg_transfer_meta,0.276912,0.08806,0.73995,3.69E-07,0.724459,1.66E-07,0.472754
metabolite_pipecolic acid,avg_transfer_meta,0.36164,0.153317,0.683825,9.06E-02,0.676981,1.28E-01,0.443415
metabolite_pyroglutamic acid,avg_transfer_meta,0.241387,0.067366,0.798057,2.66E-12,0.784127,6.50E-14,0.582904
metabolite_1-methylnicotinamide,avg_transfer_meta,0.570456,0.377999,0.909721,2.96E-50,0.889069,2.39E-41,0.788629
metabolite_butyrobetaine,avg_transfer_meta,0.200216,0.048396,0.744518,1.54E-05,0.741672,8.73E-06,0.502725
metabolite_putrescine,avg_transfer_meta,0.225247,0.05596,0.791142,1.16E-11,0.766143,1.10E-11,0.556723
metabolite_methionine sulfoxide,avg_transfer_meta,0.208969,0.050571,0.758487,1.22E-11,0.747318,1.09E-11,0.536706
metabolite_carnitine,avg_transfer_meta,0.203784,0.048163,0.801491,3.25E-15,0.788601,2.23E-14,0.570567
metabolite_CMP,avg_transfer_meta,0.268501,0.090551,0.81485,1.83E-16,0.740345,4.88E-10,0.580815
metabolite_acetylcarnitine,avg_transfer_meta,0.238657,0.064472,0.783091,2.00E-07,0.779202,2.46E-08,0.597044
metabolite_propionylcarnitine,avg_transfer_meta,0.278189,0.089446,0.708873,5.69E-04,0.714581,4.10E-04,0.500222
metabolite_malonylcarnitine,avg_transfer_meta,0.233066,0.062856,0.774856,1.33E-07,0.760104,4.02E-07,0.580756
metabolite_butyrylcarnitine/isobutyrylcarnitine,avg_transfer_meta,0.32145,0.122715,0.758404,1.97E-04,0.76007,2.00E-05,0.417488
metabolite_valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,avg_transfer_meta,0.306455,0.123256,0.754081,4.23E-04,0.751689,1.94E-03,0.562358
