Unnamed: 0,avg_logisticLasso_mu,F1_avg,AUC_avg,Precision_avg,Recall_avg
mutation_TTN,avg_logisticLasso_mu,0.974266,0.997875,0.975689,0.974246
mutation_SMARCA2,avg_logisticLasso_mu,0.9742,0.996944,0.977598,0.976691
mutation_SOGA1,avg_logisticLasso_mu,0.966251,0.967007,0.969876,0.970868
mutation_COL4A5,avg_logisticLasso_mu,0.974255,0.98691,0.978282,0.977541
mutation_EGFLAM,avg_logisticLasso_mu,0.96186,0.978827,0.966731,0.967535
mutation_TNK2,avg_logisticLasso_mu,0.968103,0.996166,0.973483,0.972552
mutation_NBPF10,avg_logisticLasso_mu,0.977947,0.995926,0.980603,0.980052
mutation_RP11-368I7.4,avg_logisticLasso_mu,0.935255,0.98871,0.960619,0.950854
mutation_UNC5D,avg_logisticLasso_mu,0.974177,0.995462,0.97756,0.976698
mutation_NRP2,avg_logisticLasso_mu,0.973526,0.94603,0.977147,0.976725
mutation_KIF7,avg_logisticLasso_mu,0.963478,0.996172,0.968958,0.968361
mutation_ANK3,avg_logisticLasso_mu,0.975704,0.995602,0.977589,0.976701
mutation_WDR62,avg_logisticLasso_mu,0.977185,0.992203,0.979508,0.979205
mutation_MYH10,avg_logisticLasso_mu,0.965356,0.992033,0.971299,0.970041
mutation_NCOA2,avg_logisticLasso_mu,0.973851,0.994532,0.977538,0.976705
mutation_RBL2,avg_logisticLasso_mu,0.971899,0.997028,0.976029,0.975028
mutation_SCN8A,avg_logisticLasso_mu,0.973559,0.994166,0.975721,0.975868
mutation_ZNF865,avg_logisticLasso_mu,0.975213,0.997774,0.978268,0.977535
mutation_LMO7,avg_logisticLasso_mu,0.976821,0.997106,0.979408,0.979205
mutation_KEAP1,avg_logisticLasso_mu,0.986688,0.996543,0.987612,0.987528
mutation_TEX14,avg_logisticLasso_mu,0.977162,0.99668,0.979894,0.979191
mutation_ZNFX1,avg_logisticLasso_mu,0.956843,0.985855,0.962251,0.964208
mutation_DNHD1,avg_logisticLasso_mu,0.970177,0.995128,0.972236,0.971729
mutation_ADAMTS19,avg_logisticLasso_mu,0.967144,0.99578,0.971719,0.972521
mutation_POLRMT,avg_logisticLasso_mu,0.970172,0.991381,0.973626,0.973385
mutation_IFT140,avg_logisticLasso_mu,0.977799,0.989707,0.980564,0.980041
mutation_FAM189B,avg_logisticLasso_mu,0.963337,0.963948,0.970029,0.968364
mutation_DEPDC5,avg_logisticLasso_mu,0.966969,0.982024,0.969163,0.971715
mutation_DOCK9,avg_logisticLasso_mu,0.972108,0.9934,0.97609,0.975031
mutation_PCDHB11,avg_logisticLasso_mu,0.974966,0.99649,0.97814,0.977541
mutation_DDX60L,avg_logisticLasso_mu,0.971841,0.980356,0.975917,0.975035
mutation_FAM179B,avg_logisticLasso_mu,0.974177,0.994921,0.978131,0.977552
mutation_SMAD4,avg_logisticLasso_mu,0.973556,0.995026,0.97751,0.976701
mutation_PAPPA2,avg_logisticLasso_mu,0.974461,0.994637,0.977477,0.975861
mutation_ATP10B,avg_logisticLasso_mu,0.967027,0.98224,0.972687,0.971719
mutation_ZNF644,avg_logisticLasso_mu,0.970708,0.996936,0.974976,0.974229
