Unnamed: 0,avg_elastic_pro,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
protein_14-3-3_beta,avg_elastic_pro,0.166229,0.027715,0.587935,2.07E-15,0.581371,1.49E-14,0.335398
protein_HER3_pY1289_Caution,avg_elastic_pro,0.15294,0.023405,0.658008,4.95E-19,0.575654,4.56E-15,0.41487
protein_Heregulin,avg_elastic_pro,0.251072,0.06317,0.88764,3.11E-52,0.803369,1.83E-31,0.780537
protein_HSP70_Caution,avg_elastic_pro,0.157392,0.024805,0.733545,4.57E-30,0.712772,5.41E-27,0.526096
protein_IGFBP2,avg_elastic_pro,0.381149,0.145403,0.954207,1.57E-90,0.919496,3.28E-72,0.908357
protein_INPP4B,avg_elastic_pro,0.276822,0.076701,0.833681,4.29E-42,0.783994,1.01E-32,0.684849
protein_IRS1,avg_elastic_pro,0.215458,0.04667,0.849368,3.27E-44,0.829267,1.34E-37,0.719421
protein_JAK2,avg_elastic_pro,0.219692,0.048525,0.843197,9.76E-40,0.795347,2.54E-37,0.706755
protein_JNK_pT183_Y185,avg_elastic_pro,0.314018,0.098928,0.7645,1.30E-28,0.700826,3.18E-23,0.558585
protein_JNK2_Caution,avg_elastic_pro,0.231181,0.05349,0.774508,9.09E-32,0.74155,9.63E-28,0.591686
protein_Ku80_Caution,avg_elastic_pro,0.283183,0.080267,0.799487,5.25E-37,0.776858,1.53E-35,0.628002
protein_ACC1_Caution,avg_elastic_pro,0.37571,0.141663,0.862249,8.34E-48,0.844161,1.67E-43,0.736579
protein_Lck,avg_elastic_pro,0.282922,0.080252,0.94187,2.83E-72,0.916875,2.38E-62,0.884965
protein_MAPK_pT202_Y204,avg_elastic_pro,0.398709,0.1597,0.880171,4.35E-53,0.86771,1.33E-51,0.768579
protein_MDM2_pS166,avg_elastic_pro,0.3897,0.152209,0.773295,7.27E-31,0.74343,1.05E-26,0.582462
protein_MDMX_MDM4(BetIHC-00108)_Caution,avg_elastic_pro,0.206539,0.042938,0.861578,5.54E-43,0.801879,4.69E-30,0.730296
protein_MEK1,avg_elastic_pro,0.258509,0.067077,0.833599,1.52E-44,0.802066,1.52E-38,0.680859
protein_MEK1_pS217_S221,avg_elastic_pro,0.269525,0.072769,0.855358,2.62E-48,0.84315,3.75E-45,0.724959
protein_MIG-6,avg_elastic_pro,0.201527,0.041204,0.883976,7.67E-56,0.814075,7.77E-39,0.773375
protein_Mre11_Caution,avg_elastic_pro,0.153269,0.023605,0.453437,9.75E-09,0.41465,4.21E-06,0.185765
protein_MSH2,avg_elastic_pro,0.311197,0.099783,0.814723,1.39E-36,0.769158,2.66E-27,0.640108
protein_MSH6_Caution,avg_elastic_pro,0.341657,0.123454,0.87921,1.47E-54,0.861134,4.20E-48,0.754196
protein_Acetyl-a-Tubulin (Lys40)_Caution,avg_elastic_pro,0.374859,0.140992,0.826974,2.83E-42,0.79922,5.27E-38,0.671765
protein_mTOR,avg_elastic_pro,0.29586,0.087638,0.770776,2.49E-34,0.74628,1.51E-31,0.573943
protein_mTOR_pS2448_Caution,avg_elastic_pro,0.191995,0.036915,0.720737,9.53E-27,0.719225,4.92E-25,0.508273
protein_MYH11,avg_elastic_pro,0.338165,0.11444,0.799075,3.66E-37,0.73356,4.65E-30,0.623874
protein_Myosin IIa pS1943,avg_elastic_pro,0.497289,0.247964,0.893791,1.15E-53,0.877288,2.43E-46,0.796933
protein_N-Cadherin,avg_elastic_pro,0.231534,0.053715,0.858316,8.04E-46,0.844714,1.06E-44,0.732367
protein_N-Ras,avg_elastic_pro,0.166786,0.027862,0.61034,5.19E-16,0.569745,1.04E-15,0.352662
protein_NDRG1_pT346,avg_elastic_pro,0.402873,0.162454,0.894821,1.23E-58,0.857466,1.63E-47,0.795384
