Unnamed: 0,avg_lasso_pro,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
protein_CD31,avg_lasso_pro,0.244435,0.059919,0.641917,1.78E-12,0.542161,1.46E-10,0.407571
protein_GAPDH_Caution,avg_lasso_pro,0.657238,0.432564,0.759804,2.38E-25,0.734946,6.12E-22,0.571224
protein_p27_pT157_Caution,avg_lasso_pro,0.15068,0.022724,0.430346,2.47E-08,0.426775,4.32E-08,0.179832
protein_Gab2,avg_lasso_pro,0.398905,0.159849,0.945407,1.40E-83,0.941459,3.08E-80,0.891274
protein_Chk1_pS345_Caution,avg_lasso_pro,0.216039,0.046818,0.717196,2.13E-26,0.648339,4.38E-20,0.508179
protein_Claudin-7,avg_lasso_pro,0.549997,0.303305,0.944101,2.93E-84,0.868079,8.05E-47,0.890029
protein_YB-1_pS102,avg_lasso_pro,0.296211,0.087933,0.714149,2.30E-24,0.693464,2.07E-22,0.504522
protein_Src_pY527,avg_lasso_pro,0.387751,0.150618,0.823183,2.56E-38,0.797392,2.71E-38,0.676948
protein_Myosin IIa pS1943,avg_lasso_pro,0.632862,0.401983,0.825036,5.59E-35,0.819297,2.61E-34,0.673596
protein_Notch1,avg_lasso_pro,0.315343,0.099768,0.820732,2.93E-40,0.806194,5.42E-32,0.671299
protein_FASN,avg_lasso_pro,0.459877,0.211733,0.823385,1.65E-39,0.792465,6.68E-38,0.672855
protein_MDM2_pS166,avg_lasso_pro,0.492694,0.243568,0.598139,8.31E-16,0.582399,4.53E-15,0.340283
protein_EGFR,avg_lasso_pro,0.355825,0.126957,0.943141,2.20E-74,0.934066,5.11E-74,0.886361
protein_GSK3-alpha-beta,avg_lasso_pro,0.226382,0.051478,0.72263,2.63E-26,0.692103,1.64E-20,0.516738
protein_BRCA2_Caution,avg_lasso_pro,0.173765,0.03025,0.722807,1.45E-27,0.70132,1.82E-22,0.520606
protein_mTOR,avg_lasso_pro,0.370709,0.138174,0.59252,7.58E-16,0.593085,1.74E-16,0.335123
protein_eEF2_Caution,avg_lasso_pro,0.520954,0.271755,0.64771,6.91E-17,0.633691,8.37E-18,0.414501
protein_MSH6_Caution,avg_lasso_pro,0.416686,0.193812,0.81734,2.19E-31,0.800314,2.53E-35,0.637183
protein_p27_pT198,avg_lasso_pro,0.212351,0.045776,0.740066,7.45E-26,0.555385,1.11E-12,0.514349
protein_JAK2,avg_lasso_pro,0.247741,0.061586,0.793743,1.02E-31,0.745474,1.52E-30,0.625315
