,feature_name
0,gene_effect_A1BG
1,gene_effect_A1CF
2,gene_effect_A2M
3,gene_effect_A2ML1
4,gene_effect_A3GALT2
5,gene_effect_A4GALT
6,gene_effect_A4GNT
7,gene_effect_AAAS
8,gene_effect_AACS
9,gene_effect_AADAC
10,gene_effect_AADACL2
11,gene_effect_AADACL3
12,gene_effect_AADACL4
13,gene_effect_AADAT
14,gene_effect_AAED1
15,gene_effect_AAGAB
16,gene_effect_AAK1
17,gene_effect_AAMDC
18,gene_effect_AAMP
19,gene_effect_AANAT
20,gene_effect_AAR2
21,gene_effect_AARD
22,gene_effect_AARS
23,gene_effect_AARS2
24,gene_effect_AARSD1
25,gene_effect_AASDH
26,gene_effect_AASDHPPT
27,gene_effect_AASS
28,gene_effect_AATF
29,gene_effect_AATK
30,gene_effect_ABAT
31,gene_effect_ABCA1
32,gene_effect_ABCA10
33,gene_effect_ABCA12
34,gene_effect_ABCA13
35,gene_effect_ABCA2
36,gene_effect_ABCA3
37,gene_effect_ABCA4
38,gene_effect_ABCA5
39,gene_effect_ABCA6
40,gene_effect_ABCA7
41,gene_effect_ABCA8
42,gene_effect_ABCA9
43,gene_effect_ABCB1
44,gene_effect_ABCB10
45,gene_effect_ABCB11
46,gene_effect_ABCB4
47,gene_effect_ABCB5
48,gene_effect_ABCB6
49,gene_effect_ABCB7
50,gene_effect_ABCB8
51,gene_effect_ABCB9
52,gene_effect_ABCC1
53,gene_effect_ABCC10
54,gene_effect_ABCC11
55,gene_effect_ABCC12
56,gene_effect_ABCC2
57,gene_effect_ABCC3
58,gene_effect_ABCC4
59,gene_effect_ABCC5
60,gene_effect_ABCC6
61,gene_effect_ABCC8
62,gene_effect_ABCC9
63,gene_effect_ABCD1
64,gene_effect_ABCD2
65,gene_effect_ABCD3
66,gene_effect_ABCD4
67,gene_effect_ABCE1
68,gene_effect_ABCF1
69,gene_effect_ABCF2
70,gene_effect_ABCF3
71,gene_effect_ABCG1
72,gene_effect_ABCG2
73,gene_effect_ABCG4
74,gene_effect_ABCG5
75,gene_effect_ABCG8
76,gene_effect_ABHD1
77,gene_effect_ABHD10
78,gene_effect_ABHD11
79,gene_effect_ABHD12
80,gene_effect_ABHD12B
81,gene_effect_ABHD13
82,gene_effect_ABHD14A
83,gene_effect_ABHD14B
84,gene_effect_ABHD15
85,gene_effect_ABHD16A
86,gene_effect_ABHD16B
87,gene_effect_ABHD17A
88,gene_effect_ABHD17B
89,gene_effect_ABHD17C
90,gene_effect_ABHD18
91,gene_effect_ABHD2
92,gene_effect_ABHD3
93,gene_effect_ABHD4
94,gene_effect_ABHD5
95,gene_effect_ABHD6
96,gene_effect_ABHD8
97,gene_effect_ABI1
98,gene_effect_ABI2
99,gene_effect_ABI3
100,gene_effect_ABI3BP
101,gene_effect_ABL1
102,gene_effect_ABL2
103,gene_effect_ABLIM1
104,gene_effect_ABLIM2
105,gene_effect_ABLIM3
106,gene_effect_ABR
107,gene_effect_ABRA
108,gene_effect_ABRACL
109,gene_effect_ABRAXAS1
110,gene_effect_ABRAXAS2
111,gene_effect_ABT1
112,gene_effect_ABTB1
113,gene_effect_ABTB2
114,gene_effect_ACAA1
115,gene_effect_ACAA2
116,gene_effect_ACACA
117,gene_effect_ACACB
118,gene_effect_ACAD10
119,gene_effect_ACAD11
120,gene_effect_ACAD8
121,gene_effect_ACAD9
122,gene_effect_ACADL
123,gene_effect_ACADM
124,gene_effect_ACADS
125,gene_effect_ACADSB
126,gene_effect_ACADVL
127,gene_effect_ACAN
128,gene_effect_ACAP1
129,gene_effect_ACAP2
130,gene_effect_ACAP3
131,gene_effect_ACAT1
132,gene_effect_ACAT2
133,gene_effect_ACBD3
134,gene_effect_ACBD4
135,gene_effect_ACBD5
136,gene_effect_ACBD6
137,gene_effect_ACBD7
138,gene_effect_ACCS
139,gene_effect_ACCSL
140,gene_effect_ACD
